Year,UNIT_MEASURE,scientific_field,SEX,Value
2017,NUMBER,total,M,252
2017,NUMBER,"social_sciences,_journalism_and_information",M,45
2017,NUMBER,humanities_and_arts,M,49
2017,NUMBER,information_and_communication_technologies,M,14
2017,NUMBER,"engineering,_production_and_construction",M,17
2017,NUMBER,education,M,14
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,10
2017,NUMBER,"business,_administration_and_law",M,48
2017,NUMBER,"natural_sciences,_mathematics_and_statistic",M,6
2017,NUMBER,servies,M,1
2017,NUMBER,health_and_social_protection,M,48
2017,NUMBER,total,F,282
2017,NUMBER,"social_sciences,_journalism_and_information",F,55
2017,NUMBER,humanities_and_arts,F,51
2017,NUMBER,information_and_communication_technologies,F,3
2017,NUMBER,"engineering,_production_and_construction",F,15
2017,NUMBER,education,F,37
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,10
2017,NUMBER,"business,_administration_and_law",F,32
2017,NUMBER,"natural_sciences,_mathematics_and_statistic",F,9
2017,NUMBER,servies,F,0
2017,NUMBER,health_and_social_protection,F,70
2017,NUMBER,total,_T,534
2017,NUMBER,"social_sciences,_journalism_and_information",_T,100
2017,NUMBER,humanities_and_arts,_T,100
2017,NUMBER,information_and_communication_technologies,_T,17
2017,NUMBER,"engineering,_production_and_construction",_T,32
2017,NUMBER,education,_T,51
2017,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,20
2017,NUMBER,"business,_administration_and_law",_T,80
2017,NUMBER,"natural_sciences,_mathematics_and_statistic",_T,15
2017,NUMBER,servies,_T,1
2017,NUMBER,health_and_social_protection,_T,118
2018,NUMBER,total,M,322
2018,NUMBER,"social_sciences,_journalism_and_information",M,64
2018,NUMBER,humanities_and_arts,M,46
2018,NUMBER,information_and_communication_technologies,M,5
2018,NUMBER,"engineering,_production_and_construction",M,17
2018,NUMBER,education,M,35
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2018,NUMBER,"business,_administration_and_law",M,36
2018,NUMBER,"natural_sciences,_mathematics_and_statistic",M,18
2018,NUMBER,servies,M,3
2018,NUMBER,health_and_social_protection,M,85
2018,NUMBER,total,F,208
2018,NUMBER,"social_sciences,_journalism_and_information",F,37
2018,NUMBER,humanities_and_arts,F,30
2018,NUMBER,information_and_communication_technologies,F,17
2018,NUMBER,"engineering,_production_and_construction",F,16
2018,NUMBER,education,F,20
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,14
2018,NUMBER,"business,_administration_and_law",F,31
2018,NUMBER,"natural_sciences,_mathematics_and_statistic",F,5
2018,NUMBER,servies,F,0
2018,NUMBER,health_and_social_protection,F,38
2018,NUMBER,total,_T,530
2018,NUMBER,"social_sciences,_journalism_and_information",_T,101
2018,NUMBER,humanities_and_arts,_T,76
2018,NUMBER,information_and_communication_technologies,_T,22
2018,NUMBER,"engineering,_production_and_construction",_T,33
2018,NUMBER,education,_T,55
2018,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,27
2018,NUMBER,"business,_administration_and_law",_T,67
2018,NUMBER,"natural_sciences,_mathematics_and_statistic",_T,23
2018,NUMBER,servies,_T,3
2018,NUMBER,health_and_social_protection,_T,123
2019,NUMBER,total,M,188
2019,NUMBER,"social_sciences,_journalism_and_information",M,65
2019,NUMBER,humanities_and_arts,M,21
2019,NUMBER,information_and_communication_technologies,M,6
2019,NUMBER,"engineering,_production_and_construction",M,12
2019,NUMBER,education,M,12
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,4
2019,NUMBER,"business,_administration_and_law",M,22
2019,NUMBER,"natural_sciences,_mathematics_and_statistic",M,9
2019,NUMBER,servies,M,1
2019,NUMBER,health_and_social_protection,M,36
2019,NUMBER,total,F,278
2019,NUMBER,"social_sciences,_journalism_and_information",F,83
2019,NUMBER,humanities_and_arts,F,38
2019,NUMBER,information_and_communication_technologies,F,4
2019,NUMBER,"engineering,_production_and_construction",F,18
2019,NUMBER,education,F,36
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",F,7
2019,NUMBER,"business,_administration_and_law",F,13
2019,NUMBER,"natural_sciences,_mathematics_and_statistic",F,15
2019,NUMBER,servies,F,0
2019,NUMBER,health_and_social_protection,F,64
2019,NUMBER,total,_T,466
2019,NUMBER,"social_sciences,_journalism_and_information",_T,148
2019,NUMBER,humanities_and_arts,_T,59
2019,NUMBER,information_and_communication_technologies,_T,10
2019,NUMBER,"engineering,_production_and_construction",_T,30
2019,NUMBER,education,_T,48
2019,NUMBER,"agriculture,_forestry,_fisheries_and_veterinary_medicine",_T,11
2019,NUMBER,"business,_administration_and_law",_T,35
2019,NUMBER,"natural_sciences,_mathematics_and_statistic",_T,24
2019,NUMBER,servies,_T,1
2019,NUMBER,health_and_social_protection,_T,100
2020,NUMBER,total,M,156
2020,NUMBER,"social_sciences,_journalism_and_information",M,41
2020,NUMBER,humanities_and_arts,M,20
2020,NUMBER,information_and_communication_technologies,M,9
2020,NUMBER,"engineering,_production_and_construction",M,15
2020,NUMBER,education,M,7
