Indicator,Disaggregation combinations using this value
#1-3-2,1
#1-3-3,1
#1-3-4,21
#1-3-5,1
#1-4-2,1
#1-4-3,1
#1-4-4,1
#1-4-5,1
#1-5-1,1
#1-7-1,244
#1-7-2,68
#1-7-3,4
#1-7-4,3
#1-7-7,1
#1-8-1,92
#1-8-2,20
#1-8-3,1300
#2-1-1,87
#2-1-2,20
#2-1-3,1240
#2-1-5,441
#2-1-6,4
#2-2-1,441
#2-2-2,567
#2-2-3,378
#2-3-1,147
#2-4-1,252
#2-4-2,504
#2-5-1,567
#3-1-1,22
#3-1-3,1
#3-7-1,14
#4-1-1,3
#4-1-2,5
#4-1-3,5
#5-1-2,1
#5-1-3,1
#5-1-4,1
#5-2-1,1
#5-2-2,1
#5-2-3,1
#5-3-1,1
#5-3-2,7
#5-3-3,1
#5-3-4,70
#5-3-5,1
#7-1-1,5
#7-1-2,5
#7-1-3,5
#7-2-1,1
