Indicator,Disaggregation combinations using this value
#1-1-1,2
#1-3-2,1
#1-3-4,20
#1-3-5,1
#1-4-3,1
#1-4-4,1
#1-4-5,1
#1-5-1,1
#1-7-1,122
#1-7-2,27
#1-7-3,3
#1-7-4,2
#1-8-1,93
#1-8-2,21
#1-8-3,1300
#2-1-1,87
#2-1-2,19
#2-1-3,1178
#2-1-5,1
#2-2-1,441
#2-2-2,567
#2-2-3,378
#2-4-1,189
#2-4-2,441
#2-5-1,504
#3-1-1,21
#3-1-3,1
#4-1-2,1
#5-1-2,3
#5-1-3,1
#5-1-4,1
#5-2-1,1
#5-2-2,1
#5-2-3,1
#5-3-1,1
#5-3-3,1
#5-3-5,1
#5-4-1,1
#5-4-2,1
#5-5-1,3
#5-5-2,33
#5-5-3,3
#5-5-4,11
#5-6-1,1
#5-6-2,11
#5-6-3,1
#5-6-4,11
#5-7-1,1
#5-7-2,1
#7-1-1,5
#7-1-2,5
#7-1-3,5
