Indicator,Disaggregation combinations using this value
#1-1-1,3
#1-2-5,2
#1-3-2,3
#1-3-4,42
#1-3-5,3
#1-6-1,1
#1-6-3,1
#1-7-1,244
#1-7-4,4
#1-7-7,1
#1-8-1,276
#1-8-2,60
#1-8-3,3900
#2-1-1,261
#2-1-2,60
#2-1-3,3720
#2-1-5,441
#2-2-1,1323
#2-2-2,1701
#2-2-3,1134
#2-3-1,441
#2-3-2,189
#2-4-1,756
#2-4-2,1512
#2-5-1,1701
#3-1-1,65
#3-1-2,21
#3-1-3,3
#3-2-1,1
#3-2-2,1
#3-2-3,1
#3-2-4,1
#3-3-1,1
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-4-1,1
#3-4-2,1
#3-5-1,1
#3-5-2,1
#3-5-3,1
#3-5-4,1
#3-5-5,1
#3-5-6,1
#3-5-7,1
#3-5-8,1
#3-5-9,1
#3-7-1,21
#4-1-1,9
#4-1-2,15
#4-1-3,15
#4-1-4,3
#5-1-1,3
#5-1-2,3
#5-1-3,3
#5-1-4,3
#5-2-1,3
#5-2-2,3
#5-2-3,3
#5-3-1,3
#5-3-2,6
#5-3-3,3
#5-3-4,6
#5-3-5,3
#5-4-2,3
