Year,UNIT_MEASURE,Sex,Cause of death (as per ICD-10 codes),Value
2003,Number,Both sexes,Total,12988
2004,Number,Both sexes,Total,13082
2005,Number,Both sexes,Total,13802
2006,Number,Both sexes,Total,13232
2007,Number,Both sexes,Total,14146
2008,Number,Both sexes,Total,13501
2009,Number,Both sexes,Total,13775
2010,Number,Both sexes,Total,13517
2011,Number,Both sexes,Total,13658
2012,Number,Both sexes,Total,13796
2013,Number,Both sexes,Total,13978
2014,Number,Both sexes,Total,14409
2015,Number,Both sexes,Total,15059
2016,Number,Both sexes,Total,13970
2017,Number,Both sexes,Total,14663
2018,Number,Both sexes,Total,14763
2019,Number,Both sexes,Total,15081
2020,Number,Both sexes,Total,16582
2003,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,89
2004,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,124
2005,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,128
2006,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,111
2007,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,103
2008,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,118
2009,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,118
2010,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,109
2011,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,117
2012,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,135
2013,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,120
2014,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,136
2015,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,159
2016,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,187
2017,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,147
2018,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,184
2019,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,200
2020,Number,Both sexes,(A00-B99) Infectious and parasitic diseases,162
2003,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2411
2004,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2330
2005,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2653
2006,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2551
2007,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2733
2008,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2733
2009,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2822
2010,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2700
2011,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2802
2012,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2937
2013,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",3090
2014,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",3154
2015,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",3138
2016,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2948
2017,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",3027
2018,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2938
2019,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2891
2020,Number,Both sexes,"(C00-C97,D00-D48) Neoplasms",2719
2003,Number,Both sexes,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",8
2004,Number,Both sexes,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",13
2005,Number,Both sexes,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",15
2006,Number,Both sexes,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",6
