Year,Sex,UNIT_MEASURE,Value
2003,M,Age,28.3
2004,M,Age,28.4
2005,M,Age,28.6
2006,M,Age,28.9
2007,M,Age,28.9
2008,M,Age,29.1
2009,M,Age,29.1
2010,M,Age,29.2
2011,M,Age,29.5
2012,M,Age,29.6
2013,M,Age,29.9
2014,M,Age,30.1
2015,M,Age,30.0
2016,M,Age,29.9
2017,M,Age,30.2
2018,M,Age,30.3
2019,M,Age,30.2
2020,M,Age,29.3
2003,F,Age,24.7
2004,F,Age,24.8
2005,F,Age,25.0
2006,F,Age,25.3
2007,F,Age,25.4
2008,F,Age,25.4
2009,F,Age,25.8
2010,F,Age,25.9
2011,F,Age,26.1
2012,F,Age,26.3
2013,F,Age,26.6
2014,F,Age,26.7
2015,F,Age,26.6
2016,F,Age,26.7
2017,F,Age,27.0
2018,F,Age,27.3
2019,F,Age,27.2
2020,F,Age,27.5
