Year,UNIT_MEASURE,Value
2003,Number per 1000 marriages,0.6
2004,Number per 1000 marriages,0.5
2005,Number per 1000 marriages,0.6
2006,Number per 1000 marriages,0.4
2007,Number per 1000 marriages,0.5
2008,Number per 1000 marriages,0.3
2009,Number per 1000 marriages,0.4
2010,Number per 1000 marriages,0.4
2011,Number per 1000 marriages,0.8
2012,Number per 1000 marriages,0.7
2013,Number per 1000 marriages,0.9
2014,Number per 1000 marriages,0.9
2015,Number per 1000 marriages,1.0
2016,Number per 1000 marriages,0.9
2017,Number per 1000 marriages,0.9
2018,Number per 1000 marriages,0.8
2019,Number per 1000 marriages,0.8
2020,Number per 1000 marriages,0.8
