Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,Number,republika_srpska,_T,408825
2013,Number,grad_banja_luka,_T,65010
2013,Number,berkovici,_T,636
2013,Number,grad_bijeljina,_T,34309
2013,Number,bileca,_T,3307
2013,Number,bratunac,_T,5945
2013,Number,brod,_T,5599
2013,Number,visegrad,_T,3966
2013,Number,vlasenica,_T,3712
2013,Number,vukosavlje,_T,1537
2013,Number,gacko,_T,2766
2013,Number,grad_gradiska,_T,16939
2013,Number,grad_derventa,_T,9345
2013,Number,grad_doboj,_T,25447
2013,Number,donji_zabar,_T,1191
2013,Number,grad_zvornik,_T,17690
2013,Number,istocna_ilidza,_T,4981
2013,Number,istocni_drvar,_T,38
2013,Number,istocni_mostar,_T,83
2013,Number,istocni_stari_grad,_T,438
2013,Number,istocno_novo_sarajevo,_T,3819
2013,Number,jezero,_T,365
2013,Number,kalinovik,_T,783
2013,Number,knezevo,_T,3168
2013,Number,kozarska_dubica,_T,7492
2013,Number,kostajnica,_T,1896
2013,Number,kotor_varos,_T,5863
2013,Number,krupa_na_uni,_T,543
2013,Number,kupres,_T,128
2013,Number,laktasi,_T,11293
2013,Number,lopare,_T,5081
2013,Number,ljubinje,_T,1077
2013,Number,milici,_T,3579
2013,Number,modrica,_T,8553
2013,Number,mrkonjic_grad,_T,6104
2013,Number,nevesinje,_T,3985
2013,Number,novi_grad,_T,8792
2013,Number,novo_gorazde,_T,1078
2013,Number,osmaci,_T,1675
2013,Number,ostra_luka,_T,971
2013,Number,pale,_T,7158
2013,Number,pelagicevo,_T,1787
2013,Number,petrovac,_T,130
2013,Number,petrovo,_T,2532
2013,Number,grad_prijedor,_T,27961
2013,Number,prnjavor,_T,12166
2013,Number,ribnik,_T,2252
2013,Number,rogatica,_T,3871
2013,Number,rudo,_T,2847
2013,Number,sokolac,_T,4276
2013,Number,srbac,_T,6157
2013,Number,srebrenica,_T,3792
2013,Number,teslic,_T,13255
2013,Number,grad_trebinje,_T,9394
2013,Number,trnovo,_T,800
2013,Number,ugljevik,_T,4867
2013,Number,foca,_T,6544
2013,Number,han_pijesak,_T,1390
2013,Number,cajnice,_T,1662
2013,Number,celinac,_T,5009
2013,Number,samac,_T,5609
2013,Number,sekovici,_T,2517
2013,Number,sipovo,_T,3665
2013,Number,republika_srpska,single_household,91300
2013,Number,grad_banja_luka,single_household,13984
2013,Number,berkovici,single_household,129
2013,Number,grad_bijeljina,single_household,6984
2013,Number,bileca,single_household,629
2013,Number,bratunac,single_household,1155
2013,Number,brod,single_household,1360
2013,Number,visegrad,single_household,1132
2013,Number,vlasenica,single_household,768
2013,Number,vukosavlje,single_household,348
2013,Number,gacko,single_household,522
2013,Number,grad_gradiska,single_household,3782
2013,Number,grad_derventa,single_household,2270
2013,Number,grad_doboj,single_household,6230
2013,Number,donji_zabar,single_household,271
2013,Number,grad_zvornik,single_household,3323
2013,Number,istocna_ilidza,single_household,949
2013,Number,istocni_drvar,single_household,24
2013,Number,istocni_mostar,single_household,29
2013,Number,istocni_stari_grad,single_household,123
2013,Number,istocno_novo_sarajevo,single_household,904
2013,Number,jezero,single_household,86
2013,Number,kalinovik,single_household,245
2013,Number,knezevo,single_household,611
2013,Number,kozarska_dubica,single_household,1898
2013,Number,kostajnica,single_household,384
2013,Number,kotor_varos,single_household,1089
2013,Number,krupa_na_uni,single_household,159
2013,Number,kupres,single_household,44
2013,Number,laktasi,single_household,2093
2013,Number,lopare,single_household,1256
2013,Number,ljubinje,single_household,196
2013,Number,milici,single_household,789
2013,Number,modrica,single_household,1983
2013,Number,mrkonjic_grad,single_household,1538
2013,Number,nevesinje,single_household,766
2013,Number,novi_grad,single_household,1965
2013,Number,novo_gorazde,single_household,270
2013,Number,osmaci,single_household,254
2013,Number,ostra_luka,single_household,277
2013,Number,pale,single_household,1515
2013,Number,pelagicevo,single_household,640
2013,Number,petrovac,single_household,34
2013,Number,petrovo,single_household,726
2013,Number,grad_prijedor,single_household,6423
2013,Number,prnjavor,single_household,2943
2013,Number,ribnik,single_household,642
2013,Number,rogatica,single_household,986
2013,Number,rudo,single_household,696
2013,Number,sokolac,single_household,1022
2013,Number,srbac,single_household,1507
2013,Number,srebrenica,single_household,874
2013,Number,teslic,single_household,3060
2013,Number,grad_trebinje,single_household,1848
2013,Number,trnovo,single_household,223
2013,Number,ugljevik,single_household,1019
2013,Number,foca,single_household,1635
2013,Number,han_pijesak,single_household,389
2013,Number,cajnice,single_household,395
2013,Number,celinac,single_household,951
2013,Number,samac,single_household,1406
2013,Number,sekovici,single_household,708
2013,Number,sipovo,single_household,839
2013,Number,republika_srpska,2_members,107130
2013,Number,grad_banja_luka,2_members,17243
2013,Number,berkovici,2_members,166
2013,Number,grad_bijeljina,2_members,8272
2013,Number,bileca,2_members,719
2013,Number,bratunac,2_members,1345
2013,Number,brod,2_members,1439
2013,Number,visegrad,2_members,1172
2013,Number,vlasenica,2_members,1001
2013,Number,vukosavlje,2_members,425
2013,Number,gacko,2_members,622
2013,Number,grad_gradiska,2_members,4438
2013,Number,grad_derventa,2_members,2598
2013,Number,grad_doboj,2_members,7242
2013,Number,donji_zabar,2_members,290
2013,Number,grad_zvornik,2_members,4288
2013,Number,istocna_ilidza,2_members,1316
2013,Number,istocni_drvar,2_members,7
2013,Number,istocni_mostar,2_members,15
2013,Number,istocni_stari_grad,2_members,146
2013,Number,istocno_novo_sarajevo,2_members,1011
2013,Number,jezero,2_members,89
2013,Number,kalinovik,2_members,213
2013,Number,knezevo,2_members,937
2013,Number,kozarska_dubica,2_members,2021
2013,Number,kostajnica,2_members,477
2013,Number,kotor_varos,2_members,1358
2013,Number,krupa_na_uni,2_members,128
2013,Number,kupres,2_members,48
2013,Number,laktasi,2_members,2768
2013,Number,lopare,2_members,1261
2013,Number,ljubinje,2_members,254
2013,Number,milici,2_members,859
2013,Number,modrica,2_members,2332
2013,Number,mrkonjic_grad,2_members,1806
2013,Number,nevesinje,2_members,939
2013,Number,novi_grad,2_members,2390
2013,Number,novo_gorazde,2_members,288
2013,Number,osmaci,2_members,372
2013,Number,ostra_luka,2_members,243
2013,Number,pale,2_members,1890
2013,Number,pelagicevo,2_members,516
2013,Number,petrovac,2_members,35
2013,Number,petrovo,2_members,760
2013,Number,grad_prijedor,2_members,7125
2013,Number,prnjavor,2_members,3253
2013,Number,ribnik,2_members,673
2013,Number,rogatica,2_members,1120
2013,Number,rudo,2_members,851
2013,Number,sokolac,2_members,1227
2013,Number,srbac,2_members,1729
2013,Number,srebrenica,2_members,858
2013,Number,teslic,2_members,3602
2013,Number,grad_trebinje,2_members,2317
2013,Number,trnovo,2_members,250
2013,Number,ugljevik,2_members,1118
2013,Number,foca,2_members,1877
2013,Number,han_pijesak,2_members,439
2013,Number,cajnice,2_members,442
2013,Number,celinac,2_members,1260
2013,Number,samac,2_members,1408
2013,Number,sekovici,2_members,783
2013,Number,sipovo,2_members,1059
2013,Number,republika_srpska,3_members,79155
2013,Number,grad_banja_luka,3_members,14267
2013,Number,berkovici,3_members,92
2013,Number,grad_bijeljina,3_members,6586
2013,Number,bileca,3_members,620
2013,Number,bratunac,3_members,1137
2013,Number,brod,3_members,1107
2013,Number,visegrad,3_members,724
2013,Number,vlasenica,3_members,747
2013,Number,vukosavlje,3_members,280
2013,Number,gacko,3_members,561
2013,Number,grad_gradiska,3_members,3140
2013,Number,grad_derventa,3_members,1688
2013,Number,grad_doboj,3_members,4956
2013,Number,donji_zabar,3_members,178
2013,Number,grad_zvornik,3_members,3400
2013,Number,istocna_ilidza,3_members,1075
2013,Number,istocni_drvar,3_members,6
2013,Number,istocni_mostar,3_members,12
2013,Number,istocni_stari_grad,3_members,75
2013,Number,istocno_novo_sarajevo,3_members,813
2013,Number,jezero,3_members,75
2013,Number,kalinovik,3_members,136
2013,Number,knezevo,3_members,554
2013,Number,kozarska_dubica,3_members,1351
2013,Number,kostajnica,3_members,384
2013,Number,kotor_varos,3_members,1079
2013,Number,krupa_na_uni,3_members,84
2013,Number,kupres,3_members,16
2013,Number,laktasi,3_members,2241
2013,Number,lopare,3_members,908
2013,Number,ljubinje,3_members,234
2013,Number,milici,3_members,709
2013,Number,modrica,3_members,1567
2013,Number,mrkonjic_grad,3_members,1218
2013,Number,nevesinje,3_members,701
2013,Number,novi_grad,3_members,1669
2013,Number,novo_gorazde,3_members,193
2013,Number,osmaci,3_members,317
2013,Number,ostra_luka,3_members,151
2013,Number,pale,3_members,1438
2013,Number,pelagicevo,3_members,225
2013,Number,petrovac,3_members,22
2013,Number,petrovo,3_members,448
2013,Number,grad_prijedor,3_members,5351
2013,Number,prnjavor,3_members,2183
2013,Number,ribnik,3_members,356
2013,Number,rogatica,3_members,709
2013,Number,rudo,3_members,523
2013,Number,sokolac,3_members,808
2013,Number,srbac,3_members,1106
2013,Number,srebrenica,3_members,656
2013,Number,teslic,3_members,2559
2013,Number,grad_trebinje,3_members,1871
2013,Number,trnovo,3_members,143
2013,Number,ugljevik,3_members,821
2013,Number,foca,3_members,1263
2013,Number,han_pijesak,3_members,249
2013,Number,cajnice,3_members,303
2013,Number,celinac,3_members,985
2013,Number,samac,3_members,971
2013,Number,sekovici,3_members,418
2013,Number,sipovo,3_members,696
2013,Number,republika_srpska,4_members,72771
2013,Number,grad_banja_luka,4_members,12952
2013,Number,berkovici,4_members,84
2013,Number,grad_bijeljina,4_members,6377
2013,Number,bileca,4_members,616
2013,Number,bratunac,4_members,1161
2013,Number,brod,4_members,928
2013,Number,visegrad,4_members,582
2013,Number,vlasenica,4_members,687
2013,Number,vukosavlje,4_members,249
2013,Number,gacko,4_members,480
2013,Number,grad_gradiska,4_members,2878
2013,Number,grad_derventa,4_members,1520
2013,Number,grad_doboj,4_members,4148
2013,Number,donji_zabar,4_members,184
2013,Number,grad_zvornik,4_members,3448
2013,Number,istocna_ilidza,4_members,1028
2013,Number,istocni_drvar,4_members,0
2013,Number,istocni_mostar,4_members,10
2013,Number,istocni_stari_grad,4_members,43
2013,Number,istocno_novo_sarajevo,4_members,702
2013,Number,jezero,4_members,58
2013,Number,kalinovik,4_members,109
2013,Number,knezevo,4_members,551
2013,Number,kozarska_dubica,4_members,1175
2013,Number,kostajnica,4_members,311
2013,Number,kotor_varos,4_members,1206
2013,Number,krupa_na_uni,4_members,72
2013,Number,kupres,4_members,6
2013,Number,laktasi,4_members,2345
2013,Number,lopare,4_members,805
2013,Number,ljubinje,4_members,194
2013,Number,milici,4_members,714
2013,Number,modrica,4_members,1422
2013,Number,mrkonjic_grad,4_members,939
2013,Number,nevesinje,4_members,736
2013,Number,novi_grad,4_members,1422
2013,Number,novo_gorazde,4_members,204
2013,Number,osmaci,4_members,358
2013,Number,ostra_luka,4_members,131
2013,Number,pale,4_members,1418
2013,Number,pelagicevo,4_members,191
2013,Number,petrovac,4_members,19
2013,Number,petrovo,4_members,370
2013,Number,grad_prijedor,4_members,4862
2013,Number,prnjavor,4_members,1953
2013,Number,ribnik,4_members,308
2013,Number,rogatica,4_members,630
2013,Number,rudo,4_members,467
2013,Number,sokolac,4_members,728
2013,Number,srbac,4_members,1011
2013,Number,srebrenica,4_members,652
2013,Number,teslic,4_members,2147
2013,Number,grad_trebinje,4_members,1765
2013,Number,trnovo,4_members,110
2013,Number,ugljevik,4_members,932
2013,Number,foca,4_members,1115
2013,Number,han_pijesak,4_members,194
2013,Number,cajnice,4_members,278
2013,Number,celinac,4_members,964
2013,Number,samac,4_members,823
2013,Number,sekovici,4_members,379
2013,Number,sipovo,4_members,620
2013,Number,republika_srpska,5+_members,58469
2013,Number,grad_banja_luka,5+_members,6564
2013,Number,berkovici,5+_members,165
2013,Number,grad_bijeljina,5+_members,6090
2013,Number,bileca,5+_members,723
2013,Number,bratunac,5+_members,1147
2013,Number,brod,5+_members,765
2013,Number,visegrad,5+_members,356
2013,Number,vlasenica,5+_members,509
2013,Number,vukosavlje,5+_members,235
2013,Number,gacko,5+_members,581
2013,Number,grad_gradiska,5+_members,2701
2013,Number,grad_derventa,5+_members,1269
2013,Number,grad_doboj,5+_members,2871
2013,Number,donji_zabar,5+_members,268
2013,Number,grad_zvornik,5+_members,3231
2013,Number,istocna_ilidza,5+_members,613
2013,Number,istocni_drvar,5+_members,1
2013,Number,istocni_mostar,5+_members,17
2013,Number,istocni_stari_grad,5+_members,51
2013,Number,istocno_novo_sarajevo,5+_members,389
2013,Number,jezero,5+_members,57
2013,Number,kalinovik,5+_members,80
2013,Number,knezevo,5+_members,515
2013,Number,kozarska_dubica,5+_members,1047
2013,Number,kostajnica,5+_members,340
2013,Number,kotor_varos,5+_members,1131
2013,Number,krupa_na_uni,5+_members,100
2013,Number,kupres,5+_members,14
2013,Number,laktasi,5+_members,1846
2013,Number,lopare,5+_members,851
2013,Number,ljubinje,5+_members,199
2013,Number,milici,5+_members,508
2013,Number,modrica,5+_members,1249
2013,Number,mrkonjic_grad,5+_members,603
2013,Number,nevesinje,5+_members,843
2013,Number,novi_grad,5+_members,1346
2013,Number,novo_gorazde,5+_members,123
2013,Number,osmaci,5+_members,374
2013,Number,ostra_luka,5+_members,169
2013,Number,pale,5+_members,897
2013,Number,pelagicevo,5+_members,215
2013,Number,petrovac,5+_members,20
2013,Number,petrovo,5+_members,228
2013,Number,grad_prijedor,5+_members,4200
2013,Number,prnjavor,5+_members,1834
2013,Number,ribnik,5+_members,273
2013,Number,rogatica,5+_members,426
2013,Number,rudo,5+_members,310
2013,Number,sokolac,5+_members,491
2013,Number,srbac,5+_members,804
2013,Number,srebrenica,5+_members,752
2013,Number,teslic,5+_members,1887
2013,Number,grad_trebinje,5+_members,1593
2013,Number,trnovo,5+_members,74
2013,Number,ugljevik,5+_members,977
2013,Number,foca,5+_members,654
2013,Number,han_pijesak,5+_members,119
2013,Number,cajnice,5+_members,244
2013,Number,celinac,5+_members,849
2013,Number,samac,5+_members,1001
2013,Number,sekovici,5+_members,229
2013,Number,sipovo,5+_members,451
