Year,UNIT_MEASURE,Administrative area,agricultural_households_number,Value
2013,Number,Republika Srpska,agricultural_households,140960
2013,Number,City of Banja Luka,agricultural_households,8832
2013,Number,Berkovici,agricultural_households,450
2013,Number,City of Bijeljina,agricultural_households,10563
2013,Number,Bileca,agricultural_households,1659
2013,Number,Bratunac,agricultural_households,3166
2013,Number,Brod,agricultural_households,1512
2013,Number,Visegrad,agricultural_households,963
2013,Number,Vlasenica,agricultural_households,1381
2013,Number,Vukosavlje,agricultural_households,532
2013,Number,Gacko,agricultural_households,986
2013,Number,City of Gradiska,agricultural_households,6402
2013,Number,City of Derventa,agricultural_households,3038
2013,Number,City of Doboj,agricultural_households,9221
2013,Number,Donji Zabar,agricultural_households,617
2013,Number,City of Zvornik,agricultural_households,7120
2013,Number,East Ilidza,agricultural_households,1045
2013,Number,East Drvar,agricultural_households,11
2013,Number,East Mostar,agricultural_households,60
2013,Number,East Stari Grad,agricultural_households,262
2013,Number,East Novo Sarajevo,agricultural_households,505
2013,Number,Jezero,agricultural_households,99
2013,Number,Kalinovik,agricultural_households,365
2013,Number,Knezevo,agricultural_households,1920
2013,Number,Kozarska Dubica,agricultural_households,2974
2013,Number,Kostajnica,agricultural_households,746
2013,Number,Kotor Varos,agricultural_households,1826
2013,Number,Krupa Na Uni,agricultural_households,453
2013,Number,Kupres,agricultural_households,85
2013,Number,Laktasi,agricultural_households,3882
2013,Number,Lopare,agricultural_households,2416
2013,Number,Ljubinje,agricultural_households,598
2013,Number,Milici,agricultural_households,1395
2013,Number,Modrica,agricultural_households,2793
2013,Number,Mrkonjic Grad,agricultural_households,2540
2013,Number,Nevesinje,agricultural_households,2062
2013,Number,Novi Grad,agricultural_households,3770
2013,Number,Novo Gorazde,agricultural_households,431
2013,Number,Osmaci,agricultural_households,1002
2013,Number,Ostra Luka,agricultural_households,572
2013,Number,Pale,agricultural_households,1527
2013,Number,Pelagicevo,agricultural_households,869
2013,Number,Petrovac,agricultural_households,54
2013,Number,Petrovo,agricultural_households,1388
2013,Number,City of Prijedor,agricultural_households,8920
2013,Number,Prnjavor,agricultural_households,6121
2013,Number,Ribnik,agricultural_households,1579
2013,Number,Rogatica,agricultural_households,1481
2013,Number,Rudo,agricultural_households,1466
2013,Number,Sokolac,agricultural_households,1586
2013,Number,Srbac,agricultural_households,2852
2013,Number,Srebrenica,agricultural_households,1905
2013,Number,Teslic,agricultural_households,7062
2013,Number,City of Trebinje,agricultural_households,2485
2013,Number,Trnovo,agricultural_households,341
2013,Number,Ugljevik,agricultural_households,2419
2013,Number,Foca,agricultural_households,1965
2013,Number,Han Pijesak,agricultural_households,448
2013,Number,Cajnice,agricultural_households,884
2013,Number,Celinac,agricultural_households,2592
2013,Number,Samac,agricultural_households,2223
2013,Number,Sekovici,agricultural_households,890
2013,Number,Sipovo,agricultural_households,1649
2013,Number,Republika Srpska,agricultural_selling,25335
2013,Number,City of Banja Luka,agricultural_selling,593
2013,Number,Berkovici,agricultural_selling,234
2013,Number,City of Bijeljina,agricultural_selling,4977
2013,Number,Bileca,agricultural_selling,213
2013,Number,Bratunac,agricultural_selling,704
2013,Number,Brod,agricultural_selling,134
2013,Number,Visegrad,agricultural_selling,97
2013,Number,Vlasenica,agricultural_selling,241
2013,Number,Vukosavlje,agricultural_selling,74
2013,Number,Gacko,agricultural_selling,437
