Year,UNIT_MEASURE,Teritory,Sex,Literacy,Value
2013,Number,REPUBLIKA SRPSKA,Both sexes,Total,1062861
2013,Number,REPUBLIKA SRPSKA,M,Total,516703
2013,Number,REPUBLIKA SRPSKA,F,Total,546158
2013,Number,BANJA LUKA,Both sexes,Total,162106
2013,Number,BANJA LUKA,M,Total,77356
2013,Number,BANJA LUKA,F,Total,84750
2013,Number,BERKOVICI,Both sexes,Total,1824
2013,Number,BERKOVICI,M,Total,916
2013,Number,BERKOVICI,F,Total,908
2013,Number,BIJELJINA,Both sexes,Total,94007
2013,Number,BIJELJINA,M,Total,45652
2013,Number,BIJELJINA,F,Total,48355
2013,Number,BILECA,Both sexes,Total,9644
2013,Number,BILECA,M,Total,4830
2013,Number,BILECA,F,Total,4814
2013,Number,BRATUNAC,Both sexes,Total,16773
2013,Number,BRATUNAC,M,Total,8235
2013,Number,BRATUNAC,F,Total,8538
2013,Number,BROD,Both sexes,Total,14277
2013,Number,BROD,M,Total,6911
2013,Number,BROD,F,Total,7366
2013,Number,VISEGRAD,Both sexes,Total,9381
2013,Number,VISEGRAD,M,Total,4478
2013,Number,VISEGRAD,F,Total,4903
2013,Number,VLASENICA,Both sexes,Total,9649
2013,Number,VLASENICA,M,Total,4669
2013,Number,VLASENICA,F,Total,4980
2013,Number,VUKOSAVLJE,Both sexes,Total,3950
2013,Number,VUKOSAVLJE,M,Total,1975
2013,Number,VUKOSAVLJE,F,Total,1975
2013,Number,GACKO,Both sexes,Total,7864
2013,Number,GACKO,M,Total,3987
2013,Number,GACKO,F,Total,3877
2013,Number,GRADISKA,Both sexes,Total,44972
2013,Number,GRADISKA,M,Total,21810
2013,Number,GRADISKA,F,Total,23162
2013,Number,DERVENTA,Both sexes,Total,23629
2013,Number,DERVENTA,M,Total,11467
2013,Number,DERVENTA,F,Total,12162
2013,Number,DOBOJ,Both sexes,Total,62056
2013,Number,DOBOJ,M,Total,29964
2013,Number,DOBOJ,F,Total,32092
2013,Number,DONJI ZABAR,Both sexes,Total,3352
2013,Number,DONJI ZABAR,M,Total,1685
2013,Number,DONJI ZABAR,F,Total,1667
2013,Number,ZVORNIK,Both sexes,Total,48535
2013,Number,ZVORNIK,M,Total,23809
2013,Number,ZVORNIK,F,Total,24726
2013,Number,ISTOCNA ILIDZA,Both sexes,Total,13131
2013,Number,ISTOCNA ILIDZA,M,Total,6250
2013,Number,ISTOCNA ILIDZA,F,Total,6881
2013,Number,ISTOCNI DRVAR,Both sexes,Total,65
2013,Number,ISTOCNI DRVAR,M,Total,43
2013,Number,ISTOCNI DRVAR,F,Total,22
2013,Number,ISTOCNI MOSTAR,Both sexes,Total,226
2013,Number,ISTOCNI MOSTAR,M,Total,128
2013,Number,ISTOCNI MOSTAR,F,Total,98
2013,Number,ISTOCNI STARI GRAD,Both sexes,Total,1033
2013,Number,ISTOCNI STARI GRAD,M,Total,505
2013,Number,ISTOCNI STARI GRAD,F,Total,528
2013,Number,ISTOCNO NOVO SARAJEVO,Both sexes,Total,9302
2013,Number,ISTOCNO NOVO SARAJEVO,M,Total,4402
2013,Number,ISTOCNO NOVO SARAJEVO,F,Total,4900
2013,Number,JEZERO,Both sexes,Total,951
2013,Number,JEZERO,M,Total,492
2013,Number,JEZERO,F,Total,459
2013,Number,KALINOVIK,Both sexes,Total,1845
2013,Number,KALINOVIK,M,Total,895
2013,Number,KALINOVIK,F,Total,950
2013,Number,KNEZEVO,Both sexes,Total,8558
2013,Number,KNEZEVO,M,Total,4209
2013,Number,KNEZEVO,F,Total,4349
2013,Number,KOZARSKA DUBICA,Both sexes,Total,19095
2013,Number,KOZARSKA DUBICA,M,Total,9296
2013,Number,KOZARSKA DUBICA,F,Total,9799
2013,Number,KOSTAJNICA,Both sexes,Total,5201
2013,Number,KOSTAJNICA,M,Total,2553
2013,Number,KOSTAJNICA,F,Total,2648
2013,Number,KOTOR VAROS,Both sexes,Total,16533
2013,Number,KOTOR VAROS,M,Total,8069
2013,Number,KOTOR VAROS,F,Total,8464
2013,Number,KRUPA NA UNI,Both sexes,Total,1456
2013,Number,KRUPA NA UNI,M,Total,786
2013,Number,KRUPA NA UNI,F,Total,670
2013,Number,KUPRES,Both sexes,Total,280
2013,Number,KUPRES,M,Total,147
2013,Number,KUPRES,F,Total,133
2013,Number,LAKTASI,Both sexes,Total,30705
2013,Number,LAKTASI,M,Total,15132
2013,Number,LAKTASI,F,Total,15573
2013,Number,LOPARE,Both sexes,Total,13599
2013,Number,LOPARE,M,Total,6831
2013,Number,LOPARE,F,Total,6768
2013,Number,LJUBINJE,Both sexes,Total,3046
2013,Number,LJUBINJE,M,Total,1502
2013,Number,LJUBINJE,F,Total,1544
2013,Number,MILICI,Both sexes,Total,9487
2013,Number,MILICI,M,Total,4761
2013,Number,MILICI,F,Total,4726
2013,Number,MODRICA,Both sexes,Total,22419
2013,Number,MODRICA,M,Total,10910
2013,Number,MODRICA,F,Total,11509
2013,Number,MRKONJIC GRAD,Both sexes,Total,14541
2013,Number,MRKONJIC GRAD,M,Total,6944
2013,Number,MRKONJIC GRAD,F,Total,7597
2013,Number,NEVESINJE,Both sexes,Total,11346
2013,Number,NEVESINJE,M,Total,5615
2013,Number,NEVESINJE,F,Total,5731
2013,Number,NOVI GRAD,Both sexes,Total,23292
2013,Number,NOVI GRAD,M,Total,11576
2013,Number,NOVI GRAD,F,Total,11716
2013,Number,NOVO GORAZDE,Both sexes,Total,2718
2013,Number,NOVO GORAZDE,M,Total,1408
2013,Number,NOVO GORAZDE,F,Total,1310
2013,Number,OSMACI,Both sexes,Total,5021
2013,Number,OSMACI,M,Total,2498
2013,Number,OSMACI,F,Total,2523
2013,Number,OSTRA LUKA,Both sexes,Total,2468
2013,Number,OSTRA LUKA,M,Total,1264
2013,Number,OSTRA LUKA,F,Total,1204
2013,Number,PALE,Both sexes,Total,18603
2013,Number,PALE,M,Total,8848
2013,Number,PALE,F,Total,9755
2013,Number,PELAGICEVO,Both sexes,Total,4076
2013,Number,PELAGICEVO,M,Total,2009
2013,Number,PELAGICEVO,F,Total,2067
2013,Number,PETROVAC,Both sexes,Total,323
2013,Number,PETROVAC,M,Total,151
2013,Number,PETROVAC,F,Total,172
2013,Number,PETROVO,Both sexes,Total,5831
2013,Number,PETROVO,M,Total,2793
2013,Number,PETROVO,F,Total,3038
2013,Number,PRIJEDOR,Both sexes,Total,74375
2013,Number,PRIJEDOR,M,Total,36023
2013,Number,PRIJEDOR,F,Total,38352
2013,Number,PRNJAVOR,Both sexes,Total,31231
2013,Number,PRNJAVOR,M,Total,15075
2013,Number,PRNJAVOR,F,Total,16156
2013,Number,RIBNIK,Both sexes,Total,5365
2013,Number,RIBNIK,M,Total,2649
2013,Number,RIBNIK,F,Total,2716
2013,Number,ROGATICA,Both sexes,Total,9327
2013,Number,ROGATICA,M,Total,4558
2013,Number,ROGATICA,F,Total,4769
2013,Number,RUDO,Both sexes,Total,6979
2013,Number,RUDO,M,Total,3524
2013,Number,RUDO,F,Total,3455
2013,Number,SOKOLAC,Both sexes,Total,10588
2013,Number,SOKOLAC,M,Total,5194
2013,Number,SOKOLAC,F,Total,5394
2013,Number,SRBAC,Both sexes,Total,15404
2013,Number,SRBAC,M,Total,7537
2013,Number,SRBAC,F,Total,7867
2013,Number,SREBRENICA,Both sexes,Total,10715
2013,Number,SREBRENICA,M,Total,5225
2013,Number,SREBRENICA,F,Total,5490
2013,Number,TESLIC,Both sexes,Total,33369
2013,Number,TESLIC,M,Total,15840
2013,Number,TESLIC,F,Total,17529
2013,Number,TREBINJE,Both sexes,Total,25447
2013,Number,TREBINJE,M,Total,12305
2013,Number,TREBINJE,F,Total,13142
2013,Number,TRNOVO,Both sexes,Total,1852
2013,Number,TRNOVO,M,Total,887
2013,Number,TRNOVO,F,Total,965
2013,Number,UGLJEVIK,Both sexes,Total,13720
2013,Number,UGLJEVIK,M,Total,6891
2013,Number,UGLJEVIK,F,Total,6829
2013,Number,FOCA,Both sexes,Total,16227
2013,Number,FOCA,M,Total,8147
2013,Number,FOCA,F,Total,8080
2013,Number,HAN PIJESAK,Both sexes,Total,3187
2013,Number,HAN PIJESAK,M,Total,1496
2013,Number,HAN PIJESAK,F,Total,1691
2013,Number,CAJNICE,Both sexes,Total,4289
2013,Number,CAJNICE,M,Total,2164
2013,Number,CAJNICE,F,Total,2125
2013,Number,CELINAC,Both sexes,Total,13636
2013,Number,CELINAC,M,Total,6711
2013,Number,CELINAC,F,Total,6925
2013,Number,SAMAC,Both sexes,Total,15072
2013,Number,SAMAC,M,Total,7273
2013,Number,SAMAC,F,Total,7799
2013,Number,SEKOVICI,Both sexes,Total,5816
2013,Number,SEKOVICI,M,Total,2868
2013,Number,SEKOVICI,F,Total,2948
2013,Number,SIPOVO,Both sexes,Total,9092
2013,Number,SIPOVO,M,Total,4575
2013,Number,SIPOVO,F,Total,4517
2013,Number,REPUBLIKA SRPSKA,Both sexes,illiterate,34928
2013,Number,REPUBLIKA SRPSKA,M,illiterate,4987
2013,Number,REPUBLIKA SRPSKA,F,illiterate,29941
2013,Number,BANJA LUKA,Both sexes,illiterate,3503
2013,Number,BANJA LUKA,M,illiterate,509
2013,Number,BANJA LUKA,F,illiterate,2994
2013,Number,BERKOVICI,Both sexes,illiterate,47
2013,Number,BERKOVICI,M,illiterate,1
2013,Number,BERKOVICI,F,illiterate,46
2013,Number,BIJELJINA,Both sexes,illiterate,2541
2013,Number,BIJELJINA,M,illiterate,413
2013,Number,BIJELJINA,F,illiterate,2128
2013,Number,BILECA,Both sexes,illiterate,144
2013,Number,BILECA,M,illiterate,31
2013,Number,BILECA,F,illiterate,113
2013,Number,BRATUNAC,Both sexes,illiterate,865
2013,Number,BRATUNAC,M,illiterate,82
2013,Number,BRATUNAC,F,illiterate,783
2013,Number,BROD,Both sexes,illiterate,330
2013,Number,BROD,M,illiterate,53
2013,Number,BROD,F,illiterate,277
2013,Number,VISEGRAD,Both sexes,illiterate,358
2013,Number,VISEGRAD,M,illiterate,35
2013,Number,VISEGRAD,F,illiterate,323
2013,Number,VLASENICA,Both sexes,illiterate,350
2013,Number,VLASENICA,M,illiterate,49
2013,Number,VLASENICA,F,illiterate,301
2013,Number,VUKOSAVLJE,Both sexes,illiterate,196
2013,Number,VUKOSAVLJE,M,illiterate,31
2013,Number,VUKOSAVLJE,F,illiterate,165
2013,Number,GACKO,Both sexes,illiterate,110
2013,Number,GACKO,M,illiterate,10
2013,Number,GACKO,F,illiterate,100
2013,Number,GRADISKA,Both sexes,illiterate,1526
2013,Number,GRADISKA,M,illiterate,204
2013,Number,GRADISKA,F,illiterate,1322
2013,Number,DERVENTA,Both sexes,illiterate,812
2013,Number,DERVENTA,M,illiterate,120
2013,Number,DERVENTA,F,illiterate,692
2013,Number,DOBOJ,Both sexes,illiterate,1979
2013,Number,DOBOJ,M,illiterate,270
2013,Number,DOBOJ,F,illiterate,1709
2013,Number,DONJI ZABAR,Both sexes,illiterate,128
2013,Number,DONJI ZABAR,M,illiterate,26
2013,Number,DONJI ZABAR,F,illiterate,102
2013,Number,ZVORNIK,Both sexes,illiterate,2055
2013,Number,ZVORNIK,M,illiterate,245
2013,Number,ZVORNIK,F,illiterate,1810
2013,Number,ISTOCNA ILIDZA,Both sexes,illiterate,171
2013,Number,ISTOCNA ILIDZA,M,illiterate,22
2013,Number,ISTOCNA ILIDZA,F,illiterate,149
2013,Number,ISTOCNI DRVAR,Both sexes,illiterate,2
2013,Number,ISTOCNI DRVAR,F,illiterate,2
2013,Number,ISTOCNI MOSTAR,Both sexes,illiterate,19
2013,Number,ISTOCNI MOSTAR,M,illiterate,1
2013,Number,ISTOCNI MOSTAR,F,illiterate,18
2013,Number,ISTOCNI STARI GRAD,Both sexes,illiterate,40
2013,Number,ISTOCNI STARI GRAD,M,illiterate,3
2013,Number,ISTOCNI STARI GRAD,F,illiterate,37
2013,Number,ISTOCNO NOVO SARAJEVO,Both sexes,illiterate,80
2013,Number,ISTOCNO NOVO SARAJEVO,M,illiterate,14
2013,Number,ISTOCNO NOVO SARAJEVO,F,illiterate,66
2013,Number,JEZERO,Both sexes,illiterate,43
2013,Number,JEZERO,M,illiterate,7
2013,Number,JEZERO,F,illiterate,36
2013,Number,KALINOVIK,Both sexes,illiterate,86
2013,Number,KALINOVIK,M,illiterate,5
2013,Number,KALINOVIK,F,illiterate,81
2013,Number,KNEZEVO,Both sexes,illiterate,971
2013,Number,KNEZEVO,M,illiterate,146
2013,Number,KNEZEVO,F,illiterate,825
2013,Number,KOZARSKA DUBICA,Both sexes,illiterate,590
2013,Number,KOZARSKA DUBICA,M,illiterate,77
2013,Number,KOZARSKA DUBICA,F,illiterate,513
2013,Number,KOSTAJNICA,Both sexes,illiterate,115
2013,Number,KOSTAJNICA,M,illiterate,14
2013,Number,KOSTAJNICA,F,illiterate,101
2013,Number,KOTOR VAROS,Both sexes,illiterate,1042
2013,Number,KOTOR VAROS,M,illiterate,148
2013,Number,KOTOR VAROS,F,illiterate,894
2013,Number,KRUPA NA UNI,Both sexes,illiterate,145
2013,Number,KRUPA NA UNI,M,illiterate,21
2013,Number,KRUPA NA UNI,F,illiterate,124
2013,Number,KUPRES,Both sexes,illiterate,81
2013,Number,KUPRES,M,illiterate,27
2013,Number,KUPRES,F,illiterate,54
2013,Number,LAKTASI,Both sexes,illiterate,752
2013,Number,LAKTASI,M,illiterate,117
2013,Number,LAKTASI,F,illiterate,635
2013,Number,LOPARE,Both sexes,illiterate,680
2013,Number,LOPARE,M,illiterate,123
2013,Number,LOPARE,F,illiterate,557
2013,Number,LJUBINJE,Both sexes,illiterate,49
2013,Number,LJUBINJE,M,illiterate,5
2013,Number,LJUBINJE,F,illiterate,44
2013,Number,MILICI,Both sexes,illiterate,399
2013,Number,MILICI,M,illiterate,51
2013,Number,MILICI,F,illiterate,348
2013,Number,MODRICA,Both sexes,illiterate,736
2013,Number,MODRICA,M,illiterate,119
2013,Number,MODRICA,F,illiterate,617
2013,Number,MRKONJIC GRAD,Both sexes,illiterate,821
2013,Number,MRKONJIC GRAD,M,illiterate,95
2013,Number,MRKONJIC GRAD,F,illiterate,726
2013,Number,NEVESINJE,Both sexes,illiterate,305
2013,Number,NEVESINJE,M,illiterate,32
2013,Number,NEVESINJE,F,illiterate,273
2013,Number,NOVI GRAD,Both sexes,illiterate,666
2013,Number,NOVI GRAD,M,illiterate,106
2013,Number,NOVI GRAD,F,illiterate,560
2013,Number,NOVO GORAZDE,Both sexes,illiterate,76
2013,Number,NOVO GORAZDE,M,illiterate,5
2013,Number,NOVO GORAZDE,F,illiterate,71
2013,Number,OSMACI,Both sexes,illiterate,264
2013,Number,OSMACI,M,illiterate,29
2013,Number,OSMACI,F,illiterate,235
2013,Number,OSTRA LUKA,Both sexes,illiterate,196
2013,Number,OSTRA LUKA,M,illiterate,32
2013,Number,OSTRA LUKA,F,illiterate,164
2013,Number,PALE,Both sexes,illiterate,293
2013,Number,PALE,M,illiterate,40
2013,Number,PALE,F,illiterate,253
2013,Number,PELAGICEVO,Both sexes,illiterate,179
2013,Number,PELAGICEVO,M,illiterate,29
2013,Number,PELAGICEVO,F,illiterate,150
2013,Number,PETROVAC,Both sexes,illiterate,6
2013,Number,PETROVAC,M,illiterate,-
2013,Number,PETROVAC,F,illiterate,6
2013,Number,PETROVO,Both sexes,illiterate,245
2013,Number,PETROVO,M,illiterate,28
2013,Number,PETROVO,F,illiterate,217
2013,Number,PRIJEDOR,Both sexes,illiterate,2172
2013,Number,PRIJEDOR,M,illiterate,422
2013,Number,PRIJEDOR,F,illiterate,1750
2013,Number,PRNJAVOR,Both sexes,illiterate,1408
2013,Number,PRNJAVOR,M,illiterate,203
2013,Number,PRNJAVOR,F,illiterate,1205
2013,Number,RIBNIK,Both sexes,illiterate,456
2013,Number,RIBNIK,M,illiterate,69
2013,Number,RIBNIK,F,illiterate,387
2013,Number,ROGATICA,Both sexes,illiterate,351
2013,Number,ROGATICA,M,illiterate,38
2013,Number,ROGATICA,F,illiterate,313
2013,Number,RUDO,Both sexes,illiterate,155
2013,Number,RUDO,M,illiterate,27
2013,Number,RUDO,F,illiterate,128
2013,Number,SOKOLAC,Both sexes,illiterate,231
2013,Number,SOKOLAC,M,illiterate,25
2013,Number,SOKOLAC,F,illiterate,206
2013,Number,SRBAC,Both sexes,illiterate,539
2013,Number,SRBAC,M,illiterate,102
2013,Number,SRBAC,F,illiterate,437
2013,Number,SREBRENICA,Both sexes,illiterate,627
2013,Number,SREBRENICA,M,illiterate,64
2013,Number,SREBRENICA,F,illiterate,563
2013,Number,TESLIC,Both sexes,illiterate,1980
2013,Number,TESLIC,M,illiterate,227
2013,Number,TESLIC,F,illiterate,1753
2013,Number,TREBINJE,Both sexes,illiterate,237
2013,Number,TREBINJE,M,illiterate,31
2013,Number,TREBINJE,F,illiterate,206
2013,Number,TRNOVO,Both sexes,illiterate,76
2013,Number,TRNOVO,M,illiterate,10
2013,Number,TRNOVO,F,illiterate,66
2013,Number,UGLJEVIK,Both sexes,illiterate,451
2013,Number,UGLJEVIK,M,illiterate,68
2013,Number,UGLJEVIK,F,illiterate,383
2013,Number,FOCA,Both sexes,illiterate,391
2013,Number,FOCA,M,illiterate,51
2013,Number,FOCA,F,illiterate,340
2013,Number,HAN PIJESAK,Both sexes,illiterate,88
2013,Number,HAN PIJESAK,M,illiterate,10
2013,Number,HAN PIJESAK,F,illiterate,78
2013,Number,CAJNICE,Both sexes,illiterate,140
2013,Number,CAJNICE,M,illiterate,22
2013,Number,CAJNICE,F,illiterate,118
2013,Number,CELINAC,Both sexes,illiterate,472
2013,Number,CELINAC,M,illiterate,56
2013,Number,CELINAC,F,illiterate,416
2013,Number,SAMAC,Both sexes,illiterate,300
2013,Number,SAMAC,M,illiterate,55
2013,Number,SAMAC,F,illiterate,245
2013,Number,SEKOVICI,Both sexes,illiterate,427
2013,Number,SEKOVICI,M,illiterate,83
2013,Number,SEKOVICI,F,illiterate,344
2013,Number,SIPOVO,Both sexes,illiterate,431
2013,Number,SIPOVO,M,illiterate,49
2013,Number,SIPOVO,F,illiterate,382
2013,Number,REPUBLIKA SRPSKA,Both sexes,illiterates_percentage,3.29
2013,Number,REPUBLIKA SRPSKA,M,illiterates_percentage,0.97
2013,Number,REPUBLIKA SRPSKA,F,illiterates_percentage,5.48
2013,Number,BANJA LUKA,Both sexes,illiterates_percentage,2.16
2013,Number,BANJA LUKA,M,illiterates_percentage,0.66
2013,Number,BANJA LUKA,F,illiterates_percentage,3.53
2013,Number,BERKOVICI,Both sexes,illiterates_percentage,2.58
2013,Number,BERKOVICI,M,illiterates_percentage,0.11
2013,Number,BERKOVICI,F,illiterates_percentage,5.07
2013,Number,BIJELJINA,Both sexes,illiterates_percentage,2.70
2013,Number,BIJELJINA,M,illiterates_percentage,0.90
2013,Number,BIJELJINA,F,illiterates_percentage,4.40
2013,Number,BILECA,Both sexes,illiterates_percentage,1.49
2013,Number,BILECA,M,illiterates_percentage,0.64
2013,Number,BILECA,F,illiterates_percentage,2.35
2013,Number,BRATUNAC,Both sexes,illiterates_percentage,5.16
2013,Number,BRATUNAC,M,illiterates_percentage,1.00
2013,Number,BRATUNAC,F,illiterates_percentage,9.17
2013,Number,BROD,Both sexes,illiterates_percentage,2.31
2013,Number,BROD,M,illiterates_percentage,0.77
2013,Number,BROD,F,illiterates_percentage,3.76
2013,Number,VISEGRAD,Both sexes,illiterates_percentage,3.82
2013,Number,VISEGRAD,M,illiterates_percentage,0.78
2013,Number,VISEGRAD,F,illiterates_percentage,6.59
2013,Number,VLASENICA,Both sexes,illiterates_percentage,3.63
2013,Number,VLASENICA,M,illiterates_percentage,1.05
2013,Number,VLASENICA,F,illiterates_percentage,6.04
2013,Number,VUKOSAVLJE,Both sexes,illiterates_percentage,4.96
2013,Number,VUKOSAVLJE,M,illiterates_percentage,1.57
2013,Number,VUKOSAVLJE,F,illiterates_percentage,8.35
2013,Number,GACKO,Both sexes,illiterates_percentage,1.40
2013,Number,GACKO,M,illiterates_percentage,0.25
2013,Number,GACKO,F,illiterates_percentage,2.58
2013,Number,GRADISKA,Both sexes,illiterates_percentage,3.39
2013,Number,GRADISKA,M,illiterates_percentage,0.94
2013,Number,GRADISKA,F,illiterates_percentage,5.71
2013,Number,DERVENTA,Both sexes,illiterates_percentage,3.44
2013,Number,DERVENTA,M,illiterates_percentage,1.05
2013,Number,DERVENTA,F,illiterates_percentage,5.69
2013,Number,DOBOJ,Both sexes,illiterates_percentage,3.19
2013,Number,DOBOJ,M,illiterates_percentage,0.90
2013,Number,DOBOJ,F,illiterates_percentage,5.33
2013,Number,DONJI ZABAR,Both sexes,illiterates_percentage,3.82
2013,Number,DONJI ZABAR,M,illiterates_percentage,1.54
2013,Number,DONJI ZABAR,F,illiterates_percentage,6.12
2013,Number,ZVORNIK,Both sexes,illiterates_percentage,4.23
2013,Number,ZVORNIK,M,illiterates_percentage,1.03
2013,Number,ZVORNIK,F,illiterates_percentage,7.32
2013,Number,ISTOCNA ILIDZA,Both sexes,illiterates_percentage,1.30
2013,Number,ISTOCNA ILIDZA,M,illiterates_percentage,0.35
2013,Number,ISTOCNA ILIDZA,F,illiterates_percentage,2.17
2013,Number,ISTOCNI DRVAR,Both sexes,illiterates_percentage,3.08
2013,Number,ISTOCNI DRVAR,F,illiterates_percentage,9.09
2013,Number,ISTOCNI MOSTAR,Both sexes,illiterates_percentage,8.41
2013,Number,ISTOCNI MOSTAR,M,illiterates_percentage,0.78
2013,Number,ISTOCNI MOSTAR,F,illiterates_percentage,18.37
2013,Number,ISTOCNI STARI GRAD,Both sexes,illiterates_percentage,3.87
2013,Number,ISTOCNI STARI GRAD,M,illiterates_percentage,0.59
2013,Number,ISTOCNI STARI GRAD,F,illiterates_percentage,7.01
2013,Number,ISTOCNO NOVO SARAJEVO,Both sexes,illiterates_percentage,0.86
2013,Number,ISTOCNO NOVO SARAJEVO,M,illiterates_percentage,0.32
2013,Number,ISTOCNO NOVO SARAJEVO,F,illiterates_percentage,1.35
2013,Number,JEZERO,Both sexes,illiterates_percentage,4.52
2013,Number,JEZERO,M,illiterates_percentage,1.42
2013,Number,JEZERO,F,illiterates_percentage,7.84
2013,Number,KALINOVIK,Both sexes,illiterates_percentage,4.66
2013,Number,KALINOVIK,M,illiterates_percentage,0.56
2013,Number,KALINOVIK,F,illiterates_percentage,8.53
2013,Number,KNEZEVO,Both sexes,illiterates_percentage,11.35
2013,Number,KNEZEVO,M,illiterates_percentage,3.47
2013,Number,KNEZEVO,F,illiterates_percentage,18.97
2013,Number,KOZARSKA DUBICA,Both sexes,illiterates_percentage,3.09
2013,Number,KOZARSKA DUBICA,M,illiterates_percentage,0.83
2013,Number,KOZARSKA DUBICA,F,illiterates_percentage,5.24
2013,Number,KOSTAJNICA,Both sexes,illiterates_percentage,2.21
2013,Number,KOSTAJNICA,M,illiterates_percentage,0.55
2013,Number,KOSTAJNICA,F,illiterates_percentage,3.81
2013,Number,KOTOR VAROS,Both sexes,illiterates_percentage,6.30
2013,Number,KOTOR VAROS,M,illiterates_percentage,1.83
2013,Number,KOTOR VAROS,F,illiterates_percentage,10.56
2013,Number,KRUPA NA UNI,Both sexes,illiterates_percentage,9.96
2013,Number,KRUPA NA UNI,M,illiterates_percentage,2.67
2013,Number,KRUPA NA UNI,F,illiterates_percentage,18.51
2013,Number,KUPRES,Both sexes,illiterates_percentage,28.93
2013,Number,KUPRES,M,illiterates_percentage,18.37
2013,Number,KUPRES,F,illiterates_percentage,40.60
2013,Number,LAKTASI,Both sexes,illiterates_percentage,2.45
2013,Number,LAKTASI,M,illiterates_percentage,0.77
2013,Number,LAKTASI,F,illiterates_percentage,4.08
2013,Number,LOPARE,Both sexes,illiterates_percentage,5.00
2013,Number,LOPARE,M,illiterates_percentage,1.80
2013,Number,LOPARE,F,illiterates_percentage,8.23
2013,Number,LJUBINJE,Both sexes,illiterates_percentage,1.61
2013,Number,LJUBINJE,M,illiterates_percentage,0.33
2013,Number,LJUBINJE,F,illiterates_percentage,2.85
2013,Number,MILICI,Both sexes,illiterates_percentage,4.21
2013,Number,MILICI,M,illiterates_percentage,1.07
2013,Number,MILICI,F,illiterates_percentage,7.36
2013,Number,MODRICA,Both sexes,illiterates_percentage,3.28
2013,Number,MODRICA,M,illiterates_percentage,1.09
2013,Number,MODRICA,F,illiterates_percentage,5.36
2013,Number,MRKONJIC GRAD,Both sexes,illiterates_percentage,5.65
2013,Number,MRKONJIC GRAD,M,illiterates_percentage,1.37
2013,Number,MRKONJIC GRAD,F,illiterates_percentage,9.56
2013,Number,NEVESINJE,Both sexes,illiterates_percentage,2.69
2013,Number,NEVESINJE,M,illiterates_percentage,0.57
2013,Number,NEVESINJE,F,illiterates_percentage,4.76
2013,Number,NOVI GRAD,Both sexes,illiterates_percentage,2.86
2013,Number,NOVI GRAD,M,illiterates_percentage,0.92
2013,Number,NOVI GRAD,F,illiterates_percentage,4.78
2013,Number,NOVO GORAZDE,Both sexes,illiterates_percentage,2.80
2013,Number,NOVO GORAZDE,M,illiterates_percentage,0.36
2013,Number,NOVO GORAZDE,F,illiterates_percentage,5.42
2013,Number,OSMACI,Both sexes,illiterates_percentage,5.26
2013,Number,OSMACI,M,illiterates_percentage,1.16
2013,Number,OSMACI,F,illiterates_percentage,9.31
2013,Number,OSTRA LUKA,Both sexes,illiterates_percentage,7.94
2013,Number,OSTRA LUKA,M,illiterates_percentage,2.53
2013,Number,OSTRA LUKA,F,illiterates_percentage,13.62
2013,Number,PALE,Both sexes,illiterates_percentage,1.58
2013,Number,PALE,M,illiterates_percentage,0.45
2013,Number,PALE,F,illiterates_percentage,2.59
2013,Number,PELAGICEVO,Both sexes,illiterates_percentage,4.39
2013,Number,PELAGICEVO,M,illiterates_percentage,1.44
2013,Number,PELAGICEVO,F,illiterates_percentage,7.26
2013,Number,PETROVAC,Both sexes,illiterates_percentage,1.86
2013,Number,PETROVAC,F,illiterates_percentage,3.49
2013,Number,PETROVO,Both sexes,illiterates_percentage,4.20
2013,Number,PETROVO,M,illiterates_percentage,1.00
2013,Number,PETROVO,F,illiterates_percentage,7.14
2013,Number,PRIJEDOR,Both sexes,illiterates_percentage,2.92
2013,Number,PRIJEDOR,M,illiterates_percentage,1.17
2013,Number,PRIJEDOR,F,illiterates_percentage,4.56
2013,Number,PRNJAVOR,Both sexes,illiterates_percentage,4.51
2013,Number,PRNJAVOR,M,illiterates_percentage,1.35
2013,Number,PRNJAVOR,F,illiterates_percentage,7.46
2013,Number,RIBNIK,Both sexes,illiterates_percentage,8.50
