Year,UNIT_MEASURE,Type of institutions,Sex,Value
2016.0,Number,Total,Total,9953.0
2016.0,Number,Total,M,5184.0
2016.0,Number,Total,F,4769.0
2017.0,Number,Total,Total,10240.0
2017.0,Number,Total,M,5298.0
2017.0,Number,Total,F,4942.0
2018.0,Number,Total,Total,12156.0
2018.0,Number,Total,M,6341.0
2018.0,Number,Total,F,5815.0
2019.0,Number,Total,Total,13138.0
2019.0,Number,Total,M,6801.0
2019.0,Number,Total,F,6337.0
2020.0,Number,Total,Total,11247.0
2020.0,Number,Total,M,5852.0
2020.0,Number,Total,F,5395.0
2016.0,Number,Public,Total,7454.0
2016.0,Number,Public,M,3869.0
2016.0,Number,Public,F,3585.0
2017.0,Number,Public,Total,7773.0
2017.0,Number,Public,M,4012.0
2017.0,Number,Public,F,3761.0
2018.0,Number,Public,Total,8553.0
2018.0,Number,Public,M,4485.0
2018.0,Number,Public,F,4068.0
2019.0,Number,Public,Total,9074.0
2019.0,Number,Public,M,4704.0
2019.0,Number,Public,F,4370.0
2020.0,Number,Public,Total,7774.0
2020.0,Number,Public,M,4043.0
2020.0,Number,Public,F,3731.0
2016.0,Number,Private,Total,2499.0
2016.0,Number,Private,M,1315.0
2016.0,Number,Private,F,1184.0
2017.0,Number,Private,Total,2467.0
2017.0,Number,Private,M,1286.0
2017.0,Number,Private,F,1181.0
2018.0,Number,Private,Total,3603.0
2018.0,Number,Private,M,1856.0
2018.0,Number,Private,F,1747.0
2019.0,Number,Private,Total,4064.0
2019.0,Number,Private,M,2097.0
2019.0,Number,Private,F,1967.0
2020.0,Number,Private,Total,3473.0
2020.0,Number,Private,M,1809.0
2020.0,Number,Private,F,1664.0
2021.0,Number,Total,Total,14091.0
2021.0,Number,Total,M,7345.0
2021.0,Number,Total,F,6746.0
2021.0,Number,Public,Total,9814.0
2021.0,Number,Public,M,5142.0
2021.0,Number,Public,F,4672.0
2021.0,Number,Private,Total,4277.0
2021.0,Number,Private,M,2203.0
2021.0,Number,Private,F,2074.0
,,,,
