Year,UNIT_MEASURE,Field of education,Type of education,Sex,Value
2017,Number,Total,Master of science studies,Total,2140
2017,Number,"Natural sciences, mathematics and statistics",Master of science studies,Total,67
2017,Number,"Engineering, manufacturing and construction",Master of science studies,Total,347
2017,Number,Information and communication technologies,Master of science studies,Total,99
2017,Number,Health and social protection,Master of science studies,Total,35
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,Total,206
2017,Number,"Social sciences, journalism and information",Master of science studies,Total,473
2017,Number,"Business, administration and law",Master of science studies,Total,356
2017,Number,Education,Master of science studies,Total,236
2017,Number,Arts and humanities,Master of science studies,Total,319
2017,Number,Services,Master of science studies,Total,2
2017,Number,Total,Master of science studies,M,917
2017,Number,"Natural sciences, mathematics and statistics",Master of science studies,M,26
2017,Number,"Engineering, manufacturing and construction",Master of science studies,M,208
2017,Number,Information and communication technologies,Master of science studies,M,80
2017,Number,Health and social protection,Master of science studies,M,8
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,M,114
2017,Number,"Social sciences, journalism and information",Master of science studies,M,176
2017,Number,"Business, administration and law",Master of science studies,M,124
2017,Number,Education,Master of science studies,M,39
2017,Number,Arts and humanities,Master of science studies,M,142
2017,Number,Services,Master of science studies,M,0
2017,Number,Total,Master of science studies,F,1223
2017,Number,"Natural sciences, mathematics and statistics",Master of science studies,F,41
2017,Number,"Engineering, manufacturing and construction",Master of science studies,F,139
2017,Number,Information and communication technologies,Master of science studies,F,19
2017,Number,Health and social protection,Master of science studies,F,27
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master of science studies,F,92
2017,Number,"Social sciences, journalism and information",Master of science studies,F,297
2017,Number,"Business, administration and law",Master of science studies,F,232
2017,Number,Education,Master of science studies,F,197
2017,Number,Arts and humanities,Master of science studies,F,177
2017,Number,Services,Master of science studies,F,2
2017,Number,Total,Master studies,Total,31
2017,Number,"Natural sciences, mathematics and statistics",Master studies,Total,1
2017,Number,"Engineering, manufacturing and construction",Master studies,Total,0
2017,Number,Information and communication technologies,Master studies,Total,22
2017,Number,Health and social protection,Master studies,Total,0
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Master studies,Total,0
2017,Number,"Social sciences, journalism and information",Master studies,Total,0
2017,Number,"Business, administration and law",Master studies,Total,2
2017,Number,Education,Master studies,Total,1
