Year,UNIT_MEASURE,Field of education,Sex,Value
2017,Number,Total,Total,534
2017,Number,"Social sciences, journalism and information",Total,100
2017,Number,Arts and humanities,Total,100
2017,Number,Information and communication technologies,Total,17
2017,Number,"Engineering, manufacturing and construction",Total,32
2017,Number,Education,Total,51
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Total,20
2017,Number,"Business, administration and law",Total,80
2017,Number,"Natural sciences, mathematics and statistics",Total,15
2017,Number,Services,Total,1
2017,Number,Health and social protection,Total,118
2017,Number,Total,M,252
2017,Number,"Social sciences, journalism and information",M,45
2017,Number,Arts and humanities,M,49
2017,Number,Information and communication technologies,M,14
2017,Number,"Engineering, manufacturing and construction",M,17
2017,Number,Education,M,14
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,10
2017,Number,"Business, administration and law",M,48
2017,Number,"Natural sciences, mathematics and statistics",M,6
2017,Number,Services,M,1
2017,Number,Health and social protection,M,48
2017,Number,Total,F,282
2017,Number,"Social sciences, journalism and information",F,55
2017,Number,Arts and humanities,F,51
2017,Number,Information and communication technologies,F,3
2017,Number,"Engineering, manufacturing and construction",F,15
2017,Number,Education,F,37
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,10
2017,Number,"Business, administration and law",F,32
2017,Number,"Natural sciences, mathematics and statistics",F,9
2017,Number,Services,F,0
2017,Number,Health and social protection,F,70
2018,Number,Total,Total,530
2018,Number,"Social sciences, journalism and information",Total,101
2018,Number,Arts and humanities,Total,76
2018,Number,Information and communication technologies,Total,22
2018,Number,"Engineering, manufacturing and construction",Total,33
2018,Number,Education,Total,55
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Total,27
2018,Number,"Business, administration and law",Total,67
2018,Number,"Natural sciences, mathematics and statistics",Total,23
2018,Number,Services,Total,3
2018,Number,Health and social protection,Total,123
2018,Number,Total,M,322
2018,Number,"Social sciences, journalism and information",M,64
2018,Number,Arts and humanities,M,46
2018,Number,Information and communication technologies,M,5
2018,Number,"Engineering, manufacturing and construction",M,17
2018,Number,Education,M,35
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,13
2018,Number,"Business, administration and law",M,36
2018,Number,"Natural sciences, mathematics and statistics",M,18
2018,Number,Services,M,3
2018,Number,Health and social protection,M,85
2018,Number,Total,F,208
2018,Number,"Social sciences, journalism and information",F,37
2018,Number,Arts and humanities,F,30
2018,Number,Information and communication technologies,F,17
2018,Number,"Engineering, manufacturing and construction",F,16
2018,Number,Education,F,20
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,14
2018,Number,"Business, administration and law",F,31
2018,Number,"Natural sciences, mathematics and statistics",F,5
2018,Number,Services,F,0
2018,Number,Health and social protection,F,38
2019,Number,Total,Total,466
2019,Number,"Social sciences, journalism and information",Total,148
2019,Number,Arts and humanities,Total,59
2019,Number,Information and communication technologies,Total,10
2019,Number,"Engineering, manufacturing and construction",Total,30
2019,Number,Education,Total,48
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Total,11
2019,Number,"Business, administration and law",Total,35
2019,Number,"Natural sciences, mathematics and statistics",Total,24
2019,Number,Services,Total,1
2019,Number,Health and social protection,Total,100
2019,Number,Total,M,188
2019,Number,"Social sciences, journalism and information",M,65
2019,Number,Arts and humanities,M,21
2019,Number,Information and communication technologies,M,6
2019,Number,"Engineering, manufacturing and construction",M,12
2019,Number,Education,M,12
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,4
2019,Number,"Business, administration and law",M,22
2019,Number,"Natural sciences, mathematics and statistics",M,9
2019,Number,Services,M,1
2019,Number,Health and social protection,M,36
2019,Number,Total,F,278
2019,Number,"Social sciences, journalism and information",F,83
2019,Number,Arts and humanities,F,38
2019,Number,Information and communication technologies,F,4
2019,Number,"Engineering, manufacturing and construction",F,18
2019,Number,Education,F,36
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,7
2019,Number,"Business, administration and law",F,13
2019,Number,"Natural sciences, mathematics and statistics",F,15
2019,Number,Services,F,0
2019,Number,Health and social protection,F,64
2020,Number,Total,Total,384
2020,Number,"Social sciences, journalism and information",Total,86
2020,Number,Arts and humanities,Total,65
2020,Number,Information and communication technologies,Total,11
2020,Number,"Engineering, manufacturing and construction",Total,30
2020,Number,Education,Total,29
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Total,20
2020,Number,"Business, administration and law",Total,28
2020,Number,"Natural sciences, mathematics and statistics",Total,20
2020,Number,Services,Total,0
2020,Number,Health and social protection,Total,95
2020,Number,Total,M,156
2020,Number,"Social sciences, journalism and information",M,41
2020,Number,Arts and humanities,M,20
2020,Number,Information and communication technologies,M,9
2020,Number,"Engineering, manufacturing and construction",M,15
2020,Number,Education,M,7
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,13
2020,Number,"Business, administration and law",M,13
2020,Number,"Natural sciences, mathematics and statistics",M,6
2020,Number,Services,M,0
2020,Number,Health and social protection,M,32
2020,Number,Total,F,228
2020,Number,"Social sciences, journalism and information",F,45
2020,Number,Arts and humanities,F,45
2020,Number,Information and communication technologies,F,2
2020,Number,"Engineering, manufacturing and construction",F,15
2020,Number,Education,F,22
