Year,UNIT_MEASURE,Value
2003,Number per 1000 population,8.8
2004,Number per 1000 population,8.9
2005,Number per 1000 population,8.7
2006,Number per 1000 population,8.9
2007,Number per 1000 population,8.6
2008,Number per 1000 population,8.6
2009,Number per 1000 population,9.0
2010,Number per 1000 population,8.6
2011,Number per 1000 population,8.1
2012,Number per 1000 population,8.5
2013,Number per 1000 population,8.1
2014,Number per 1000 population,8.0
2015,Number per 1000 population,8.1
2016,Number per 1000 population,8.2
2017,Number per 1000 population,8.1
2018,Number per 1000 population,8.3
2019,Number per 1000 population,8.1
2020,Number per 1000 population,8.1
2021,Number per 1000 population,8.2
