Year,Age,UNIT_MEASURE,Value
1998,13 - 14,Number,0
1998,15 - 19,Number,796
1999,13 - 14,Number,1
1999,15 - 19,Number,907
2000,13 - 14,Number,1
2000,15 - 19,Number,722
2001,13 - 14,Number,2
2001,15 - 19,Number,938
2002,13 - 14,Number,4
2002,15 - 19,Number,787
2003,13 - 14,Number,0
2003,15 - 19,Number,688
2004,13 - 14,Number,4
2004,15 - 19,Number,697
2005,13 - 14,Number,3
2005,15 - 19,Number,659
2006,13 - 14,Number,3
2006,15 - 19,Number,586
2007,13 - 14,Number,3
2007,15 - 19,Number,557
2008,13 - 14,Number,4
2008,15 - 19,Number,536
2009,13 - 14,Number,3
2009,15 - 19,Number,499
2010,13 - 14,Number,0
2010,15 - 19,Number,436
2011,13 - 14,Number,0
2011,15 - 19,Number,407
2012,13 - 14,Number,1
2012,15 - 19,Number,452
2013,13 - 14,Number,0
2013,15 - 19,Number,376
2014,13 - 14,Number,0
2014,15 - 19,Number,362
2015,13 - 14,Number,1
2015,15 - 19,Number,311
2016,13 - 14,Number,1
2016,15 - 19,Number,337
2017,13 - 14,Number,0
2017,15 - 19,Number,280
2018,13 - 14,Number,1
2018,15 - 19,Number,219
2019,13 - 14,Number,1
2019,15 - 19,Number,223
