Year,UNIT_MEASURE,Age,Sex,Value
2013,Number,Total,Total,1171179
2013,Number,0,Total,10035
2013,Number,1,Total,10460
2013,Number,2,Total,10707
2013,Number,3,Total,11154
2013,Number,4,Total,11207
2013,Number,5,Total,10904
2013,Number,6,Total,10712
2013,Number,7,Total,10729
2013,Number,8,Total,10825
2013,Number,9,Total,10872
2013,Number,10,Total,10950
2013,Number,11,Total,11305
2013,Number,12,Total,11677
2013,Number,13,Total,11767
2013,Number,14,Total,12325
2013,Number,15,Total,13695
2013,Number,16,Total,14433
2013,Number,17,Total,14549
2013,Number,18,Total,14443
2013,Number,19,Total,12849
2013,Number,20,Total,11748
2013,Number,21,Total,12894
2013,Number,22,Total,13784
2013,Number,23,Total,13816
2013,Number,24,Total,14399
2013,Number,25,Total,14874
2013,Number,26,Total,15022
2013,Number,27,Total,15316
2013,Number,28,Total,15736
2013,Number,29,Total,16122
2013,Number,30,Total,16245
2013,Number,31,Total,16150
2013,Number,32,Total,16154
2013,Number,33,Total,16059
2013,Number,34,Total,15952
2013,Number,35,Total,16067
2013,Number,36,Total,16490
2013,Number,37,Total,16505
2013,Number,38,Total,15883
2013,Number,39,Total,15576
2013,Number,40,Total,15687
2013,Number,41,Total,15580
2013,Number,42,Total,14799
2013,Number,43,Total,14656
2013,Number,44,Total,15244
2013,Number,45,Total,15787
2013,Number,46,Total,16438
2013,Number,47,Total,17122
2013,Number,48,Total,17121
2013,Number,49,Total,17051
2013,Number,50,Total,17800
2013,Number,51,Total,18263
2013,Number,52,Total,18454
2013,Number,53,Total,18646
2013,Number,54,Total,18845
2013,Number,55,Total,18214
2013,Number,56,Total,18247
2013,Number,57,Total,18979
2013,Number,58,Total,19517
2013,Number,59,Total,19455
2013,Number,60,Total,19218
2013,Number,61,Total,17671
2013,Number,62,Total,16334
2013,Number,63,Total,16819
2013,Number,64,Total,15731
2013,Number,65,Total,14644
2013,Number,66,Total,13862
2013,Number,67,Total,11451
2013,Number,68,Total,9678
2013,Number,69,Total,9674
2013,Number,70,Total,9865
2013,Number,71,Total,10664
2013,Number,72,Total,11907
2013,Number,73,Total,12099
2013,Number,74,Total,11550
2013,Number,75,Total,11114
2013,Number,76,Total,10488
2013,Number,77,Total,9532
2013,Number,78,Total,8577
2013,Number,79,Total,7666
2013,Number,80,Total,6723
2013,Number,81,Total,5590
2013,Number,82,Total,4991
2013,Number,83,Total,4376
2013,Number,84,Total,3690
2013,Number,85,Total,2964
2013,Number,86,Total,2133
2013,Number,87,Total,1651
2013,Number,88,Total,1215
2013,Number,89,Total,906
2013,Number,90 +,Total,2101
2013,Number,Total,M,572298
2013,Number,0,M,5127
2013,Number,1,M,5347
2013,Number,2,M,5471
2013,Number,3,M,5746
2013,Number,4,M,5808
2013,Number,5,M,5578
2013,Number,6,M,5440
2013,Number,7,M,5475
2013,Number,8,M,5591
2013,Number,9,M,5597
2013,Number,10,M,5627
2013,Number,11,M,5859
2013,Number,12,M,6005
2013,Number,13,M,6009
2013,Number,14,M,6326
2013,Number,15,M,7059
2013,Number,16,M,7432
2013,Number,17,M,7426
2013,Number,18,M,7432
2013,Number,19,M,6732
