Year,UNIT_MEASURE,Teritory,Sex,Age,Value
2013,Number,REPUBLIKA SRPSKA,Both sexes,0-4,53563
2013,Number,REPUBLIKA SRPSKA,M,0-4,27499
2013,Number,REPUBLIKA SRPSKA,F,0-4,26064
2013,Number,GRAD BANJA LUKA,Both sexes,0-4,9539
2013,Number,GRAD BANJA LUKA,M,0-4,4844
2013,Number,GRAD BANJA LUKA,F,0-4,4695
2013,Number,BERKOVICI,Both sexes,0-4,91
2013,Number,BERKOVICI,M,0-4,49
2013,Number,BERKOVICI,F,0-4,42
2013,Number,GRAD BIJELJINA,Both sexes,0-4,4963
2013,Number,GRAD BIJELJINA,M,0-4,2590
2013,Number,GRAD BIJELJINA,F,0-4,2373
2013,Number,BILECA,Both sexes,0-4,489
2013,Number,BILECA,M,0-4,258
2013,Number,BILECA,F,0-4,231
2013,Number,BRATUNAC,Both sexes,0-4,888
2013,Number,BRATUNAC,M,0-4,476
2013,Number,BRATUNAC,F,0-4,412
2013,Number,BROD,Both sexes,0-4,718
2013,Number,BROD,M,0-4,377
2013,Number,BROD,F,0-4,341
2013,Number,VISEGRAD,Both sexes,0-4,323
2013,Number,VISEGRAD,M,0-4,153
2013,Number,VISEGRAD,F,0-4,170
2013,Number,VLASENICA,Both sexes,0-4,486
2013,Number,VLASENICA,M,0-4,260
2013,Number,VLASENICA,F,0-4,226
2013,Number,VUKOSAVLJE,Both sexes,0-4,195
2013,Number,VUKOSAVLJE,M,0-4,97
2013,Number,VUKOSAVLJE,F,0-4,98
2013,Number,GACKO,Both sexes,0-4,430
2013,Number,GACKO,M,0-4,210
2013,Number,GACKO,F,0-4,220
2013,Number,GRAD GRADISKA,Both sexes,0-4,2077
2013,Number,GRAD GRADISKA,M,0-4,1047
2013,Number,GRAD GRADISKA,F,0-4,1030
2013,Number,GRAD DERVENTA,Both sexes,0-4,1115
2013,Number,GRAD DERVENTA,M,0-4,551
2013,Number,GRAD DERVENTA,F,0-4,564
2013,Number,GRAD DOBOJ,Both sexes,0-4,3010
2013,Number,GRAD DOBOJ,M,0-4,1528
2013,Number,GRAD DOBOJ,F,0-4,1482
2013,Number,DONJI ZABAR,Both sexes,0-4,126
2013,Number,DONJI ZABAR,M,0-4,60
2013,Number,DONJI ZABAR,F,0-4,66
2013,Number,GRAD ZVORNIK,Both sexes,0-4,2851
2013,Number,GRAD ZVORNIK,M,0-4,1442
2013,Number,GRAD ZVORNIK,F,0-4,1409
2013,Number,ISTOCNI DRVAR,Both sexes,0-4,-
