Year,UNIT_MEASURE,ADMIN_AREA,Sex,Mother tounge,Value
2013,Number,republika_srpska,Both sexes,_T,1170342
2013,Number,republika_srpska,M,_T,571812
2013,Number,republika_srpska,F,_T,598530
2013,Number,grad_banja_luka,Both sexes,_T,180053
2013,Number,grad_banja_luka,M,_T,86510
2013,Number,grad_banja_luka,F,_T,93543
2013,Number,berkovici,Both sexes,_T,2041
2013,Number,berkovici,M,_T,1032
2013,Number,berkovici,F,_T,1009
2013,Number,grad_bijeljina,Both sexes,_T,103874
2013,Number,grad_bijeljina,M,_T,50760
2013,Number,grad_bijeljina,F,_T,53114
2013,Number,bileca,Both sexes,_T,10607
2013,Number,bileca,M,_T,5346
2013,Number,bileca,F,_T,5261
2013,Number,bratunac,Both sexes,_T,18651
2013,Number,bratunac,M,_T,9210
2013,Number,bratunac,F,_T,9441
2013,Number,brod,Both sexes,_T,15720
2013,Number,brod,M,_T,7670
2013,Number,brod,F,_T,8050
2013,Number,visegrad,Both sexes,_T,10118
2013,Number,visegrad,M,_T,4834
2013,Number,visegrad,F,_T,5284
2013,Number,vlasenica,Both sexes,_T,10657
2013,Number,vlasenica,M,_T,5193
2013,Number,vlasenica,F,_T,5464
2013,Number,vukosavlje,Both sexes,_T,4363
2013,Number,vukosavlje,M,_T,2185
2013,Number,vukosavlje,F,_T,2178
2013,Number,gacko,Both sexes,_T,8710
2013,Number,gacko,M,_T,4423
2013,Number,gacko,F,_T,4287
2013,Number,grad_gradiska,Both sexes,_T,49196
2013,Number,grad_gradiska,M,_T,23944
2013,Number,grad_gradiska,F,_T,25252
2013,Number,grad_derventa,Both sexes,_T,25922
2013,Number,grad_derventa,M,_T,12629
2013,Number,grad_derventa,F,_T,13293
2013,Number,grad_doboj,Both sexes,_T,68514
2013,Number,grad_doboj,M,_T,33222
2013,Number,grad_doboj,F,_T,35292
2013,Number,donji_zabar,Both sexes,_T,3669
2013,Number,donji_zabar,M,_T,1853
2013,Number,donji_zabar,F,_T,1816
2013,Number,grad_zvornik,Both sexes,_T,54407
2013,Number,grad_zvornik,M,_T,26803
2013,Number,grad_zvornik,F,_T,27604
2013,Number,istocna_ilidza,Both sexes,_T,14437
2013,Number,istocna_ilidza,M,_T,6905
2013,Number,istocna_ilidza,F,_T,7532
2013,Number,istocni_drvar,Both sexes,_T,66
2013,Number,istocni_drvar,M,_T,44
2013,Number,istocni_drvar,F,_T,22
2013,Number,istocni_mostar,Both sexes,_T,244
2013,Number,istocni_mostar,M,_T,138
2013,Number,istocni_mostar,F,_T,106
2013,Number,istocni_stari_grad,Both sexes,_T,1116
2013,Number,istocni_stari_grad,M,_T,552
2013,Number,istocni_stari_grad,F,_T,564
2013,Number,istocno_novo_sarajevo,Both sexes,_T,10401
2013,Number,istocno_novo_sarajevo,M,_T,4936
2013,Number,istocno_novo_sarajevo,F,_T,5465
2013,Number,jezero,Both sexes,_T,1039
2013,Number,jezero,M,_T,534
2013,Number,jezero,F,_T,505
2013,Number,kalinovik,Both sexes,_T,1962
2013,Number,kalinovik,M,_T,950
2013,Number,kalinovik,F,_T,1012
2013,Number,knezevo,Both sexes,_T,9368
2013,Number,knezevo,M,_T,4632
2013,Number,knezevo,F,_T,4736
2013,Number,kozarska_dubica,Both sexes,_T,20681
2013,Number,kozarska_dubica,M,_T,10094
2013,Number,kozarska_dubica,F,_T,10587
2013,Number,kostajnica,Both sexes,_T,5645
2013,Number,kostajnica,M,_T,2780
2013,Number,kostajnica,F,_T,2865
2013,Number,kotor_varos,Both sexes,_T,18361
2013,Number,kotor_varos,M,_T,9007
2013,Number,kotor_varos,F,_T,9354
2013,Number,krupa_na_uni,Both sexes,_T,1560
2013,Number,krupa_na_uni,M,_T,841
2013,Number,krupa_na_uni,F,_T,719
2013,Number,kupres,Both sexes,_T,293
2013,Number,kupres,M,_T,157
2013,Number,kupres,F,_T,136
2013,Number,laktasi,Both sexes,_T,34210
2013,Number,laktasi,M,_T,16905
2013,Number,laktasi,F,_T,17305
2013,Number,lopare,Both sexes,_T,14689
2013,Number,lopare,M,_T,7377
2013,Number,lopare,F,_T,7312
2013,Number,ljubinje,Both sexes,_T,3319
2013,Number,ljubinje,M,_T,1633
2013,Number,ljubinje,F,_T,1686
2013,Number,milici,Both sexes,_T,10445
2013,Number,milici,M,_T,5252
2013,Number,milici,F,_T,5193
2013,Number,modrica,Both sexes,_T,24490
2013,Number,modrica,M,_T,11969
2013,Number,modrica,F,_T,12521
2013,Number,mrkonjic_grad,Both sexes,_T,15926
2013,Number,mrkonjic_grad,M,_T,7660
2013,Number,mrkonjic_grad,F,_T,8266
2013,Number,nevesinje,Both sexes,_T,12542
2013,Number,nevesinje,M,_T,6236
2013,Number,nevesinje,F,_T,6306
2013,Number,novi_grad,Both sexes,_T,25240
2013,Number,novi_grad,M,_T,12580
2013,Number,novi_grad,F,_T,12660
2013,Number,novo_gorazde,Both sexes,_T,2915
2013,Number,novo_gorazde,M,_T,1500
2013,Number,novo_gorazde,F,_T,1415
2013,Number,osmaci,Both sexes,_T,5546
2013,Number,osmaci,M,_T,2779
2013,Number,osmaci,F,_T,2767
2013,Number,ostra_luka,Both sexes,_T,2705
2013,Number,ostra_luka,M,_T,1386
2013,Number,ostra_luka,F,_T,1319
2013,Number,pale,Both sexes,_T,20359
2013,Number,pale,M,_T,9744
2013,Number,pale,F,_T,10615
2013,Number,pelagicevo,Both sexes,_T,4358
2013,Number,pelagicevo,M,_T,2151
2013,Number,pelagicevo,F,_T,2207
2013,Number,petrovac,Both sexes,_T,354
2013,Number,petrovac,M,_T,169
2013,Number,petrovac,F,_T,185
2013,Number,petrovo,Both sexes,_T,6317
2013,Number,petrovo,M,_T,3043
2013,Number,petrovo,F,_T,3274
2013,Number,grad_prijedor,Both sexes,_T,80916
2013,Number,grad_prijedor,M,_T,39418
2013,Number,grad_prijedor,F,_T,41498
2013,Number,prnjavor,Both sexes,_T,34357
2013,Number,prnjavor,M,_T,16675
2013,Number,prnjavor,F,_T,17682
2013,Number,ribnik,Both sexes,_T,5851
2013,Number,ribnik,M,_T,2900
2013,Number,ribnik,F,_T,2951
2013,Number,rogatica,Both sexes,_T,10302
2013,Number,rogatica,M,_T,5053
2013,Number,rogatica,F,_T,5249
2013,Number,rudo,Both sexes,_T,7578
2013,Number,rudo,M,_T,3840
2013,Number,rudo,F,_T,3738
2013,Number,sokolac,Both sexes,_T,11620
2013,Number,sokolac,M,_T,5723
2013,Number,sokolac,F,_T,5897
2013,Number,srbac,Both sexes,_T,16933
2013,Number,srbac,M,_T,8295
2013,Number,srbac,F,_T,8638
2013,Number,srebrenica,Both sexes,_T,11698
2013,Number,srebrenica,M,_T,5714
2013,Number,srebrenica,F,_T,5984
2013,Number,teslic,Both sexes,_T,37236
2013,Number,teslic,M,_T,17894
2013,Number,teslic,F,_T,19342
2013,Number,grad_trebinje,Both sexes,_T,28239
2013,Number,grad_trebinje,M,_T,13760
2013,Number,grad_trebinje,F,_T,14479
2013,Number,trnovo,Both sexes,_T,1983
2013,Number,trnovo,M,_T,953
2013,Number,trnovo,F,_T,1030
2013,Number,ugljevik,Both sexes,_T,15118
2013,Number,ugljevik,M,_T,7626
2013,Number,ugljevik,F,_T,7492
2013,Number,foca,Both sexes,_T,17580
2013,Number,foca,M,_T,8880
2013,Number,foca,F,_T,8700
2013,Number,han_pijesak,Both sexes,_T,3445
2013,Number,han_pijesak,M,_T,1632
2013,Number,han_pijesak,F,_T,1813
2013,Number,cajnice,Both sexes,_T,4679
2013,Number,cajnice,M,_T,2347
2013,Number,cajnice,F,_T,2332
2013,Number,celinac,Both sexes,_T,15117
2013,Number,celinac,M,_T,7477
2013,Number,celinac,F,_T,7640
2013,Number,samac,Both sexes,_T,16308
2013,Number,samac,M,_T,7908
2013,Number,samac,F,_T,8400
2013,Number,sekovici,Both sexes,_T,6323
2013,Number,sekovici,M,_T,3103
2013,Number,sekovici,F,_T,3220
2013,Number,sipovo,Both sexes,_T,9969
2013,Number,sipovo,M,_T,5046
2013,Number,sipovo,F,_T,4923
2013,Number,republika_srpska,Both sexes,bosnian,150221
2013,Number,republika_srpska,M,bosnian,73026
2013,Number,republika_srpska,F,bosnian,77195
2013,Number,grad_banja_luka,Both sexes,bosnian,6792
2013,Number,grad_banja_luka,M,bosnian,3152
2013,Number,grad_banja_luka,F,bosnian,3640
2013,Number,berkovici,Both sexes,bosnian,155
2013,Number,berkovici,M,bosnian,87
2013,Number,berkovici,F,bosnian,68
2013,Number,grad_bijeljina,Both sexes,bosnian,11651
2013,Number,grad_bijeljina,M,bosnian,5712
2013,Number,grad_bijeljina,F,bosnian,5939
2013,Number,bileca,Both sexes,bosnian,21
2013,Number,bileca,M,bosnian,14
2013,Number,bileca,F,bosnian,7
2013,Number,bratunac,Both sexes,bosnian,6596
2013,Number,bratunac,M,bosnian,3217
2013,Number,bratunac,F,bosnian,3379
2013,Number,brod,Both sexes,bosnian,1397
2013,Number,brod,M,bosnian,680
2013,Number,brod,F,bosnian,717
2013,Number,visegrad,Both sexes,bosnian,887
2013,Number,visegrad,M,bosnian,449
2013,Number,visegrad,F,bosnian,438
2013,Number,vlasenica,Both sexes,bosnian,3372
2013,Number,vlasenica,M,bosnian,1648
2013,Number,vlasenica,F,bosnian,1724
2013,Number,vukosavlje,Both sexes,bosnian,2098
