Year,UNIT_MEASURE,Administrative area,Household size,Value
2013,Number,Republika Srpska,Total,408825
2013,Number,City of Banja Luka,Total,65010
2013,Number,Berkovici,Total,636
2013,Number,City of Bijeljina,Total,34309
2013,Number,Bileca,Total,3307
2013,Number,Bratunac,Total,5945
2013,Number,Brod,Total,5599
2013,Number,Visegrad,Total,3966
2013,Number,Vlasenica,Total,3712
2013,Number,Vukosavlje,Total,1537
2013,Number,Gacko,Total,2766
2013,Number,City of Gradiska,Total,16939
2013,Number,City of Derventa,Total,9345
2013,Number,City of Doboj,Total,25447
2013,Number,Donji Zabar,Total,1191
2013,Number,City of Zvornik,Total,17690
2013,Number,East Ilidza,Total,4981
2013,Number,East Drvar,Total,38
2013,Number,East Mostar,Total,83
2013,Number,East Stari Grad,Total,438
2013,Number,East Novo Sarajevo,Total,3819
2013,Number,Jezero,Total,365
2013,Number,Kalinovik,Total,783
2013,Number,Knezevo,Total,3168
2013,Number,Kozarska Dubica,Total,7492
2013,Number,Kostajnica,Total,1896
2013,Number,Kotor Varos,Total,5863
2013,Number,Krupa Na Uni,Total,543
2013,Number,Kupres,Total,128
2013,Number,Laktasi,Total,11293
2013,Number,Lopare,Total,5081
2013,Number,Ljubinje,Total,1077
2013,Number,Milici,Total,3579
2013,Number,Modrica,Total,8553
2013,Number,Mrkonjic Grad,Total,6104
2013,Number,Nevesinje,Total,3985
2013,Number,Novi Grad,Total,8792
2013,Number,Novo Gorazde,Total,1078
2013,Number,Osmaci,Total,1675
2013,Number,Ostra Luka,Total,971
2013,Number,Pale,Total,7158
2013,Number,Pelagicevo,Total,1787
2013,Number,Petrovac,Total,130
2013,Number,Petrovo,Total,2532
2013,Number,City of Prijedor,Total,27961
2013,Number,Prnjavor,Total,12166
2013,Number,Ribnik,Total,2252
2013,Number,Rogatica,Total,3871
2013,Number,Rudo,Total,2847
2013,Number,Sokolac,Total,4276
2013,Number,Srbac,Total,6157
2013,Number,Srebrenica,Total,3792
2013,Number,Teslic,Total,13255
2013,Number,City of Trebinje,Total,9394
2013,Number,Trnovo,Total,800
2013,Number,Ugljevik,Total,4867
2013,Number,Foca,Total,6544
2013,Number,Han Pijesak,Total,1390
2013,Number,Cajnice,Total,1662
2013,Number,Celinac,Total,5009
2013,Number,Samac,Total,5609
2013,Number,Sekovici,Total,2517
2013,Number,Sipovo,Total,3665
2013,Number,Republika Srpska,single_household,91300
2013,Number,City of Banja Luka,single_household,13984
2013,Number,Berkovici,single_household,129
2013,Number,City of Bijeljina,single_household,6984
2013,Number,Bileca,single_household,629
2013,Number,Bratunac,single_household,1155
2013,Number,Brod,single_household,1360
2013,Number,Visegrad,single_household,1132
2013,Number,Vlasenica,single_household,768
2013,Number,Vukosavlje,single_household,348
2013,Number,Gacko,single_household,522
2013,Number,City of Gradiska,single_household,3782
2013,Number,City of Derventa,single_household,2270
2013,Number,City of Doboj,single_household,6230
2013,Number,Donji Zabar,single_household,271
2013,Number,City of Zvornik,single_household,3323
2013,Number,East Ilidza,single_household,949
2013,Number,East Drvar,single_household,24
2013,Number,East Mostar,single_household,29
2013,Number,East Stari Grad,single_household,123
2013,Number,East Novo Sarajevo,single_household,904
2013,Number,Jezero,single_household,86
2013,Number,Kalinovik,single_household,245
2013,Number,Knezevo,single_household,611
2013,Number,Kozarska Dubica,single_household,1898
2013,Number,Kostajnica,single_household,384
2013,Number,Kotor Varos,single_household,1089
2013,Number,Krupa Na Uni,single_household,159
2013,Number,Kupres,single_household,44
2013,Number,Laktasi,single_household,2093
2013,Number,Lopare,single_household,1256
2013,Number,Ljubinje,single_household,196
2013,Number,Milici,single_household,789
2013,Number,Modrica,single_household,1983
2013,Number,Mrkonjic Grad,single_household,1538
2013,Number,Nevesinje,single_household,766
2013,Number,Novi Grad,single_household,1965
2013,Number,Novo Gorazde,single_household,270
2013,Number,Osmaci,single_household,254
2013,Number,Ostra Luka,single_household,277
2013,Number,Pale,single_household,1515
2013,Number,Pelagicevo,single_household,640
2013,Number,Petrovac,single_household,34
2013,Number,Petrovo,single_household,726
2013,Number,City of Prijedor,single_household,6423
2013,Number,Prnjavor,single_household,2943
2013,Number,Ribnik,single_household,642
2013,Number,Rogatica,single_household,986
2013,Number,Rudo,single_household,696
2013,Number,Sokolac,single_household,1022
