Year,UNIT_MEASURE,ADMIN_AREA,Sex,Literacy,Value
2013,Number,republika_srpska,Both sexes,illiterate,34928.0
2013,Number,republika_srpska,M,illiterate,4987.0
2013,Number,republika_srpska,F,illiterate,29941.0
2013,Number,grad_banja_luka,Both sexes,illiterate,3503.0
2013,Number,grad_banja_luka,M,illiterate,509.0
2013,Number,grad_banja_luka,F,illiterate,2994.0
2013,Number,berkovici,Both sexes,illiterate,47.0
2013,Number,berkovici,M,illiterate,1.0
2013,Number,berkovici,F,illiterate,46.0
2013,Number,grad_bijeljina,Both sexes,illiterate,2541.0
2013,Number,grad_bijeljina,M,illiterate,413.0
2013,Number,grad_bijeljina,F,illiterate,2128.0
2013,Number,bileca,Both sexes,illiterate,144.0
2013,Number,bileca,M,illiterate,31.0
2013,Number,bileca,F,illiterate,113.0
2013,Number,bratunac,Both sexes,illiterate,865.0
2013,Number,bratunac,M,illiterate,82.0
2013,Number,bratunac,F,illiterate,783.0
2013,Number,brod,Both sexes,illiterate,330.0
2013,Number,brod,M,illiterate,53.0
2013,Number,brod,F,illiterate,277.0
2013,Number,visegrad,Both sexes,illiterate,358.0
2013,Number,visegrad,M,illiterate,35.0
2013,Number,visegrad,F,illiterate,323.0
2013,Number,vlasenica,Both sexes,illiterate,350.0
2013,Number,vlasenica,M,illiterate,49.0
2013,Number,vlasenica,F,illiterate,301.0
2013,Number,vukosavlje,Both sexes,illiterate,196.0
2013,Number,vukosavlje,M,illiterate,31.0
2013,Number,vukosavlje,F,illiterate,165.0
2013,Number,gacko,Both sexes,illiterate,110.0
2013,Number,gacko,M,illiterate,10.0
2013,Number,gacko,F,illiterate,100.0
2013,Number,grad_gradiska,Both sexes,illiterate,1526.0
2013,Number,grad_gradiska,M,illiterate,204.0
2013,Number,grad_gradiska,F,illiterate,1322.0
2013,Number,grad_derventa,Both sexes,illiterate,812.0
2013,Number,grad_derventa,M,illiterate,120.0
2013,Number,grad_derventa,F,illiterate,692.0
2013,Number,grad_doboj,Both sexes,illiterate,1979.0
2013,Number,grad_doboj,M,illiterate,270.0
2013,Number,grad_doboj,F,illiterate,1709.0
