Year,UNIT_MEASURE,City/minicipality,Sex,Type of disability,Value
2013,Number,Republika Srpska,Total,Total,102262
2013,Number,Republika Srpska,M,Total,46720
2013,Number,Republika Srpska,F,Total,55542
2013,Number,Grad Banja Luka,Total,Total,13450
2013,Number,Grad Banja Luka,M,Total,6251
2013,Number,Grad Banja Luka,F,Total,7199
2013,Number,Berkovići,Total,Total,165
2013,Number,Berkovići,M,Total,75
2013,Number,Berkovići,F,Total,90
2013,Number,Grad Bijeljina,Total,Total,8763
2013,Number,Grad Bijeljina,M,Total,3967
2013,Number,Grad Bijeljina,F,Total,4796
2013,Number,Bileća,Total,Total,813
2013,Number,Bileća,M,Total,339
2013,Number,Bileća,F,Total,474
2013,Number,Bratunac,Total,Total,1534
2013,Number,Bratunac,M,Total,688
2013,Number,Bratunac,F,Total,846
2013,Number,Brod,Total,Total,1420
2013,Number,Brod,M,Total,658
2013,Number,Brod,F,Total,762
2013,Number,Višegrad,Total,Total,1097
2013,Number,Višegrad,M,Total,422
2013,Number,Višegrad,F,Total,675
2013,Number,Vlasenica,Total,Total,786
2013,Number,Vlasenica,M,Total,393
2013,Number,Vlasenica,F,Total,393
2013,Number,Vukosavlje,Total,Total,472
2013,Number,Vukosavlje,M,Total,226
2013,Number,Vukosavlje,F,Total,246
2013,Number,Gacko,Total,Total,597
2013,Number,Gacko,M,Total,261
2013,Number,Gacko,F,Total,336
2013,Number,Grad Gradiška,Total,Total,4427
2013,Number,Grad Gradiška,M,Total,1965
2013,Number,Grad Gradiška,F,Total,2462
2013,Number,Grad Derventa,Total,Total,2529
2013,Number,Grad Derventa,M,Total,1153
2013,Number,Grad Derventa,F,Total,1376
2013,Number,Grad Doboj,Total,Total,7404
2013,Number,Grad Doboj,M,Total,3292
2013,Number,Grad Doboj,F,Total,4112
2013,Number,Donji Žabar,Total,Total,313
2013,Number,Donji Žabar,M,Total,146
2013,Number,Donji Žabar,F,Total,167
2013,Number,Grad Zvornik,Total,Total,4328
2013,Number,Grad Zvornik,M,Total,2027
2013,Number,Grad Zvornik,F,Total,2301
2013,Number,Istočna Ilidža,Total,Total,1025
2013,Number,Istočna Ilidža,M,Total,464
2013,Number,Istočna Ilidža,F,Total,561
2013,Number,Istočni Drvar,Total,Total,9
2013,Number,Istočni Drvar,M,Total,5
2013,Number,Istočni Drvar,F,Total,4
2013,Number,Istočni Mostar,Total,Total,14
2013,Number,Istočni Mostar,M,Total,4
2013,Number,Istočni Mostar,F,Total,10
2013,Number,Istočni Stari Grad,Total,Total,100
2013,Number,Istočni Stari Grad,M,Total,42
2013,Number,Istočni Stari Grad,F,Total,58
2013,Number,Istočno Novo Sarajevo,Total,Total,611
2013,Number,Istočno Novo Sarajevo,M,Total,276
2013,Number,Istočno Novo Sarajevo,F,Total,335
2013,Number,Jezero,Total,Total,80
2013,Number,Jezero,M,Total,37
2013,Number,Jezero,F,Total,43
2013,Number,Kalinovik,Total,Total,203
2013,Number,Kalinovik,M,Total,88
2013,Number,Kalinovik,F,Total,115
2013,Number,Kneževo,Total,Total,933
2013,Number,Kneževo,M,Total,449
2013,Number,Kneževo,F,Total,484
2013,Number,Kozarska Dubica,Total,Total,2078
2013,Number,Kozarska Dubica,M,Total,919
2013,Number,Kozarska Dubica,F,Total,1159
2013,Number,Kostajnica,Total,Total,475
2013,Number,Kostajnica,M,Total,216
2013,Number,Kostajnica,F,Total,259
2013,Number,Kotor Varoš,Total,Total,1857
2013,Number,Kotor Varoš,M,Total,865
2013,Number,Kotor Varoš,F,Total,992
2013,Number,Krupa Na Uni,Total,Total,204
2013,Number,Krupa Na Uni,M,Total,93
2013,Number,Krupa Na Uni,F,Total,111
2013,Number,Kupres,Total,Total,49
2013,Number,Kupres,M,Total,27
2013,Number,Kupres,F,Total,22
2013,Number,Laktaši,Total,Total,2445
2013,Number,Laktaši,M,Total,1196
2013,Number,Laktaši,F,Total,1249
2013,Number,Lopare,Total,Total,1612
2013,Number,Lopare,M,Total,791
2013,Number,Lopare,F,Total,821
2013,Number,Ljubinje,Total,Total,197
2013,Number,Ljubinje,M,Total,84
2013,Number,Ljubinje,F,Total,113
2013,Number,Milići,Total,Total,860
2013,Number,Milići,M,Total,392
2013,Number,Milići,F,Total,468
2013,Number,Modriča,Total,Total,2458
2013,Number,Modriča,M,Total,1119
2013,Number,Modriča,F,Total,1339
2013,Number,Mrkonjić Grad,Total,Total,1300
2013,Number,Mrkonjić Grad,M,Total,602
2013,Number,Mrkonjić Grad,F,Total,698
2013,Number,Nevesinje,Total,Total,876
2013,Number,Nevesinje,M,Total,379
2013,Number,Nevesinje,F,Total,497
2013,Number,Novi Grad,Total,Total,2687
2013,Number,Novi Grad,M,Total,1179
2013,Number,Novi Grad,F,Total,1508
2013,Number,Novo Goražde,Total,Total,206
2013,Number,Novo Goražde,M,Total,101
2013,Number,Novo Goražde,F,Total,105
2013,Number,Osmaci,Total,Total,513
2013,Number,Osmaci,M,Total,234
2013,Number,Osmaci,F,Total,279
2013,Number,Oštra Luka,Total,Total,394
2013,Number,Oštra Luka,M,Total,205
2013,Number,Oštra Luka,F,Total,189
2013,Number,Pale,Total,Total,1289
2013,Number,Pale,M,Total,594
2013,Number,Pale,F,Total,695
2013,Number,Pelagićevo,Total,Total,688
2013,Number,Pelagićevo,M,Total,299
2013,Number,Pelagićevo,F,Total,389
2013,Number,Petrovac,Total,Total,16
2013,Number,Petrovac,M,Total,6
2013,Number,Petrovac,F,Total,10
2013,Number,Petrovo,Total,Total,944
2013,Number,Petrovo,M,Total,399
2013,Number,Petrovo,F,Total,545
2013,Number,Grad Prijedor,Total,Total,7173
2013,Number,Grad Prijedor,M,Total,3333
2013,Number,Grad Prijedor,F,Total,3840
2013,Number,Prnjavor,Total,Total,3309
2013,Number,Prnjavor,M,Total,1497
2013,Number,Prnjavor,F,Total,1812
2013,Number,Ribnik,Total,Total,701
2013,Number,Ribnik,M,Total,323
2013,Number,Ribnik,F,Total,378
2013,Number,Rogatica,Total,Total,1012
2013,Number,Rogatica,M,Total,464
2013,Number,Rogatica,F,Total,548
2013,Number,Rudo,Total,Total,596
2013,Number,Rudo,M,Total,258
2013,Number,Rudo,F,Total,338
2013,Number,Sokolac,Total,Total,944
2013,Number,Sokolac,M,Total,422
2013,Number,Sokolac,F,Total,522
2013,Number,Srbac,Total,Total,1526
2013,Number,Srbac,M,Total,714
2013,Number,Srbac,F,Total,812
2013,Number,Srebrenica,Total,Total,1061
2013,Number,Srebrenica,M,Total,447
2013,Number,Srebrenica,F,Total,614
2013,Number,Teslić,Total,Total,3562
2013,Number,Teslić,M,Total,1683
2013,Number,Teslić,F,Total,1879
2013,Number,Grad Trebinje,Total,Total,1860
2013,Number,Grad Trebinje,M,Total,823
2013,Number,Grad Trebinje,F,Total,1037
2013,Number,Trnovo,Total,Total,171
2013,Number,Trnovo,M,Total,70
2013,Number,Trnovo,F,Total,101
2013,Number,Ugljevik,Total,Total,1179
2013,Number,Ugljevik,M,Total,532
2013,Number,Ugljevik,F,Total,647
2013,Number,Foča,Total,Total,1473
2013,Number,Foča,M,Total,725
2013,Number,Foča,F,Total,748
2013,Number,Han Pijesak,Total,Total,269
2013,Number,Han Pijesak,M,Total,99
2013,Number,Han Pijesak,F,Total,170
2013,Number,Čajniče,Total,Total,461
2013,Number,Čajniče,M,Total,208
2013,Number,Čajniče,F,Total,253
2013,Number,Čelinac,Total,Total,1672
2013,Number,Čelinac,M,Total,800
2013,Number,Čelinac,F,Total,872
2013,Number,Šamac,Total,Total,1634
2013,Number,Šamac,M,Total,724
2013,Number,Šamac,F,Total,910
2013,Number,Šekovići,Total,Total,595
2013,Number,Šekovići,M,Total,279
2013,Number,Šekovići,F,Total,316
2013,Number,Šipovo,Total,Total,843
2013,Number,Šipovo,M,Total,391
2013,Number,Šipovo,F,Total,452
2013,Number,Republika Srpska,Total,"Seeing, even with the use of seeing aids",43020
2013,Number,Republika Srpska,M,"Seeing, even with the use of seeing aids",18052
2013,Number,Republika Srpska,F,"Seeing, even with the use of seeing aids",24968
2013,Number,Grad Banja Luka,Total,"Seeing, even with the use of seeing aids",5370
2013,Number,Grad Banja Luka,M,"Seeing, even with the use of seeing aids",2232
2013,Number,Grad Banja Luka,F,"Seeing, even with the use of seeing aids",3138
2013,Number,Berkovići,Total,"Seeing, even with the use of seeing aids",73
2013,Number,Berkovići,M,"Seeing, even with the use of seeing aids",33
2013,Number,Berkovići,F,"Seeing, even with the use of seeing aids",40
2013,Number,Grad Bijeljina,Total,"Seeing, even with the use of seeing aids",3450
2013,Number,Grad Bijeljina,M,"Seeing, even with the use of seeing aids",1424
2013,Number,Grad Bijeljina,F,"Seeing, even with the use of seeing aids",2026
2013,Number,Bileća,Total,"Seeing, even with the use of seeing aids",375
2013,Number,Bileća,M,"Seeing, even with the use of seeing aids",159
2013,Number,Bileća,F,"Seeing, even with the use of seeing aids",216
2013,Number,Bratunac,Total,"Seeing, even with the use of seeing aids",791
2013,Number,Bratunac,M,"Seeing, even with the use of seeing aids",328
2013,Number,Bratunac,F,"Seeing, even with the use of seeing aids",463
2013,Number,Brod,Total,"Seeing, even with the use of seeing aids",596
2013,Number,Brod,M,"Seeing, even with the use of seeing aids",252
2013,Number,Brod,F,"Seeing, even with the use of seeing aids",344
2013,Number,Višegrad,Total,"Seeing, even with the use of seeing aids",409
2013,Number,Višegrad,M,"Seeing, even with the use of seeing aids",162
2013,Number,Višegrad,F,"Seeing, even with the use of seeing aids",247
2013,Number,Vlasenica,Total,"Seeing, even with the use of seeing aids",372
2013,Number,Vlasenica,M,"Seeing, even with the use of seeing aids",171
2013,Number,Vlasenica,F,"Seeing, even with the use of seeing aids",201
2013,Number,Vukosavlje,Total,"Seeing, even with the use of seeing aids",157
2013,Number,Vukosavlje,M,"Seeing, even with the use of seeing aids",74
2013,Number,Vukosavlje,F,"Seeing, even with the use of seeing aids",83
2013,Number,Gacko,Total,"Seeing, even with the use of seeing aids",245
2013,Number,Gacko,M,"Seeing, even with the use of seeing aids",107
2013,Number,Gacko,F,"Seeing, even with the use of seeing aids",138
2013,Number,Grad Gradiška,Total,"Seeing, even with the use of seeing aids",1881
2013,Number,Grad Gradiška,M,"Seeing, even with the use of seeing aids",754
2013,Number,Grad Gradiška,F,"Seeing, even with the use of seeing aids",1127
2013,Number,Grad Derventa,Total,"Seeing, even with the use of seeing aids",1172
2013,Number,Grad Derventa,M,"Seeing, even with the use of seeing aids",476
2013,Number,Grad Derventa,F,"Seeing, even with the use of seeing aids",696
2013,Number,Grad Doboj,Total,"Seeing, even with the use of seeing aids",3265
2013,Number,Grad Doboj,M,"Seeing, even with the use of seeing aids",1332
2013,Number,Grad Doboj,F,"Seeing, even with the use of seeing aids",1933
2013,Number,Donji Žabar,Total,"Seeing, even with the use of seeing aids",122
