Year,UNIT_MEASURE,Type of users,Value
2016,Number,"Families, users of child allowance",23202
2017,Number,"Families, users of child allowance",20279
2018,Number,"Families, users of child allowance",21839
2019,Number,"Families, users of child allowance",15388
2020,Number,"Families, users of child allowance",13381
2016,Number,"Children, users of child allowance",33125
2017,Number,"Children, users of child allowance",28767
2018,Number,"Children, users of child allowance",27222
2019,Number,"Children, users of child allowance",21862
2020,Number,"Children, users of child allowance",19210
