Year,UNIT_MEASURE,TYPE_OF_USERS,Value
2016,Number,total,36
2017,Number,total,38
2018,Number,total,52
2019,Number,total,56
2020,Number,total,61
2016,Number,institutions_for_children_and_youth,4
2017,Number,institutions_for_children_and_youth,4
2018,Number,institutions_for_children_and_youth,4
2019,Number,institutions_for_children_and_youth,4
2020,Number,institutions_for_children_and_youth,4
2016,Number,adult_facilities,32
2017,Number,adult_facilities,34
2018,Number,adult_facilities,48
2019,Number,adult_facilities,52
2020,Number,adult_facilities,57
