Year,UNIT_MEASURE,Type of institutions,Sex,Value
2016,Number,Total,Total,9953
2016,Number,Total,M,5184
2016,Number,Total,F,4769
2017,Number,Total,Total,10240
2017,Number,Total,M,5298
2017,Number,Total,F,4942
2018,Number,Total,Total,12156
2018,Number,Total,M,6341
2018,Number,Total,F,5815
2019,Number,Total,Total,13138
2019,Number,Total,M,6801
2019,Number,Total,F,6337
2020,Number,Total,Total,11247
2020,Number,Total,M,5852
2020,Number,Total,F,5395
2016,Number,Public,Total,7454
2016,Number,Public,M,3869
2016,Number,Public,F,3585
2017,Number,Public,Total,7773
2017,Number,Public,M,4012
2017,Number,Public,F,3761
2018,Number,Public,Total,8553
2018,Number,Public,M,4485
2018,Number,Public,F,4068
2019,Number,Public,Total,9074
2019,Number,Public,M,4704
2019,Number,Public,F,4370
2020,Number,Public,Total,7774
2020,Number,Public,M,4043
2020,Number,Public,F,3731
2016,Number,Private,Total,2499
2016,Number,Private,M,1315
2016,Number,Private,F,1184
2017,Number,Private,Total,2467
2017,Number,Private,M,1286
2017,Number,Private,F,1181
2018,Number,Private,Total,3603
2018,Number,Private,M,1856
2018,Number,Private,F,1747
2019,Number,Private,Total,4064
2019,Number,Private,M,2097
2019,Number,Private,F,1967
2020,Number,Private,Total,3473
2020,Number,Private,M,1809
2020,Number,Private,F,1664
