Year,UNIT_MEASURE,Type of school,Value
2016,Number,Gymnasiums,9443
2016,Number,Technical high schools,24999
2016,Number,Vocational high schools,6162
2016,Number,Art schools,307
2016,Number,Religious schools,88
2016,Number,High schools for students with disabilities,137
2017,Number,Gymnasiums,8875
2017,Number,Technical high schools,24644
2017,Number,Vocational high schools,5832
2017,Number,Art schools,275
2017,Number,Religious schools,80
2017,Number,High schools for students with disabilities,125
2018,Number,Gymnasiums,8360
2018,Number,Technical high schools,23574
2018,Number,Vocational high schools,6107
2018,Number,Art schools,287
2018,Number,Religious schools,65
2018,Number,High schools for students with disabilities,106
2019,Number,Gymnasiums,7781
2019,Number,Technical high schools,22965
2019,Number,Vocational high schools,6023
2019,Number,Art schools,293
2019,Number,Religious schools,58
2019,Number,High schools for students with disabilities,86
2020,Number,Gymnasiums,7278
2020,Number,Technical high schools,22749
2020,Number,Vocational high schools,5935
2020,Number,Art schools,311
2020,Number,Religious schools,54
2020,Number,High schools for students with disabilities,78
2021,Number,Gymnasiums,6679
2021,Number,Technical high schools,22666
2021,Number,Vocational high schools,5739
2021,Number,Art schools,416
2021,Number,Religious schools,42
2021,Number,High schools for students with disabilities,73
