Year,UNIT_MEASURE,End of the school year,Type_of_school,Sex,Value
2010,Number,2010/2011,Total,Both sexes,35349
2011,Number,2011/2012,Total,Both sexes,34791
2012,Number,2012/2013,Total,Both sexes,40630
2013,Number,2013/2014,Total,Both sexes,43991
2014,Number,2014/2015,Total,Both sexes,43318
2015,Number,2015/2016,Total,Both sexes,35897
2016,Number,2016/2017,Total,Both sexes,31761
2017,Number,2017/2018,Total,Both sexes,32963
2018,Number,2018/2019,Total,Both sexes,32540
2019,Number,2019/2020,Total,Both sexes,31140
2010,Number,2010/2011,Gymnasium,Both sexes,8863
2011,Number,2011/2012,Gymnasium,Both sexes,8101
2012,Number,2012/2013,Gymnasium,Both sexes,9732
2013,Number,2013/2014,Gymnasium,Both sexes,10855
2014,Number,2014/2015,Gymnasium,Both sexes,11920
2015,Number,2015/2016,Gymnasium,Both sexes,9210
2016,Number,2016/2017,Gymnasium,Both sexes,7893
2017,Number,2017/2018,Gymnasium,Both sexes,7799
2018,Number,2018/2019,Gymnasium,Both sexes,7462
2019,Number,2019/2020,Gymnasium,Both sexes,7010
2010,Number,2010/2011,Technical schools,Both sexes,17510
2011,Number,2011/2012,Technical schools,Both sexes,16553
2012,Number,2012/2013,Technical schools,Both sexes,19679
2013,Number,2013/2014,Technical schools,Both sexes,21299
2014,Number,2014/2015,Technical schools,Both sexes,21426
2015,Number,2015/2016,Technical schools,Both sexes,18617
2016,Number,2016/2017,Technical schools,Both sexes,15815
2017,Number,2017/2018,Technical schools,Both sexes,16988
2018,Number,2018/2019,Technical schools,Both sexes,17092
2019,Number,2019/2020,Technical schools,Both sexes,16116
2010,Number,2010/2011,Art schools,Both sexes,276
2011,Number,2011/2012,Art schools,Both sexes,293
2012,Number,2012/2013,Art schools,Both sexes,316
2013,Number,2013/2014,Art schools,Both sexes,318
2014,Number,2014/2015,Art schools,Both sexes,357
2015,Number,2015/2016,Art schools,Both sexes,288
2016,Number,2016/2017,Art schools,Both sexes,214
2017,Number,2017/2018,Art schools,Both sexes,302
2018,Number,2018/2019,Art schools,Both sexes,281
2019,Number,2019/2020,Art schools,Both sexes,241
2010,Number,2010/2011,Religion schools,Both sexes,447
2011,Number,2011/2012,Religion schools,Both sexes,356
2012,Number,2012/2013,Religion schools,Both sexes,460
2013,Number,2013/2014,Religion schools,Both sexes,517
2014,Number,2014/2015,Religion schools,Both sexes,602
2015,Number,2015/2016,Religion schools,Both sexes,503
2016,Number,2016/2017,Religion schools,Both sexes,476
2017,Number,2017/2018,Religion schools,Both sexes,530
2018,Number,2018/2019,Religion schools,Both sexes,553
2019,Number,2019/2020,Religion schools,Both sexes,518
2010,Number,2010/2011,Vocational schools,Both sexes,8154
2011,Number,2011/2012,Vocational schools,Both sexes,9386
2012,Number,2012/2013,Vocational schools,Both sexes,10331
2013,Number,2013/2014,Vocational schools,Both sexes,10806
2014,Number,2014/2015,Vocational schools,Both sexes,8890
2015,Number,2015/2016,Vocational schools,Both sexes,7161
2016,Number,2016/2017,Vocational schools,Both sexes,7260
2017,Number,2017/2018,Vocational schools,Both sexes,7224
2018,Number,2018/2019,Vocational schools,Both sexes,7018
2019,Number,2019/2020,Vocational schools,Both sexes,7149
2010,Number,2010/2011,High schools for children with special needs,Both sexes,99
2011,Number,2011/2012,High schools for children with special needs,Both sexes,102
2012,Number,2012/2013,High schools for children with special needs,Both sexes,112
2013,Number,2013/2014,High schools for children with special needs,Both sexes,196
2014,Number,2014/2015,High schools for children with special needs,Both sexes,123
2015,Number,2015/2016,High schools for children with special needs,Both sexes,118
2016,Number,2016/2017,High schools for children with special needs,Both sexes,103
2017,Number,2017/2018,High schools for children with special needs,Both sexes,120
2018,Number,2018/2019,High schools for children with special needs,Both sexes,134
2019,Number,2019/2020,High schools for children with special needs,Both sexes,106
2010,Number,2010/2011,Total,M,18022
2011,Number,2011/2012,Total,M,18153
2012,Number,2012/2013,Total,M,20895
2013,Number,2013/2014,Total,M,22589
2014,Number,2014/2015,Total,M,22230
2015,Number,2015/2016,Total,M,18464
2016,Number,2016/2017,Total,M,16307
