Year,UNIT_MEASURE,scientific_field,Value
2017,Number,education,542
2017,Number,arts_and_humanities,429
2017,Number,"social_sciences,_journalism_and_information",725
2017,Number,"business,_administration_and_law",1677
2017,Number,"natural_sciences,_mathematics_and_statistics",209
2017,Number,information_and_communication_technologies,262
2017,Number,"engineering,_production_and_construction",367
2017,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",205
2017,Number,health_and_social_protection,547
2017,Number,services,118
2018,Number,education,459
2018,Number,arts_and_humanities,403
2018,Number,"social_sciences,_journalism_and_information",524
2018,Number,"business,_administration_and_law",1320
2018,Number,"natural_sciences,_mathematics_and_statistics",165
2018,Number,information_and_communication_technologies,294
2018,Number,"engineering,_production_and_construction",464
2018,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",205
2018,Number,health_and_social_protection,629
2018,Number,services,101
2019,Number,education,406
2019,Number,arts_and_humanities,385
2019,Number,"social_sciences,_journalism_and_information",482
2019,Number,"business,_administration_and_law",1110
2019,Number,"natural_sciences,_mathematics_and_statistics",168
2019,Number,information_and_communication_technologies,231
2019,Number,"engineering,_production_and_construction",461
2019,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",238
2019,Number,health_and_social_protection,534
2019,Number,services,129
2020,Number,education,336
2020,Number,arts_and_humanities,433
2020,Number,"social_sciences,_journalism_and_information",588
2020,Number,"business,_administration_and_law",991
2020,Number,"natural_sciences,_mathematics_and_statistics",166
2020,Number,information_and_communication_technologies,254
2020,Number,"engineering,_production_and_construction",438
2020,Number,"agriculture,_forestry,_fisheries_and_veterinary_medicine",229
2020,Number,health_and_social_protection,590
2020,Number,services,159
