Year,UNIT_MEASURE,type_of_education,Sex,Value
2016,Number,enrolled_in_master_of_science_studies,Both sexes,59
2017,Number,enrolled_in_master_of_science_studies,Both sexes,31
2018,Number,enrolled_in_master_of_science_studies,Both sexes,14
2019,Number,enrolled_in_master_of_science_studies,Both sexes,16
2020,Number,enrolled_in_master_of_science_studies,Both sexes,4
2016,Number,enrolled_in_master_of_science_studies,M,37
2017,Number,enrolled_in_master_of_science_studies,M,21
2018,Number,enrolled_in_master_of_science_studies,M,6
2019,Number,enrolled_in_master_of_science_studies,M,12
2020,Number,enrolled_in_master_of_science_studies,M,3
2016,Number,enrolled_in_master_of_science_studies,F,22
2017,Number,enrolled_in_master_of_science_studies,F,10
2018,Number,enrolled_in_master_of_science_studies,F,8
2019,Number,enrolled_in_master_of_science_studies,F,4
2020,Number,enrolled_in_master_of_science_studies,F,1
2016,Number,enrolled_in_master_studies,Both sexes,2456
2017,Number,enrolled_in_master_studies,Both sexes,2140
2018,Number,enrolled_in_master_studies,Both sexes,2144
2019,Number,enrolled_in_master_studies,Both sexes,2109
2020,Number,enrolled_in_master_studies,Both sexes,2430
2016,Number,enrolled_in_master_studies,M,1048
2017,Number,enrolled_in_master_studies,M,917
2018,Number,enrolled_in_master_studies,M,937
2019,Number,enrolled_in_master_studies,M,930
2020,Number,enrolled_in_master_studies,M,1036
2016,Number,enrolled_in_master_studies,F,1408
2017,Number,enrolled_in_master_studies,F,1223
2018,Number,enrolled_in_master_studies,F,1207
2019,Number,enrolled_in_master_studies,F,1179
2020,Number,enrolled_in_master_studies,F,1394
2016,Number,enrolled_in_specialist_studies,Both sexes,71
2017,Number,enrolled_in_specialist_studies,Both sexes,73
2018,Number,enrolled_in_specialist_studies,Both sexes,160
2019,Number,enrolled_in_specialist_studies,Both sexes,170
2020,Number,enrolled_in_specialist_studies,Both sexes,170
2016,Number,enrolled_in_specialist_studies,M,28
2017,Number,enrolled_in_specialist_studies,M,34
2018,Number,enrolled_in_specialist_studies,M,66
2019,Number,enrolled_in_specialist_studies,M,72
2020,Number,enrolled_in_specialist_studies,M,39
2016,Number,enrolled_in_specialist_studies,F,43
2017,Number,enrolled_in_specialist_studies,F,39
2018,Number,enrolled_in_specialist_studies,F,94
2019,Number,enrolled_in_specialist_studies,F,98
2020,Number,enrolled_in_specialist_studies,F,131
