Year,UNIT_MEASURE,Sex,Age,Value
2020,% of total,Total,15+,45.5
2020,% of total,Total,15 - 24,24.2
2020,% of total,Total,25 - 49,69.9
2020,% of total,Total,50 - 64,52.4
2020,% of total,Total,15 - 64,56.5
2020,% of total,M,15+,52.7
2020,% of total,M,15 - 24,28.6
2020,% of total,M,25 - 49,75.0
2020,% of total,M,50 - 64,63.2
2020,% of total,M,15 - 64,63.4
2020,% of total,F,15+,38.8
2020,% of total,F,15 - 24,19.4
2020,% of total,F,25 - 49,64.6
2020,% of total,F,50 - 64,42.1
2020,% of total,F,15 - 64,49.5
