Year,Value,UNIT_MEASURE
2003,8.8,Number per 1000 population
2004,8.9,Number per 1000 population
2005,8.7,Number per 1000 population
2006,8.9,Number per 1000 population
2007,8.6,Number per 1000 population
2008,8.6,Number per 1000 population
2009,9.0,Number per 1000 population
2010,8.6,Number per 1000 population
2011,8.1,Number per 1000 population
2012,8.5,Number per 1000 population
2013,8.1,Number per 1000 population
2014,8.0,Number per 1000 population
2015,8.1,Number per 1000 population
2016,8.2,Number per 1000 population
2017,8.1,Number per 1000 population
2018,8.3,Number per 1000 population
2019,8.1,Number per 1000 population
2020,8.1,Number per 1000 population
2021,8.2,Number per 1000 population
2022,8.1,Number per 1000 population
2023,8.4,Number per 1000 population
2024,8.3,Number per 1000 population
