Year,Value,UNIT_MEASURE
2003,6.1,Number per 1000 live births
2004,5.7,Number per 1000 live births
2005,3.6,Number per 1000 live births
2006,4.8,Number per 1000 live births
2007,3.8,Number per 1000 live births
2008,3.9,Number per 1000 live births
2009,4.8,Number per 1000 live births
2010,4.3,Number per 1000 live births
2011,4.5,Number per 1000 live births
2012,3.7,Number per 1000 live births
2013,3.5,Number per 1000 live births
2014,3.1,Number per 1000 live births
2015,2.8,Number per 1000 live births
2016,2.4,Number per 1000 live births
2017,2.8,Number per 1000 live births
2018,1.8,Number per 1000 live births
2019,1.6,Number per 1000 live births
2020,4.7,Number per 1000 live births
2021,1.8,Number per 1000 live births
2022,4.4,Number per 1000 live births
2023,2.9,Number per 1000 live births
