Year,UNIT_MEASURE,Spol,Value
2003,Starosna dob,Oba spola,73.8
2003,Starosna dob,M,71.19
2003,Starosna dob,Ž,76.4
2004,Starosna dob,Oba spola,74.14
2004,Starosna dob,M,71.55
2004,Starosna dob,Ž,76.7
2005,Starosna dob,Oba spola,73.87
2005,Starosna dob,M,71.05
2005,Starosna dob,Ž,76.69
2006,Starosna dob,Oba spola,74.64
2006,Starosna dob,M,71.82
2006,Starosna dob,Ž,77.45
2007,Starosna dob,Oba spola,74.43
2007,Starosna dob,M,71.67
2007,Starosna dob,Ž,77.21
2008,Starosna dob,Oba spola,75.21
2008,Starosna dob,M,72.21
2008,Starosna dob,Ž,78.23
2009,Starosna dob,Oba spola,75.32
2009,Starosna dob,M,72.62
2009,Starosna dob,Ž,78.02
2010,Starosna dob,Oba spola,75.88
2010,Starosna dob,M,73.22
2010,Starosna dob,Ž,78.52
2011,Starosna dob,Oba spola,76.18
2011,Starosna dob,M,73.42
2011,Starosna dob,Ž,78.96
2012,Starosna dob,Oba spola,76.5
2012,Starosna dob,M,73.67
2012,Starosna dob,Ž,79.35
2013,Starosna dob,Oba spola,76.42
2013,Starosna dob,M,73.5
2013,Starosna dob,Ž,79.36
2014,Starosna dob,Oba spola,76.41
2014,Starosna dob,M,73.76
2014,Starosna dob,Ž,79.06
2015,Starosna dob,Oba spola,76.19
2015,Starosna dob,M,73.6
2015,Starosna dob,Ž,78.78
2016,Starosna dob,Oba spola,77.24
2016,Starosna dob,M,74.4
2016,Starosna dob,Ž,80.1
2017,Starosna dob,Oba spola,77.2
2017,Starosna dob,M,74.68
2017,Starosna dob,Ž,79.71
2018,Starosna dob,Oba spola,77.22
2018,Starosna dob,M,74.59
2018,Starosna dob,Ž,79.86
2019,Starosna dob,Oba spola,77.15
2019,Starosna dob,M,74.34
2019,Starosna dob,Ž,80.0
2020,Starosna dob,Oba spola,76.23
2020,Starosna dob,M,73.34
2020,Starosna dob,Ž,79.24
