Year,UNIT_MEASURE,Value
2003,Broj na 1000 brakova,0.62
2004,Broj na 1000 brakova,0.54
2005,Broj na 1000 brakova,0.61
2006,Broj na 1000 brakova,0.44
2007,Broj na 1000 brakova,0.5
2008,Broj na 1000 brakova,0.27
2009,Broj na 1000 brakova,0.39
2010,Broj na 1000 brakova,0.44
2011,Broj na 1000 brakova,0.75
2012,Broj na 1000 brakova,0.75
2013,Broj na 1000 brakova,0.9
2014,Broj na 1000 brakova,0.95
2015,Broj na 1000 brakova,0.98
2016,Broj na 1000 brakova,0.89
2017,Broj na 1000 brakova,0.85
2018,Broj na 1000 brakova,0.8
2019,Broj na 1000 brakova,0.8
2020,Broj na 1000 brakova,0.8
