Year,UNIT_MEASURE,Spol,Starosna dob,Value
2013,Broj,Oba spola,Ukupno,1170342.0
2013,Broj,M,Ukupno,571812.0
2013,Broj,Ž,Ukupno,598530.0
2013,Broj,Oba spola,0-4,53405.0
2013,Broj,M,0-4,27393.0
2013,Broj,Ž,0-4,26012.0
2013,Broj,Oba spola,5-9,54076.0
2013,Broj,M,5-9,27716.0
2013,Broj,Ž,5-9,26360.0
2013,Broj,Oba spola,10-14,57326.0
2013,Broj,M,10-14,29411.0
2013,Broj,Ž,10-14,27915.0
2013,Broj,Oba spola,15-19,70815.0
2013,Broj,M,15-19,36577.0
2013,Broj,Ž,15-19,34238.0
2013,Broj,Oba spola,20-24,65363.0
2013,Broj,M,20-24,33893.0
2013,Broj,Ž,20-24,31470.0
2013,Broj,Oba spola,25-29,76753.0
2013,Broj,M,25-29,39159.0
2013,Broj,Ž,25-29,37594.0
2013,Broj,Oba spola,30-34,80472.0
2013,Broj,M,30-34,40809.0
2013,Broj,Ž,30-34,39663.0
2013,Broj,Oba spola,35-39,80588.0
2013,Broj,M,35-39,41264.0
2013,Broj,Ž,35-39,39324.0
2013,Broj,Oba spola,40-44,75683.0
2013,Broj,M,40-44,38704.0
2013,Broj,Ž,40-44,36979.0
2013,Broj,Oba spola,45-49,82810.0
2013,Broj,M,45-49,41422.0
2013,Broj,Ž,45-49,41388.0
2013,Broj,Oba spola,50-54,92000.0
2013,Broj,M,50-54,45159.0
2013,Broj,Ž,50-54,46841.0
2013,Broj,Oba spola,55-59,93458.0
2013,Broj,M,55-59,45289.0
2013,Broj,Ž,55-59,48169.0
2013,Broj,Oba spola,60-64,87204.0
2013,Broj,M,60-64,41420.0
2013,Broj,Ž,60-64,45784.0
2013,Broj,Oba spola,65-69,60073.0
2013,Broj,M,65-69,27337.0
2013,Broj,Ž,65-69,32736.0
2013,Broj,Oba spola,70-74,55148.0
2013,Broj,M,70-74,23525.0
2013,Broj,Ž,70-74,31623.0
2013,Broj,Oba spola,75-79,48037.0
2013,Broj,M,75-79,19261.0
2013,Broj,Ž,75-79,28776.0
2013,Broj,Oba spola,80-84,25566.0
2013,Broj,M,80-84,9608.0
2013,Broj,Ž,80-84,15958.0
2013,Broj,Oba spola,85+,11565.0
2013,Broj,M,85+,3865.0
2013,Broj,Ž,85+,7700.0
2013,Broj,Oba spola,average_age,41.72
2013,Broj,M,average_age,40.32
2013,Broj,Ž,average_age,43.05
