Year,UNIT_MEASURE,Teritory,Spol,Vitalna statistika,Value
2013,Broj,REPUBLIKA SRPSKA,Ž,Ukupno,518243
2013,Broj,BANJA LUKA,Ž,Ukupno,80633
2013,Broj,BERKOVICI,Ž,Ukupno,839
2013,Broj,BIJELJINA,Ž,Ukupno,45729
2013,Broj,BILECA,Ž,Ukupno,4500
2013,Broj,BRATUNAC,Ž,Ukupno,8127
2013,Broj,BROD,Ž,Ukupno,6996
2013,Broj,VISEGRAD,Ž,Ukupno,4691
2013,Broj,VLASENICA,Ž,Ukupno,4738
2013,Broj,VUKOSAVLJE,Ž,Ukupno,1849
2013,Broj,GACKO,Ž,Ukupno,3646
2013,Broj,GRADISKA,Ž,Ukupno,22005
2013,Broj,DERVENTA,Ž,Ukupno,11515
2013,Broj,DOBOJ,Ž,Ukupno,30598
2013,Broj,DONJI ZABAR,Ž,Ukupno,1561
2013,Broj,ZVORNIK,Ž,Ukupno,23313
2013,Broj,ISTOCNA ILIDZA,Ž,Ukupno,6538
2013,Broj,ISTOCNI DRVAR,Ž,Ukupno,22
2013,Broj,ISTOCNI MOSTAR,Ž,Ukupno,93
2013,Broj,ISTOCNI STARI GRAD,Ž,Ukupno,516
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,Ukupno,4659
2013,Broj,JEZERO,Ž,Ukupno,437
2013,Broj,KALINOVIK,Ž,Ukupno,898
2013,Broj,KNEZEVO,Ž,Ukupno,4079
2013,Broj,KOZARSKA DUBICA,Ž,Ukupno,9386
2013,Broj,KOSTAJNICA,Ž,Ukupno,2538
2013,Broj,KOTOR VAROS,Ž,Ukupno,7914
2013,Broj,KRUPA NA UNI,Ž,Ukupno,628
2013,Broj,KUPRES,Ž,Ukupno,127
2013,Broj,LAKTASI,Ž,Ukupno,14682
2013,Broj,LOPARE,Ž,Ukupno,6471
2013,Broj,LJUBINJE,Ž,Ukupno,1475
2013,Broj,MILICI,Ž,Ukupno,4489
2013,Broj,MODRICA,Ž,Ukupno,10856
2013,Broj,MRKONJIC GRAD,Ž,Ukupno,7153
2013,Broj,NEVESINJE,Ž,Ukupno,5385
2013,Broj,NOVI GRAD,Ž,Ukupno,11191
2013,Broj,NOVO GORAZDE,Ž,Ukupno,1263
2013,Broj,OSMACI,Ž,Ukupno,2367
2013,Broj,OSTRA LUKA,Ž,Ukupno,1131
2013,Broj,PALE,Ž,Ukupno,9317
2013,Broj,PELAGICEVO,Ž,Ukupno,1978
2013,Broj,PETROVAC,Ž,Ukupno,160
2013,Broj,PETROVO,Ž,Ukupno,2902
2013,Broj,PRIJEDOR,Ž,Ukupno,36570
2013,Broj,PRNJAVOR,Ž,Ukupno,15254
