Year,UNIT_MEASURE,school_year_end,Type_of_school,Spol,Value
2010,Broj,2010/2011,_T,Oba spola,35349
2011,Broj,2011/2012,_T,Oba spola,34791
2012,Broj,2012/2013,_T,Oba spola,40630
2013,Broj,2013/2014,_T,Oba spola,43991
2014,Broj,2014/2015,_T,Oba spola,43318
2015,Broj,2015/2016,_T,Oba spola,35897
2016,Broj,2016/2017,_T,Oba spola,31761
2017,Broj,2017/2018,_T,Oba spola,32963
2018,Broj,2018/2019,_T,Oba spola,32540
2019,Broj,2019/2020,_T,Oba spola,31140
2010,Broj,2010/2011,gymnasium,Oba spola,8863
2011,Broj,2011/2012,gymnasium,Oba spola,8101
2012,Broj,2012/2013,gymnasium,Oba spola,9732
2013,Broj,2013/2014,gymnasium,Oba spola,10855
2014,Broj,2014/2015,gymnasium,Oba spola,11920
2015,Broj,2015/2016,gymnasium,Oba spola,9210
2016,Broj,2016/2017,gymnasium,Oba spola,7893
2017,Broj,2017/2018,gymnasium,Oba spola,7799
2018,Broj,2018/2019,gymnasium,Oba spola,7462
2019,Broj,2019/2020,gymnasium,Oba spola,7010
2010,Broj,2010/2011,technical_schools,Oba spola,17510
2011,Broj,2011/2012,technical_schools,Oba spola,16553
2012,Broj,2012/2013,technical_schools,Oba spola,19679
2013,Broj,2013/2014,technical_schools,Oba spola,21299
2014,Broj,2014/2015,technical_schools,Oba spola,21426
2015,Broj,2015/2016,technical_schools,Oba spola,18617
2016,Broj,2016/2017,technical_schools,Oba spola,15815
2017,Broj,2017/2018,technical_schools,Oba spola,16988
2018,Broj,2018/2019,technical_schools,Oba spola,17092
2019,Broj,2019/2020,technical_schools,Oba spola,16116
2010,Broj,2010/2011,art_schools,Oba spola,276
2011,Broj,2011/2012,art_schools,Oba spola,293
2012,Broj,2012/2013,art_schools,Oba spola,316
2013,Broj,2013/2014,art_schools,Oba spola,318
2014,Broj,2014/2015,art_schools,Oba spola,357
2015,Broj,2015/2016,art_schools,Oba spola,288
2016,Broj,2016/2017,art_schools,Oba spola,214
2017,Broj,2017/2018,art_schools,Oba spola,302
2018,Broj,2018/2019,art_schools,Oba spola,281
2019,Broj,2019/2020,art_schools,Oba spola,241
2010,Broj,2010/2011,religion_schools,Oba spola,447
2011,Broj,2011/2012,religion_schools,Oba spola,356
2012,Broj,2012/2013,religion_schools,Oba spola,460
2013,Broj,2013/2014,religion_schools,Oba spola,517
2014,Broj,2014/2015,religion_schools,Oba spola,602
2015,Broj,2015/2016,religion_schools,Oba spola,503
2016,Broj,2016/2017,religion_schools,Oba spola,476
2017,Broj,2017/2018,religion_schools,Oba spola,530
2018,Broj,2018/2019,religion_schools,Oba spola,553
2019,Broj,2019/2020,religion_schools,Oba spola,518
2010,Broj,2010/2011,vocational_schools,Oba spola,8154
2011,Broj,2011/2012,vocational_schools,Oba spola,9386
2012,Broj,2012/2013,vocational_schools,Oba spola,10331
2013,Broj,2013/2014,vocational_schools,Oba spola,10806
2014,Broj,2014/2015,vocational_schools,Oba spola,8890
2015,Broj,2015/2016,vocational_schools,Oba spola,7161
2016,Broj,2016/2017,vocational_schools,Oba spola,7260
2017,Broj,2017/2018,vocational_schools,Oba spola,7224
2018,Broj,2018/2019,vocational_schools,Oba spola,7018
2019,Broj,2019/2020,vocational_schools,Oba spola,7149
2010,Broj,2010/2011,high_schools_for_children_with_special_needs,Oba spola,99
2011,Broj,2011/2012,high_schools_for_children_with_special_needs,Oba spola,102
2012,Broj,2012/2013,high_schools_for_children_with_special_needs,Oba spola,112
2013,Broj,2013/2014,high_schools_for_children_with_special_needs,Oba spola,196
2014,Broj,2014/2015,high_schools_for_children_with_special_needs,Oba spola,123
2015,Broj,2015/2016,high_schools_for_children_with_special_needs,Oba spola,118
2016,Broj,2016/2017,high_schools_for_children_with_special_needs,Oba spola,103
2017,Broj,2017/2018,high_schools_for_children_with_special_needs,Oba spola,120
2018,Broj,2018/2019,high_schools_for_children_with_special_needs,Oba spola,134
2019,Broj,2019/2020,high_schools_for_children_with_special_needs,Oba spola,106
2010,Broj,2010/2011,_T,M,18022
2011,Broj,2011/2012,_T,M,18153
2012,Broj,2012/2013,_T,M,20895
2013,Broj,2013/2014,_T,M,22589
2014,Broj,2014/2015,_T,M,22230
2015,Broj,2015/2016,_T,M,18464
2016,Broj,2016/2017,_T,M,16307
2017,Broj,2017/2018,_T,M,16580
2018,Broj,2018/2019,_T,M,16519
2019,Broj,2019/2020,_T,M,15982
2010,Broj,2010/2011,gymnasium,M,3246
2011,Broj,2011/2012,gymnasium,M,3021
2012,Broj,2012/2013,gymnasium,M,3642
2013,Broj,2013/2014,gymnasium,M,3946
2014,Broj,2014/2015,gymnasium,M,4428
2015,Broj,2015/2016,gymnasium,M,3412
2016,Broj,2016/2017,gymnasium,M,2895
2017,Broj,2017/2018,gymnasium,M,2869
2018,Broj,2018/2019,gymnasium,M,2819
2019,Broj,2019/2020,gymnasium,M,2538
2010,Broj,2010/2011,technical_schools,M,8794
2011,Broj,2011/2012,technical_schools,M,8333
2012,Broj,2012/2013,technical_schools,M,9735
2013,Broj,2013/2014,technical_schools,M,10569
2014,Broj,2014/2015,technical_schools,M,10911
2015,Broj,2015/2016,technical_schools,M,9580
2016,Broj,2016/2017,technical_schools,M,7882
2017,Broj,2017/2018,technical_schools,M,8200
2018,Broj,2018/2019,technical_schools,M,8309
2019,Broj,2019/2020,technical_schools,M,7844
2010,Broj,2010/2011,art_schools,M,113
2011,Broj,2011/2012,art_schools,M,120
2012,Broj,2012/2013,art_schools,M,137
2013,Broj,2013/2014,art_schools,M,133
2014,Broj,2014/2015,art_schools,M,161
2015,Broj,2015/2016,art_schools,M,111
2016,Broj,2016/2017,art_schools,M,80
2017,Broj,2017/2018,art_schools,M,108
2018,Broj,2018/2019,art_schools,M,111
2019,Broj,2019/2020,art_schools,M,80
2010,Broj,2010/2011,religion_schools,M,228
2011,Broj,2011/2012,religion_schools,M,176
2012,Broj,2012/2013,religion_schools,M,209
2013,Broj,2013/2014,religion_schools,M,260
2014,Broj,2014/2015,religion_schools,M,296
2015,Broj,2015/2016,religion_schools,M,242
2016,Broj,2016/2017,religion_schools,M,241
2017,Broj,2017/2018,religion_schools,M,253
2018,Broj,2018/2019,religion_schools,M,251
2019,Broj,2019/2020,religion_schools,M,259
2010,Broj,2010/2011,vocational_schools,M,5576
