Year,UNIT_MEASURE,Teritory,Spol,Starosna dob,Value
2013,Broj,REPUBLIKA SRPSKA,Oba spola,0-4,53563
2013,Broj,REPUBLIKA SRPSKA,M,0-4,27499
2013,Broj,REPUBLIKA SRPSKA,Ž,0-4,26064
2013,Broj,GRAD BANJA LUKA,Oba spola,0-4,9539
2013,Broj,GRAD BANJA LUKA,M,0-4,4844
2013,Broj,GRAD BANJA LUKA,Ž,0-4,4695
2013,Broj,BERKOVICI,Oba spola,0-4,91
2013,Broj,BERKOVICI,M,0-4,49
2013,Broj,BERKOVICI,Ž,0-4,42
2013,Broj,GRAD BIJELJINA,Oba spola,0-4,4963
2013,Broj,GRAD BIJELJINA,M,0-4,2590
2013,Broj,GRAD BIJELJINA,Ž,0-4,2373
2013,Broj,BILECA,Oba spola,0-4,489
2013,Broj,BILECA,M,0-4,258
2013,Broj,BILECA,Ž,0-4,231
2013,Broj,BRATUNAC,Oba spola,0-4,888
2013,Broj,BRATUNAC,M,0-4,476
2013,Broj,BRATUNAC,Ž,0-4,412
2013,Broj,BROD,Oba spola,0-4,718
2013,Broj,BROD,M,0-4,377
2013,Broj,BROD,Ž,0-4,341
2013,Broj,VISEGRAD,Oba spola,0-4,323
2013,Broj,VISEGRAD,M,0-4,153
2013,Broj,VISEGRAD,Ž,0-4,170
2013,Broj,VLASENICA,Oba spola,0-4,486
2013,Broj,VLASENICA,M,0-4,260
2013,Broj,VLASENICA,Ž,0-4,226
2013,Broj,VUKOSAVLJE,Oba spola,0-4,195
2013,Broj,VUKOSAVLJE,M,0-4,97
2013,Broj,VUKOSAVLJE,Ž,0-4,98
2013,Broj,GACKO,Oba spola,0-4,430
2013,Broj,GACKO,M,0-4,210
2013,Broj,GACKO,Ž,0-4,220
2013,Broj,GRAD GRADISKA,Oba spola,0-4,2077
2013,Broj,GRAD GRADISKA,M,0-4,1047
2013,Broj,GRAD GRADISKA,Ž,0-4,1030
2013,Broj,GRAD DERVENTA,Oba spola,0-4,1115
2013,Broj,GRAD DERVENTA,M,0-4,551
2013,Broj,GRAD DERVENTA,Ž,0-4,564
2013,Broj,GRAD DOBOJ,Oba spola,0-4,3010
2013,Broj,GRAD DOBOJ,M,0-4,1528
2013,Broj,GRAD DOBOJ,Ž,0-4,1482
2013,Broj,DONJI ZABAR,Oba spola,0-4,126
2013,Broj,DONJI ZABAR,M,0-4,60
2013,Broj,DONJI ZABAR,Ž,0-4,66
2013,Broj,GRAD ZVORNIK,Oba spola,0-4,2851
2013,Broj,GRAD ZVORNIK,M,0-4,1442
2013,Broj,GRAD ZVORNIK,Ž,0-4,1409
2013,Broj,ISTOCNI DRVAR,Oba spola,0-4,-
2013,Broj,ISTOCNI DRVAR,M,0-4,-
2013,Broj,ISTOCNI DRVAR,Ž,0-4,-
2013,Broj,ISTOCNI MOSTAR,Oba spola,0-4,7
2013,Broj,ISTOCNI MOSTAR,M,0-4,4
2013,Broj,ISTOCNI MOSTAR,Ž,0-4,3
2013,Broj,GRAD ISTOCNO SARAJEVO,Oba spola,0-4,2763
2013,Broj,GRAD ISTOCNO SARAJEVO,M,0-4,1404
2013,Broj,GRAD ISTOCNO SARAJEVO,Ž,0-4,1359
2013,Broj,ISTOCNA ILIDZA,Oba spola,0-4,650
2013,Broj,ISTOCNA ILIDZA,M,0-4,327
2013,Broj,ISTOCNA ILIDZA,Ž,0-4,323
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,0-4,607
2013,Broj,ISTOCNO NOVO SARAJEVO,M,0-4,296
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,0-4,311
2013,Broj,ISTOČNI STARI GRAD,Oba spola,0-4,41
2013,Broj,ISTOČNI STARI GRAD,M,0-4,26
2013,Broj,ISTOČNI STARI GRAD,Ž,0-4,15
2013,Broj,PALE,Oba spola,0-4,895
2013,Broj,PALE,M,0-4,463
2013,Broj,PALE,Ž,0-4,432
2013,Broj,SOKOLAC,Oba spola,0-4,508
2013,Broj,SOKOLAC,M,0-4,266
2013,Broj,SOKOLAC,Ž,0-4,242
2013,Broj,TRNOVO,Oba spola,0-4,62
2013,Broj,TRNOVO,M,0-4,26
2013,Broj,TRNOVO,Ž,0-4,36
2013,Broj,JEZERO,Oba spola,0-4,39
2013,Broj,JEZERO,M,0-4,20
2013,Broj,JEZERO,Ž,0-4,19
2013,Broj,KALINOVIK,Oba spola,0-4,50
2013,Broj,KALINOVIK,M,0-4,25
2013,Broj,KALINOVIK,Ž,0-4,25
2013,Broj,KNEZEVO,Oba spola,0-4,408
2013,Broj,KNEZEVO,M,0-4,215
2013,Broj,KNEZEVO,Ž,0-4,193
2013,Broj,KOSTAJNICA,Oba spola,0-4,213
2013,Broj,KOSTAJNICA,M,0-4,98
2013,Broj,KOSTAJNICA,Ž,0-4,115
2013,Broj,KOTOR VAROS,Oba spola,0-4,901
2013,Broj,KOTOR VAROS,M,0-4,466
2013,Broj,KOTOR VAROS,Ž,0-4,435
2013,Broj,KOZARSKA DUBICA,Oba spola,0-4,774
2013,Broj,KOZARSKA DUBICA,M,0-4,389
2013,Broj,KOZARSKA DUBICA,Ž,0-4,385
2013,Broj,KRUPA NA UNI,Oba spola,0-4,50
2013,Broj,KRUPA NA UNI,M,0-4,26
2013,Broj,KRUPA NA UNI,Ž,0-4,24
2013,Broj,KUPRES,Oba spola,0-4,6
2013,Broj,KUPRES,M,0-4,5
2013,Broj,KUPRES,Ž,0-4,1
2013,Broj,LAKTASI,Oba spola,0-4,1679
2013,Broj,LAKTASI,M,0-4,854
2013,Broj,LAKTASI,Ž,0-4,825
2013,Broj,LOPARE,Oba spola,0-4,492
2013,Broj,LOPARE,M,0-4,244
2013,Broj,LOPARE,Ž,0-4,248
2013,Broj,LJUBINJE,Oba spola,0-4,150
2013,Broj,LJUBINJE,M,0-4,72
2013,Broj,LJUBINJE,Ž,0-4,78
2013,Broj,MILICI,Oba spola,0-4,462
2013,Broj,MILICI,M,0-4,227
2013,Broj,MILICI,Ž,0-4,235
2013,Broj,MODRICA,Oba spola,0-4,971
2013,Broj,MODRICA,M,0-4,499
2013,Broj,MODRICA,Ž,0-4,472
2013,Broj,MRKONJIC GRAD,Oba spola,0-4,671
2013,Broj,MRKONJIC GRAD,M,0-4,340
2013,Broj,MRKONJIC GRAD,Ž,0-4,331
2013,Broj,NEVESINJE,Oba spola,0-4,559
2013,Broj,NEVESINJE,M,0-4,299
2013,Broj,NEVESINJE,Ž,0-4,260
2013,Broj,NOVI GRAD,Oba spola,0-4,935
2013,Broj,NOVI GRAD,M,0-4,476
2013,Broj,NOVI GRAD,Ž,0-4,459
2013,Broj,NOVO GORAZDE,Oba spola,0-4,95
2013,Broj,NOVO GORAZDE,M,0-4,50
2013,Broj,NOVO GORAZDE,Ž,0-4,45
2013,Broj,OSMACI,Oba spola,0-4,261
2013,Broj,OSMACI,M,0-4,139
2013,Broj,OSMACI,Ž,0-4,122
2013,Broj,OSTRA LUKA,Oba spola,0-4,100
2013,Broj,OSTRA LUKA,M,0-4,53
2013,Broj,OSTRA LUKA,Ž,0-4,47
2013,Broj,PELAGICEVO,Oba spola,0-4,116
2013,Broj,PELAGICEVO,M,0-4,57
2013,Broj,PELAGICEVO,Ž,0-4,59
