Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,REPUBLIKA SRPSKA,Oba spola,Ukupno,408825.0
2013,Broj,BANJA LUKA,M,Ukupno,65010.0
2013,Broj,BERKOVICI,Ž,Ukupno,636.0
2013,Broj,BIJELJINA,Oba spola,Ukupno,34309.0
2013,Broj,BILECA,M,Ukupno,3307.0
2013,Broj,BRATUNAC,Ž,Ukupno,5945.0
2013,Broj,BROD,Oba spola,Ukupno,5599.0
2013,Broj,VISEGRAD,M,Ukupno,3966.0
2013,Broj,VLASENICA,Ž,Ukupno,3712.0
2013,Broj,VUKOSAVLJE,Oba spola,Ukupno,1537.0
2013,Broj,GACKO,M,Ukupno,2766.0
2013,Broj,GRADISKA,Ž,Ukupno,16939.0
2013,Broj,DERVENTA,Oba spola,Ukupno,9345.0
2013,Broj,DOBOJ,M,Ukupno,25447.0
2013,Broj,DONJI ZABAR,Ž,Ukupno,1191.0
2013,Broj,ZVORNIK,Oba spola,Ukupno,17690.0
2013,Broj,ISTOCNA ILIDZA,M,Ukupno,4981.0
2013,Broj,ISTOCNI DRVAR,Ž,Ukupno,38.0
2013,Broj,ISTOCNI MOSTAR,Oba spola,Ukupno,83.0
2013,Broj,ISTOCNI STARI GRAD,M,Ukupno,438.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,Ukupno,3819.0
2013,Broj,JEZERO,Oba spola,Ukupno,365.0
2013,Broj,KALINOVIK,M,Ukupno,783.0
2013,Broj,KNEZEVO,Ž,Ukupno,3168.0
2013,Broj,KOZARSKA DUBICA,Oba spola,Ukupno,7492.0
2013,Broj,KOSTAJNICA,M,Ukupno,1896.0
2013,Broj,KOTOR VAROS,Ž,Ukupno,5863.0
2013,Broj,KRUPA NA UNI,Oba spola,Ukupno,543.0
2013,Broj,KUPRES,M,Ukupno,128.0
2013,Broj,LAKTASI,Ž,Ukupno,11293.0
2013,Broj,LOPARE,Oba spola,Ukupno,5081.0
2013,Broj,LJUBINJE,M,Ukupno,1077.0
2013,Broj,MILICI,Ž,Ukupno,3579.0
2013,Broj,MODRICA,Oba spola,Ukupno,8553.0
2013,Broj,MRKONJIC GRAD,M,Ukupno,6104.0
2013,Broj,NEVESINJE,Ž,Ukupno,3985.0
2013,Broj,NOVI GRAD,Oba spola,Ukupno,8792.0
2013,Broj,NOVO GORAZDE,M,Ukupno,1078.0
2013,Broj,OSMACI,Ž,Ukupno,1675.0
2013,Broj,OSTRA LUKA,Oba spola,Ukupno,971.0
2013,Broj,PALE,M,Ukupno,7158.0
2013,Broj,PELAGICEVO,Ž,Ukupno,1787.0
2013,Broj,PETROVAC,Oba spola,Ukupno,130.0
2013,Broj,PETROVO,M,Ukupno,2532.0
2013,Broj,PRIJEDOR,Ž,Ukupno,27961.0
2013,Broj,PRNJAVOR,Oba spola,Ukupno,12166.0
2013,Broj,RIBNIK,M,Ukupno,2252.0
2013,Broj,ROGATICA,Ž,Ukupno,3871.0
2013,Broj,RUDO,Oba spola,Ukupno,2847.0
2013,Broj,SOKOLAC,M,Ukupno,4276.0
2013,Broj,SRBAC,Ž,Ukupno,6157.0
2013,Broj,SREBRENICA,Oba spola,Ukupno,3792.0
2013,Broj,TESLIC,M,Ukupno,13255.0
2013,Broj,TREBINJE,Ž,Ukupno,9394.0
2013,Broj,TRNOVO,Oba spola,Ukupno,800.0
2013,Broj,UGLJEVIK,M,Ukupno,4867.0
2013,Broj,FOCA,Ž,Ukupno,6544.0
2013,Broj,HAN PIJESAK,Oba spola,Ukupno,1390.0
2013,Broj,CAJNICE,M,Ukupno,1662.0
2013,Broj,CELINAC,Ž,Ukupno,5009.0
2013,Broj,SAMAC,Oba spola,Ukupno,5609.0
2013,Broj,SEKOVICI,M,Ukupno,2517.0
2013,Broj,SIPOVO,Ž,Ukupno,3665.0
2013,Broj,REPUBLIKA SRPSKA,Oba spola,one_member,91300.0
2013,Broj,BANJA LUKA,M,one_member,13984.0
2013,Broj,BERKOVICI,Ž,one_member,129.0
2013,Broj,BIJELJINA,Oba spola,one_member,6984.0
2013,Broj,BILECA,M,one_member,629.0
2013,Broj,BRATUNAC,Ž,one_member,1155.0
2013,Broj,BROD,Oba spola,one_member,1360.0
2013,Broj,VISEGRAD,M,one_member,1132.0
2013,Broj,VLASENICA,Ž,one_member,768.0
2013,Broj,VUKOSAVLJE,Oba spola,one_member,348.0
2013,Broj,GACKO,M,one_member,522.0
2013,Broj,GRADISKA,Ž,one_member,3782.0
2013,Broj,DERVENTA,Oba spola,one_member,2270.0
2013,Broj,DOBOJ,M,one_member,6230.0
2013,Broj,DONJI ZABAR,Ž,one_member,271.0
2013,Broj,ZVORNIK,Oba spola,one_member,3323.0
2013,Broj,ISTOCNA ILIDZA,M,one_member,949.0
2013,Broj,ISTOCNI DRVAR,Ž,one_member,24.0
2013,Broj,ISTOCNI MOSTAR,Oba spola,one_member,29.0
2013,Broj,ISTOCNI STARI GRAD,M,one_member,123.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,one_member,904.0
2013,Broj,JEZERO,Oba spola,one_member,86.0
2013,Broj,KALINOVIK,M,one_member,245.0
2013,Broj,KNEZEVO,Ž,one_member,611.0
2013,Broj,KOZARSKA DUBICA,Oba spola,one_member,1898.0
2013,Broj,KOSTAJNICA,M,one_member,384.0
2013,Broj,KOTOR VAROS,Ž,one_member,1089.0
2013,Broj,KRUPA NA UNI,Oba spola,one_member,159.0
2013,Broj,KUPRES,M,one_member,44.0
2013,Broj,LAKTASI,Ž,one_member,2093.0
2013,Broj,LOPARE,Oba spola,one_member,1256.0
2013,Broj,LJUBINJE,M,one_member,196.0
2013,Broj,MILICI,Ž,one_member,789.0
2013,Broj,MODRICA,Oba spola,one_member,1983.0
2013,Broj,MRKONJIC GRAD,M,one_member,1538.0
2013,Broj,NEVESINJE,Ž,one_member,766.0
2013,Broj,NOVI GRAD,Oba spola,one_member,1965.0
2013,Broj,NOVO GORAZDE,M,one_member,270.0
2013,Broj,OSMACI,Ž,one_member,254.0
2013,Broj,OSTRA LUKA,Oba spola,one_member,277.0
2013,Broj,PALE,M,one_member,1515.0
2013,Broj,PELAGICEVO,Ž,one_member,640.0
2013,Broj,PETROVAC,Oba spola,one_member,34.0
2013,Broj,PETROVO,M,one_member,726.0
