Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,Republika Srpska,Oba spola,Ukupno,1062861.0
2013,Broj,Republika Srpska,M,Ukupno,516703.0
2013,Broj,Republika Srpska,Ž,Ukupno,546158.0
2013,Broj,Grad Banja Luka,Oba spola,Ukupno,162106.0
2013,Broj,Grad Banja Luka,M,Ukupno,77356.0
2013,Broj,Grad Banja Luka,Ž,Ukupno,84750.0
2013,Broj,Berkovići,Oba spola,Ukupno,1824.0
2013,Broj,Berkovići,M,Ukupno,916.0
2013,Broj,Berkovići,Ž,Ukupno,908.0
2013,Broj,Grad Bijeljina,Oba spola,Ukupno,94007.0
2013,Broj,Grad Bijeljina,M,Ukupno,45652.0
2013,Broj,Grad Bijeljina,Ž,Ukupno,48355.0
2013,Broj,Bileća,Oba spola,Ukupno,9644.0
2013,Broj,Bileća,M,Ukupno,4830.0
2013,Broj,Bileća,Ž,Ukupno,4814.0
2013,Broj,Bratunac,Oba spola,Ukupno,16773.0
2013,Broj,Bratunac,M,Ukupno,8235.0
2013,Broj,Bratunac,Ž,Ukupno,8538.0
2013,Broj,Brod,Oba spola,Ukupno,14277.0
2013,Broj,Brod,M,Ukupno,6911.0
2013,Broj,Brod,Ž,Ukupno,7366.0
2013,Broj,Višegrad,Oba spola,Ukupno,9381.0
2013,Broj,Višegrad,M,Ukupno,4478.0
2013,Broj,Višegrad,Ž,Ukupno,4903.0
2013,Broj,Vlasenica,Oba spola,Ukupno,9649.0
2013,Broj,Vlasenica,M,Ukupno,4669.0
2013,Broj,Vlasenica,Ž,Ukupno,4980.0
2013,Broj,Vukosavlje,Oba spola,Ukupno,3950.0
2013,Broj,Vukosavlje,M,Ukupno,1975.0
2013,Broj,Vukosavlje,Ž,Ukupno,1975.0
2013,Broj,Gacko,Oba spola,Ukupno,7864.0
2013,Broj,Gacko,M,Ukupno,3987.0
2013,Broj,Gacko,Ž,Ukupno,3877.0
2013,Broj,Grad Gradiška,Oba spola,Ukupno,44972.0
2013,Broj,Grad Gradiška,M,Ukupno,21810.0
2013,Broj,Grad Gradiška,Ž,Ukupno,23162.0
2013,Broj,Grad Derventa,Oba spola,Ukupno,23629.0
2013,Broj,Grad Derventa,M,Ukupno,11467.0
2013,Broj,Grad Derventa,Ž,Ukupno,12162.0
2013,Broj,Grad Doboj,Oba spola,Ukupno,62056.0
2013,Broj,Grad Doboj,M,Ukupno,29964.0
2013,Broj,Grad Doboj,Ž,Ukupno,32092.0
2013,Broj,Donji Žabar,Oba spola,Ukupno,3352.0
2013,Broj,Donji Žabar,M,Ukupno,1685.0
2013,Broj,Donji Žabar,Ž,Ukupno,1667.0
2013,Broj,Grad Zvornik,Oba spola,Ukupno,48535.0
2013,Broj,Grad Zvornik,M,Ukupno,23809.0
2013,Broj,Grad Zvornik,Ž,Ukupno,24726.0
2013,Broj,Istočna Ilidža,Oba spola,Ukupno,13131.0
2013,Broj,Istočna Ilidža,M,Ukupno,6250.0
2013,Broj,Istočna Ilidža,Ž,Ukupno,6881.0
2013,Broj,Istočni Drvar,Oba spola,Ukupno,65.0
2013,Broj,Istočni Drvar,M,Ukupno,43.0
2013,Broj,Istočni Drvar,Ž,Ukupno,22.0
2013,Broj,Istočni Mostar,Oba spola,Ukupno,226.0
2013,Broj,Istočni Mostar,M,Ukupno,128.0
2013,Broj,Istočni Mostar,Ž,Ukupno,98.0
2013,Broj,Istočni Stari Grad,Oba spola,Ukupno,1033.0
2013,Broj,Istočni Stari Grad,M,Ukupno,505.0
2013,Broj,Istočni Stari Grad,Ž,Ukupno,528.0
2013,Broj,Istočno Novo Sarajevo,Oba spola,Ukupno,9302.0
2013,Broj,Istočno Novo Sarajevo,M,Ukupno,4402.0
2013,Broj,Istočno Novo Sarajevo,Ž,Ukupno,4900.0
2013,Broj,Jezero,Oba spola,Ukupno,951.0
2013,Broj,Jezero,M,Ukupno,492.0
2013,Broj,Jezero,Ž,Ukupno,459.0
2013,Broj,Kalinovik,Oba spola,Ukupno,1845.0
2013,Broj,Kalinovik,M,Ukupno,895.0
2013,Broj,Kalinovik,Ž,Ukupno,950.0
2013,Broj,Kneževo,Oba spola,Ukupno,8558.0
2013,Broj,Kneževo,M,Ukupno,4209.0
2013,Broj,Kneževo,Ž,Ukupno,4349.0
2013,Broj,Kozarska Dubica,Oba spola,Ukupno,19095.0
2013,Broj,Kozarska Dubica,M,Ukupno,9296.0
2013,Broj,Kozarska Dubica,Ž,Ukupno,9799.0
2013,Broj,Kostajnica,Oba spola,Ukupno,5201.0
2013,Broj,Kostajnica,M,Ukupno,2553.0
2013,Broj,Kostajnica,Ž,Ukupno,2648.0
2013,Broj,Kotor Varoš,Oba spola,Ukupno,16533.0
2013,Broj,Kotor Varoš,M,Ukupno,8069.0
2013,Broj,Kotor Varoš,Ž,Ukupno,8464.0
2013,Broj,Krupa Na Uni,Oba spola,Ukupno,1456.0
2013,Broj,Krupa Na Uni,M,Ukupno,786.0
2013,Broj,Krupa Na Uni,Ž,Ukupno,670.0
2013,Broj,Kupres,Oba spola,Ukupno,280.0
2013,Broj,Kupres,M,Ukupno,147.0
2013,Broj,Kupres,Ž,Ukupno,133.0
2013,Broj,Laktaši,Oba spola,Ukupno,30705.0
2013,Broj,Laktaši,M,Ukupno,15132.0
2013,Broj,Laktaši,Ž,Ukupno,15573.0
2013,Broj,Lopare,Oba spola,Ukupno,13599.0
2013,Broj,Lopare,M,Ukupno,6831.0
2013,Broj,Lopare,Ž,Ukupno,6768.0
2013,Broj,Ljubinje,Oba spola,Ukupno,3046.0
2013,Broj,Ljubinje,M,Ukupno,1502.0
2013,Broj,Ljubinje,Ž,Ukupno,1544.0
2013,Broj,Milići,Oba spola,Ukupno,9487.0
2013,Broj,Milići,M,Ukupno,4761.0
2013,Broj,Milići,Ž,Ukupno,4726.0
2013,Broj,Modriča,Oba spola,Ukupno,22419.0
2013,Broj,Modriča,M,Ukupno,10910.0
2013,Broj,Modriča,Ž,Ukupno,11509.0
2013,Broj,Mrkonjić Grad,Oba spola,Ukupno,14541.0
2013,Broj,Mrkonjić Grad,M,Ukupno,6944.0
2013,Broj,Mrkonjić Grad,Ž,Ukupno,7597.0
2013,Broj,Nevesinje,Oba spola,Ukupno,11346.0
2013,Broj,Nevesinje,M,Ukupno,5615.0
2013,Broj,Nevesinje,Ž,Ukupno,5731.0
2013,Broj,Novi Grad,Oba spola,Ukupno,23292.0
2013,Broj,Novi Grad,M,Ukupno,11576.0
2013,Broj,Novi Grad,Ž,Ukupno,11716.0
2013,Broj,Novo Goražde,Oba spola,Ukupno,2718.0
2013,Broj,Novo Goražde,M,Ukupno,1408.0
2013,Broj,Novo Goražde,Ž,Ukupno,1310.0
2013,Broj,Osmaci,Oba spola,Ukupno,5021.0
2013,Broj,Osmaci,M,Ukupno,2498.0
2013,Broj,Osmaci,Ž,Ukupno,2523.0
2013,Broj,Oštra Luka,Oba spola,Ukupno,2468.0
2013,Broj,Oštra Luka,M,Ukupno,1264.0
2013,Broj,Oštra Luka,Ž,Ukupno,1204.0
2013,Broj,Pale,Oba spola,Ukupno,18603.0
2013,Broj,Pale,M,Ukupno,8848.0
2013,Broj,Pale,Ž,Ukupno,9755.0
2013,Broj,Pelagićevo,Oba spola,Ukupno,4076.0
2013,Broj,Pelagićevo,M,Ukupno,2009.0
2013,Broj,Pelagićevo,Ž,Ukupno,2067.0
