Year,UNIT_MEASURE,Teritory,Spol,Education,Value
2013,Broj,REPUBLIKA SRPSKA,Oba spola,Ukupno,1005535
2013,Broj,REPUBLIKA SRPSKA,M,Ukupno,487292
2013,Broj,REPUBLIKA SRPSKA,Ž,Ukupno,518243
2013,Broj,BANJA LUKA,Oba spola,Ukupno,153659
2013,Broj,BANJA LUKA,M,Ukupno,73026
2013,Broj,BANJA LUKA,Ž,Ukupno,80633
2013,Broj,BERKOVICI,Oba spola,Ukupno,1684
2013,Broj,BERKOVICI,M,Ukupno,845
2013,Broj,BERKOVICI,Ž,Ukupno,839
2013,Broj,BIJELJINA,Oba spola,Ukupno,88664
2013,Broj,BIJELJINA,M,Ukupno,42935
2013,Broj,BIJELJINA,Ž,Ukupno,45729
2013,Broj,BILECA,Oba spola,Ukupno,9036
2013,Broj,BILECA,M,Ukupno,4536
2013,Broj,BILECA,Ž,Ukupno,4500
2013,Broj,BRATUNAC,Oba spola,Ukupno,15912
2013,Broj,BRATUNAC,M,Ukupno,7785
2013,Broj,BRATUNAC,Ž,Ukupno,8127
2013,Broj,BROD,Oba spola,Ukupno,13506
2013,Broj,BROD,M,Ukupno,6510
2013,Broj,BROD,Ž,Ukupno,6996
2013,Broj,VISEGRAD,Oba spola,Ukupno,8950
2013,Broj,VISEGRAD,M,Ukupno,4259
2013,Broj,VISEGRAD,Ž,Ukupno,4691
2013,Broj,VLASENICA,Oba spola,Ukupno,9131
2013,Broj,VLASENICA,M,Ukupno,4393
2013,Broj,VLASENICA,Ž,Ukupno,4738
2013,Broj,VUKOSAVLJE,Oba spola,Ukupno,3701
2013,Broj,VUKOSAVLJE,M,Ukupno,1852
2013,Broj,VUKOSAVLJE,Ž,Ukupno,1849
2013,Broj,GACKO,Oba spola,Ukupno,7337
2013,Broj,GACKO,M,Ukupno,3691
2013,Broj,GACKO,Ž,Ukupno,3646
2013,Broj,GRADISKA,Oba spola,Ukupno,42640
2013,Broj,GRADISKA,M,Ukupno,20635
2013,Broj,GRADISKA,Ž,Ukupno,22005
2013,Broj,DERVENTA,Oba spola,Ukupno,22345
2013,Broj,DERVENTA,M,Ukupno,10830
2013,Broj,DERVENTA,Ž,Ukupno,11515
2013,Broj,DOBOJ,Oba spola,Ukupno,58805
2013,Broj,DOBOJ,M,Ukupno,28207
2013,Broj,DOBOJ,Ž,Ukupno,30598
2013,Broj,DONJI ZABAR,Oba spola,Ukupno,3139
2013,Broj,DONJI ZABAR,M,Ukupno,1578
2013,Broj,DONJI ZABAR,Ž,Ukupno,1561
2013,Broj,ZVORNIK,Oba spola,Ukupno,45697
2013,Broj,ZVORNIK,M,Ukupno,22384
2013,Broj,ZVORNIK,Ž,Ukupno,23313
2013,Broj,ISTOCNA ILIDZA,Oba spola,Ukupno,12477
2013,Broj,ISTOCNA ILIDZA,M,Ukupno,5939
