Year,UNIT_MEASURE,TYPE_OF_USERS,Value
2016,Broj,Ukupno,36
2017,Broj,Ukupno,38
2018,Broj,Ukupno,52
2019,Broj,Ukupno,56
2020,Broj,Ukupno,61
2016,Broj,institutions_for_children_and_youth,4
2017,Broj,institutions_for_children_and_youth,4
2018,Broj,institutions_for_children_and_youth,4
2019,Broj,institutions_for_children_and_youth,4
2020,Broj,institutions_for_children_and_youth,4
2016,Broj,adult_facilities,32
2017,Broj,adult_facilities,34
2018,Broj,adult_facilities,48
2019,Broj,adult_facilities,52
2020,Broj,adult_facilities,57
