Year,UNIT_MEASURE,type_of_institution,Value
2011,Broj,_T,227
2012,Broj,_T,246
2013,Broj,_T,261
2014,Broj,_T,292
2015,Broj,_T,320
2016,Broj,_T,335
2017,Broj,_T,335
2018,Broj,_T,362
2019,Broj,_T,390
2020,Broj,_T,399
2011,Broj,public,176
2012,Broj,public,180
2013,Broj,public,180
2014,Broj,public,181
2015,Broj,public,192
2016,Broj,public,198
2017,Broj,public,200
2018,Broj,public,205
2019,Broj,public,209
2020,Broj,public,215
2011,Broj,private,51
2012,Broj,private,66
2013,Broj,private,81
2014,Broj,private,111
2015,Broj,private,128
2016,Broj,private,137
2017,Broj,private,135
2018,Broj,private,157
2019,Broj,private,181
2020,Broj,private,184
