Year,UNIT_MEASURE,TYPE_OF_EDUCATION,Spol,Value
2016,Broj,masters_of_science,Oba spola,36
2016,Broj,masters_of_science,Ž,20
2016,Broj,masters_of_science,M,16
2016,Broj,masters,Oba spola,261
2016,Broj,masters,Ž,105
2016,Broj,masters,M,156
2016,Broj,specialists,Oba spola,87
2016,Broj,specialists,Ž,31
2016,Broj,specialists,M,56
2016,Broj,doctors,Oba spola,64
2016,Broj,doctors,Ž,34
2016,Broj,doctors,M,30
2017,Broj,masters_of_science,Oba spola,39
2017,Broj,masters_of_science,Ž,17
2017,Broj,masters_of_science,M,22
2017,Broj,masters,Oba spola,332
2017,Broj,masters,Ž,136
2017,Broj,masters,M,196
2017,Broj,specialists,Oba spola,95
2017,Broj,specialists,Ž,35
2017,Broj,specialists,M,60
2017,Broj,doctors,Oba spola,42
2017,Broj,doctors,Ž,26
2017,Broj,doctors,M,16
2018,Broj,masters_of_science,Oba spola,41
2018,Broj,masters_of_science,Ž,21
2018,Broj,masters_of_science,M,20
2018,Broj,masters,Oba spola,378
2018,Broj,masters,Ž,152
2018,Broj,masters,M,226
2018,Broj,specialists,Oba spola,111
2018,Broj,specialists,Ž,35
2018,Broj,specialists,M,76
2018,Broj,doctors,Oba spola,43
2018,Broj,doctors,Ž,28
2018,Broj,doctors,M,15
2019,Broj,masters_of_science,Oba spola,42
2019,Broj,masters_of_science,Ž,22
2019,Broj,masters_of_science,M,20
2019,Broj,masters,Oba spola,383
2019,Broj,masters,Ž,182
2019,Broj,masters,M,201
2019,Broj,specialists,Oba spola,109
2019,Broj,specialists,Ž,48
2019,Broj,specialists,M,61
2019,Broj,doctors,Oba spola,54
2019,Broj,doctors,Ž,37
2019,Broj,doctors,M,17
2020,Broj,masters_of_science,Oba spola,72
2020,Broj,masters_of_science,Ž,43
2020,Broj,masters_of_science,M,29
2020,Broj,masters,Oba spola,420
2020,Broj,masters,Ž,200
2020,Broj,masters,M,220
2020,Broj,specialists,Oba spola,101
2020,Broj,specialists,Ž,32
2020,Broj,specialists,M,69
2020,Broj,doctors,Oba spola,47
2020,Broj,doctors,Ž,27
2020,Broj,doctors,M,20
