Year,UNIT_MEASURE,scientific_field,Spol,Value
2017,Broj,Ukupno,M,252
2017,Broj,"social_sciences,_journalism_and_information",M,45
2017,Broj,humanities_and_arts,M,49
2017,Broj,information_and_communication_technologies,M,14
2017,Broj,"engineering,_production_and_construction",M,17
2017,Broj,education,M,14
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,10
2017,Broj,"business,_administration_and_law",M,48
2017,Broj,"natural_sciences,_mathematics_and_statistic",M,6
2017,Broj,servies,M,1
2017,Broj,health_and_social_protection,M,48
2017,Broj,Ukupno,Ž,282
2017,Broj,"social_sciences,_journalism_and_information",Ž,55
2017,Broj,humanities_and_arts,Ž,51
2017,Broj,information_and_communication_technologies,Ž,3
2017,Broj,"engineering,_production_and_construction",Ž,15
2017,Broj,education,Ž,37
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ž,10
2017,Broj,"business,_administration_and_law",Ž,32
2017,Broj,"natural_sciences,_mathematics_and_statistic",Ž,9
2017,Broj,servies,Ž,0
2017,Broj,health_and_social_protection,Ž,70
2017,Broj,Ukupno,Oba spola,534
2017,Broj,"social_sciences,_journalism_and_information",Oba spola,100
2017,Broj,humanities_and_arts,Oba spola,100
2017,Broj,information_and_communication_technologies,Oba spola,17
2017,Broj,"engineering,_production_and_construction",Oba spola,32
2017,Broj,education,Oba spola,51
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Oba spola,20
2017,Broj,"business,_administration_and_law",Oba spola,80
2017,Broj,"natural_sciences,_mathematics_and_statistic",Oba spola,15
2017,Broj,servies,Oba spola,1
2017,Broj,health_and_social_protection,Oba spola,118
2018,Broj,Ukupno,M,322
2018,Broj,"social_sciences,_journalism_and_information",M,64
2018,Broj,humanities_and_arts,M,46
2018,Broj,information_and_communication_technologies,M,5
2018,Broj,"engineering,_production_and_construction",M,17
2018,Broj,education,M,35
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",M,13
2018,Broj,"business,_administration_and_law",M,36
2018,Broj,"natural_sciences,_mathematics_and_statistic",M,18
2018,Broj,servies,M,3
2018,Broj,health_and_social_protection,M,85
2018,Broj,Ukupno,Ž,208
2018,Broj,"social_sciences,_journalism_and_information",Ž,37
2018,Broj,humanities_and_arts,Ž,30
2018,Broj,information_and_communication_technologies,Ž,17
2018,Broj,"engineering,_production_and_construction",Ž,16
2018,Broj,education,Ž,20
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",Ž,14
2018,Broj,"business,_administration_and_law",Ž,31
