Year,UNIT_MEASURE,Pol,Vitalna statistika,Value
2003,Broj,Ukupno,Živorođeni,10537
2004,Broj,Ukupno,Živorođeni,10628
2005,Broj,Ukupno,Živorođeni,10322
2006,Broj,Ukupno,Živorođeni,10524
2007,Broj,Ukupno,Živorođeni,10110
2008,Broj,Ukupno,Živorođeni,10198
2009,Broj,Ukupno,Živorođeni,10603
2010,Broj,Ukupno,Živorođeni,10147
2011,Broj,Ukupno,Živorođeni,9561
2012,Broj,Ukupno,Živorođeni,9978
2013,Broj,Ukupno,Živorođeni,9510
2014,Broj,Ukupno,Živorođeni,9335
2015,Broj,Ukupno,Živorođeni,9357
2016,Broj,Ukupno,Živorođeni,9452
2017,Broj,Ukupno,Živorođeni,9339
2018,Broj,Ukupno,Živorođeni,9568
2019,Broj,Ukupno,Živorođeni,9274
2020,Broj,Ukupno,Živorođeni,9161
2021,Broj,Ukupno,Živorođeni,9274
2022,Broj,Ukupno,Živorođeni,9118
2023,Broj,Ukupno,Živorođeni,9309
2003,Broj,M,Živorođeni,5450
2004,Broj,M,Živorođeni,5515
2005,Broj,M,Živorođeni,5302
2006,Broj,M,Živorođeni,5351
2007,Broj,M,Živorođeni,5203
2008,Broj,M,Živorođeni,5262
2009,Broj,M,Živorođeni,5577
2010,Broj,M,Živorođeni,5184
2011,Broj,M,Živorođeni,5008
2012,Broj,M,Živorođeni,5089
2013,Broj,M,Živorođeni,4907
2014,Broj,M,Živorođeni,4846
2015,Broj,M,Živorođeni,4842
2016,Broj,M,Živorođeni,4931
2017,Broj,M,Živorođeni,4886
2018,Broj,M,Živorođeni,5001
2019,Broj,M,Živorođeni,4907
2020,Broj,M,Živorođeni,4792
2021,Broj,M,Živorođeni,4754
2022,Broj,M,Živorođeni,4648
2023,Broj,M,Živorođeni,4849
2003,Broj,Ž,Živorođeni,5087
2004,Broj,Ž,Živorođeni,5113
2005,Broj,Ž,Živorođeni,5020
2006,Broj,Ž,Živorođeni,5173
2007,Broj,Ž,Živorođeni,4907
2008,Broj,Ž,Živorođeni,4936
2009,Broj,Ž,Živorođeni,5026
2010,Broj,Ž,Živorođeni,4963
2011,Broj,Ž,Živorođeni,4553
2012,Broj,Ž,Živorođeni,4889
2013,Broj,Ž,Živorođeni,4603
2014,Broj,Ž,Živorođeni,4489
2015,Broj,Ž,Živorođeni,4515
2016,Broj,Ž,Živorođeni,4521
2017,Broj,Ž,Živorođeni,4453
2018,Broj,Ž,Živorođeni,4567
2019,Broj,Ž,Živorođeni,4367
2020,Broj,Ž,Živorođeni,4369
2021,Broj,Ž,Živorođeni,4520
2022,Broj,Ž,Živorođeni,4470
2023,Broj,Ž,Živorođeni,4460
2003,Broj,Ukupno,Umrli,12988
2004,Broj,Ukupno,Umrli,13082
2005,Broj,Ukupno,Umrli,13802
2006,Broj,Ukupno,Umrli,13232
2007,Broj,Ukupno,Umrli,14146
2008,Broj,Ukupno,Umrli,13501
2009,Broj,Ukupno,Umrli,13775
2010,Broj,Ukupno,Umrli,13517
2011,Broj,Ukupno,Umrli,13658
2012,Broj,Ukupno,Umrli,13796
2013,Broj,Ukupno,Umrli,13978
2014,Broj,Ukupno,Umrli,14409
2015,Broj,Ukupno,Umrli,15059
2016,Broj,Ukupno,Umrli,13970
2017,Broj,Ukupno,Umrli,14663
2018,Broj,Ukupno,Umrli,14763
2019,Broj,Ukupno,Umrli,15081
2020,Broj,Ukupno,Umrli,16582
2021,Broj,Ukupno,Umrli,19002
2022,Broj,Ukupno,Umrli,16263
2023,Broj,Ukupno,Umrli,13508
2003,Broj,M,Umrli,6804
2004,Broj,M,Umrli,6735
2005,Broj,M,Umrli,7239
2006,Broj,M,Umrli,6904
2007,Broj,M,Umrli,7302
2008,Broj,M,Umrli,7058
2009,Broj,M,Umrli,7099
2010,Broj,M,Umrli,6935
2011,Broj,M,Umrli,7001
2012,Broj,M,Umrli,7064
2013,Broj,M,Umrli,7237
2014,Broj,M,Umrli,7386
2015,Broj,M,Umrli,7640
2016,Broj,M,Umrli,7198
2017,Broj,M,Umrli,7363
2018,Broj,M,Umrli,7449
2019,Broj,M,Umrli,7753
2020,Broj,M,Umrli,8613
2021,Broj,M,Umrli,9943
2022,Broj,M,Umrli,8469
2023,Broj,M,Umrli,6978
2003,Broj,Ž,Umrli,6184
2004,Broj,Ž,Umrli,6347
2005,Broj,Ž,Umrli,6563
2006,Broj,Ž,Umrli,6328
2007,Broj,Ž,Umrli,6844
2008,Broj,Ž,Umrli,6443
2009,Broj,Ž,Umrli,6676
2010,Broj,Ž,Umrli,6582
2011,Broj,Ž,Umrli,6657
2012,Broj,Ž,Umrli,6732
2013,Broj,Ž,Umrli,6741
2014,Broj,Ž,Umrli,7023
2015,Broj,Ž,Umrli,7419
2016,Broj,Ž,Umrli,6772
2017,Broj,Ž,Umrli,7300
2018,Broj,Ž,Umrli,7314
2019,Broj,Ž,Umrli,7328
2020,Broj,Ž,Umrli,7969
2021,Broj,Ž,Umrli,9059
2022,Broj,Ž,Umrli,7794
2023,Broj,Ž,Umrli,6530
2003,Broj,Ukupno,Prirodni priraštaj,-2451
2004,Broj,Ukupno,Prirodni priraštaj,-2454
2005,Broj,Ukupno,Prirodni priraštaj,-3480
2006,Broj,Ukupno,Prirodni priraštaj,-2708
2007,Broj,Ukupno,Prirodni priraštaj,-4036
2008,Broj,Ukupno,Prirodni priraštaj,-3303
