Year,UNIT_MEASURE,Value
2003,Stopa nataliteta na 1.000 stanovnika,8.8
2004,Stopa nataliteta na 1.000 stanovnika,8.9
2005,Stopa nataliteta na 1.000 stanovnika,8.7
2006,Stopa nataliteta na 1.000 stanovnika,8.9
2007,Stopa nataliteta na 1.000 stanovnika,8.6
2008,Stopa nataliteta na 1.000 stanovnika,8.6
2009,Stopa nataliteta na 1.000 stanovnika,9.0
2010,Stopa nataliteta na 1.000 stanovnika,8.6
2011,Stopa nataliteta na 1.000 stanovnika,8.1
2012,Stopa nataliteta na 1.000 stanovnika,8.5
2013,Stopa nataliteta na 1.000 stanovnika,8.1
2014,Stopa nataliteta na 1.000 stanovnika,8.0
2015,Stopa nataliteta na 1.000 stanovnika,8.1
2016,Stopa nataliteta na 1.000 stanovnika,8.2
2017,Stopa nataliteta na 1.000 stanovnika,8.1
2018,Stopa nataliteta na 1.000 stanovnika,8.3
2019,Stopa nataliteta na 1.000 stanovnika,8.1
2020,Stopa nataliteta na 1.000 stanovnika,8.1
2021,Stopa nataliteta na 1.000 stanovnika,8.2
