Year,UNIT_MEASURE,Starosna dob,Value
1996,Broj djece po ženi 15-49,0-15,
1997,Broj djece po ženi 15-49,0-15,
1998,Broj djece po ženi 15-49,0-15,
1999,Broj djece po ženi 15-49,0-15,
2000,Broj djece po ženi 15-49,0-15,
2001,Broj djece po ženi 15-49,0-15,
2002,Broj djece po ženi 15-49,0-15,
2003,Broj djece po ženi 15-49,0-15,
2004,Broj djece po ženi 15-49,0-15,
2005,Broj djece po ženi 15-49,0-15,
2006,Broj djece po ženi 15-49,0-15,
2007,Broj djece po ženi 15-49,0-15,
2008,Broj djece po ženi 15-49,0-15,
2009,Broj djece po ženi 15-49,0-15,
2010,Broj djece po ženi 15-49,0-15,
2011,Broj djece po ženi 15-49,0-15,
2012,Broj djece po ženi 15-49,0-15,
2013,Broj djece po ženi 15-49,0-15,
2014,Broj djece po ženi 15-49,0-15,
2015,Broj djece po ženi 15-49,0-15,
2016,Broj djece po ženi 15-49,0-15,
2017,Broj djece po ženi 15-49,0-15,
2018,Broj djece po ženi 15-49,0-15,
2019,Broj djece po ženi 15-49,0-15,
1996,Broj djece po ženi 15-49,15-19,
1997,Broj djece po ženi 15-49,15-19,
1998,Broj djece po ženi 15-49,15-19,
1999,Broj djece po ženi 15-49,15-19,
2000,Broj djece po ženi 15-49,15-19,
2001,Broj djece po ženi 15-49,15-19,
2002,Broj djece po ženi 15-49,15-19,
2003,Broj djece po ženi 15-49,15-19,
2004,Broj djece po ženi 15-49,15-19,
2005,Broj djece po ženi 15-49,15-19,
2006,Broj djece po ženi 15-49,15-19,
2007,Broj djece po ženi 15-49,15-19,
2008,Broj djece po ženi 15-49,15-19,
2009,Broj djece po ženi 15-49,15-19,
2010,Broj djece po ženi 15-49,15-19,
2011,Broj djece po ženi 15-49,15-19,
2012,Broj djece po ženi 15-49,15-19,
2013,Broj djece po ženi 15-49,15-19,
2014,Broj djece po ženi 15-49,15-19,
2015,Broj djece po ženi 15-49,15-19,
2016,Broj djece po ženi 15-49,15-19,
2017,Broj djece po ženi 15-49,15-19,
2018,Broj djece po ženi 15-49,15-19,
2019,Broj djece po ženi 15-49,15-19,
1996,Broj djece po ženi 15-49,20-24,
1997,Broj djece po ženi 15-49,20-24,
1998,Broj djece po ženi 15-49,20-24,
1999,Broj djece po ženi 15-49,20-24,
2000,Broj djece po ženi 15-49,20-24,
2001,Broj djece po ženi 15-49,20-24,
2002,Broj djece po ženi 15-49,20-24,
2003,Broj djece po ženi 15-49,20-24,
2004,Broj djece po ženi 15-49,20-24,
2005,Broj djece po ženi 15-49,20-24,
2006,Broj djece po ženi 15-49,20-24,
2007,Broj djece po ženi 15-49,20-24,
2008,Broj djece po ženi 15-49,20-24,
2009,Broj djece po ženi 15-49,20-24,
2010,Broj djece po ženi 15-49,20-24,
2011,Broj djece po ženi 15-49,20-24,
2012,Broj djece po ženi 15-49,20-24,
2013,Broj djece po ženi 15-49,20-24,
2014,Broj djece po ženi 15-49,20-24,
2015,Broj djece po ženi 15-49,20-24,
2016,Broj djece po ženi 15-49,20-24,
2017,Broj djece po ženi 15-49,20-24,
2018,Broj djece po ženi 15-49,20-24,
2019,Broj djece po ženi 15-49,20-24,
1996,Broj djece po ženi 15-49,25-29,
1997,Broj djece po ženi 15-49,25-29,
1998,Broj djece po ženi 15-49,25-29,
1999,Broj djece po ženi 15-49,25-29,
2000,Broj djece po ženi 15-49,25-29,
2001,Broj djece po ženi 15-49,25-29,
2002,Broj djece po ženi 15-49,25-29,
2003,Broj djece po ženi 15-49,25-29,
2004,Broj djece po ženi 15-49,25-29,
2005,Broj djece po ženi 15-49,25-29,
2006,Broj djece po ženi 15-49,25-29,
2007,Broj djece po ženi 15-49,25-29,
2008,Broj djece po ženi 15-49,25-29,
2009,Broj djece po ženi 15-49,25-29,
2010,Broj djece po ženi 15-49,25-29,
2011,Broj djece po ženi 15-49,25-29,
2012,Broj djece po ženi 15-49,25-29,
2013,Broj djece po ženi 15-49,25-29,
2014,Broj djece po ženi 15-49,25-29,
2015,Broj djece po ženi 15-49,25-29,
2016,Broj djece po ženi 15-49,25-29,
2017,Broj djece po ženi 15-49,25-29,
2018,Broj djece po ženi 15-49,25-29,
2019,Broj djece po ženi 15-49,25-29,
1996,Broj djece po ženi 15-49,30-34,
1997,Broj djece po ženi 15-49,30-34,
1998,Broj djece po ženi 15-49,30-34,
1999,Broj djece po ženi 15-49,30-34,
2000,Broj djece po ženi 15-49,30-34,
2001,Broj djece po ženi 15-49,30-34,
2002,Broj djece po ženi 15-49,30-34,
2003,Broj djece po ženi 15-49,30-34,
2004,Broj djece po ženi 15-49,30-34,
2005,Broj djece po ženi 15-49,30-34,
2006,Broj djece po ženi 15-49,30-34,
2007,Broj djece po ženi 15-49,30-34,
2008,Broj djece po ženi 15-49,30-34,
2009,Broj djece po ženi 15-49,30-34,
2010,Broj djece po ženi 15-49,30-34,
2011,Broj djece po ženi 15-49,30-34,
2012,Broj djece po ženi 15-49,30-34,
2013,Broj djece po ženi 15-49,30-34,
2014,Broj djece po ženi 15-49,30-34,
2015,Broj djece po ženi 15-49,30-34,
2016,Broj djece po ženi 15-49,30-34,
2017,Broj djece po ženi 15-49,30-34,
2018,Broj djece po ženi 15-49,30-34,
2019,Broj djece po ženi 15-49,30-34,
1996,Broj djece po ženi 15-49,35-39,
1997,Broj djece po ženi 15-49,35-39,
1998,Broj djece po ženi 15-49,35-39,
1999,Broj djece po ženi 15-49,35-39,
2000,Broj djece po ženi 15-49,35-39,
2001,Broj djece po ženi 15-49,35-39,
2002,Broj djece po ženi 15-49,35-39,
2003,Broj djece po ženi 15-49,35-39,
2004,Broj djece po ženi 15-49,35-39,
