Year,UNIT_MEASURE,Pol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2003,Broj,Oba pola,Ukupno,12988
2004,Broj,Oba pola,Ukupno,13082
2005,Broj,Oba pola,Ukupno,13802
2006,Broj,Oba pola,Ukupno,13232
2007,Broj,Oba pola,Ukupno,14146
2008,Broj,Oba pola,Ukupno,13501
2009,Broj,Oba pola,Ukupno,13775
2010,Broj,Oba pola,Ukupno,13517
2011,Broj,Oba pola,Ukupno,13658
2012,Broj,Oba pola,Ukupno,13796
2013,Broj,Oba pola,Ukupno,13978
2014,Broj,Oba pola,Ukupno,14409
2015,Broj,Oba pola,Ukupno,15059
2016,Broj,Oba pola,Ukupno,13970
2017,Broj,Oba pola,Ukupno,14663
2018,Broj,Oba pola,Ukupno,14763
2019,Broj,Oba pola,Ukupno,15081
2020,Broj,Oba pola,Ukupno,16582
2003,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,89
2004,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,124
2005,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,128
2006,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,111
2007,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,103
2008,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,118
2009,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,118
2010,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,109
2011,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,117
2012,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,135
2013,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,120
2014,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,136
2015,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,159
2016,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,187
2017,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,147
2018,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,184
2019,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,200
2020,Broj,Oba pola,(A00-B99) Zarazne i parazitske bolesti,162
2003,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2411
2004,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2330
2005,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2653
2006,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2551
2007,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2733
2008,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2733
2009,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2822
2010,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2700
2011,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2802
2012,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2937
2013,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",3090
2014,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",3154
2015,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",3138
2016,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2948
2017,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",3027
2018,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2938
2019,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2891
2020,Broj,Oba pola,"(C00-C97,D00-D48) Neoplazme",2719
2003,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",8
2004,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",13
2005,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",15
2006,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",6
2007,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",16
2008,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",8
2009,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",13
2010,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",15
2011,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",17
2012,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",15
2013,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",16
2014,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",10
2015,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",19
2016,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",24
2017,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",20
2018,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",36
2019,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",24
2020,Broj,Oba pola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",27
2003,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",180
2004,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",160
2005,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",727
2006,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",790
2007,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",791
2008,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",764
2009,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",891
2010,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",691
2011,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",654
2012,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",561
2013,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",800
2014,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",912
2015,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",762
2016,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",691
2017,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",825
2018,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",844
2019,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",604
2020,Broj,Oba pola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",825
2003,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,33
2004,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,58
2005,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,80
2006,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,82
2007,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,107
2008,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,101
2009,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,122
2010,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,84
2011,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2012,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,58
2013,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,95
2014,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,84
2015,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2016,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,98
2017,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,113
2018,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,85
2019,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2020,Broj,Oba pola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,72
2003,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,65
2004,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,91
2005,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,170
2006,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,184
2007,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,155
2008,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,146
2009,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,133
2010,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,152
2011,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,209
2012,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,207
2013,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,185
2014,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,186
2015,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,212
2016,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,171
2017,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,197
2018,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,169
2019,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,165
2020,Broj,Oba pola,(G00-G99) Bolesti nervnog sistema,188
2003,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2004,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2005,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2006,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2007,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2008,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2009,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2010,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2011,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2012,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2013,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2014,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2015,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2016,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2017,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2018,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2019,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2020,Broj,Oba pola,"(H00-H93) Bolesti oka, uha i adneksa",0
2003,Broj,Oba pola,diseases_of_the_ear,0
2004,Broj,Oba pola,diseases_of_the_ear,0
2005,Broj,Oba pola,diseases_of_the_ear,1
2006,Broj,Oba pola,diseases_of_the_ear,0
2007,Broj,Oba pola,diseases_of_the_ear,1
2008,Broj,Oba pola,diseases_of_the_ear,0
2009,Broj,Oba pola,diseases_of_the_ear,0
2010,Broj,Oba pola,diseases_of_the_ear,0
2011,Broj,Oba pola,diseases_of_the_ear,0
2012,Broj,Oba pola,diseases_of_the_ear,0
2013,Broj,Oba pola,diseases_of_the_ear,0
2014,Broj,Oba pola,diseases_of_the_ear,0
2015,Broj,Oba pola,diseases_of_the_ear,0
2016,Broj,Oba pola,diseases_of_the_ear,0
2017,Broj,Oba pola,diseases_of_the_ear,0
2018,Broj,Oba pola,diseases_of_the_ear,0
2019,Broj,Oba pola,diseases_of_the_ear,0
2020,Broj,Oba pola,diseases_of_the_ear,0
2003,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7071
2004,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7340
2005,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7002
2006,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,6463
2007,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7097
2008,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,6965
2009,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7014
2010,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7211
2011,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7339
2012,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7625
2013,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,6687
2014,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,6777
2015,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7275
2016,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,6920
2017,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7180
2018,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,6989
2019,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7473
2020,Broj,Oba pola,(I00-I99) Bolesti cirkulatornog sistema,7602
2003,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,304
2004,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,345
2005,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,504
2006,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,520
2007,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,493
2008,Broj,Oba pola,(J00-J99) Bolesti respiratornog sistema,449
