Year,Spol,UNIT_MEASURE,Value
2003,M,Age,39.4
2004,M,Age,39.4
2005,M,Age,40.1
2006,M,Age,41.1
2007,M,Age,40.6
2008,M,Age,39.3
2009,M,Age,39.4
2010,M,Age,40.4
2011,M,Age,40.6
2012,M,Age,41.8
2013,M,Age,42.2
2014,M,Age,42.1
2015,M,Age,42.4
2016,M,Age,41.7
2017,M,Age,42.7
2018,M,Age,42.9
2019,M,Age,42.9
2020,M,Age,43.3
2003,Ž,Age,36.3
2004,Ž,Age,36.1
2005,Ž,Age,37.1
2006,Ž,Age,37.0
2007,Ž,Age,37.0
2008,Ž,Age,35.7
2009,Ž,Age,35.9
2010,Ž,Age,36.7
2011,Ž,Age,36.6
2012,Ž,Age,37.9
2013,Ž,Age,38.3
2014,Ž,Age,38.3
2015,Ž,Age,39.9
2016,Ž,Age,38.0
2017,Ž,Age,39.2
2018,Ž,Age,39.5
2019,Ž,Age,38.9
2020,Ž,Age,39.5
