Year,UNIT_MEASURE,Vrsta koeficijenta zavisnosti,Pol,Value
2019,%,(0-14+60+)/(15-59),M,65.3
2019,%,(0-19+65+)/(20-64),M,59.4
2019,%,(0-14+50+)/(15-49),M,117.9
2020,%,(0-14+60+)/(15-59),M,66.6
2020,%,(0-19+65+)/(20-64),M,60.5
2020,%,(0-14+50+)/(15-49),M,118.5
2025,%,(0-14+60+)/(15-59),M,71.0
2025,%,(0-19+65+)/(20-64),M,65.5
2025,%,(0-14+50+)/(15-49),M,124.2
2030,%,(0-14+60+)/(15-59),M,74.1
2030,%,(0-19+65+)/(20-64),M,69.0
2030,%,(0-14+50+)/(15-49),M,133.4
2035,%,(0-14+60+)/(15-59),M,77.8
2035,%,(0-19+65+)/(20-64),M,71.3
2035,%,(0-14+50+)/(15-49),M,143.5
2040,%,(0-14+60+)/(15-59),M,82.7
2040,%,(0-19+65+)/(20-64),M,74.1
2040,%,(0-14+50+)/(15-49),M,151.1
2045,%,(0-14+60+)/(15-59),M,88.4
2045,%,(0-19+65+)/(20-64),M,78.1
2045,%,(0-14+50+)/(15-49),M,157.7
2050,%,(0-14+60+)/(15-59),M,92.7
2050,%,(0-19+65+)/(20-64),M,83.0
2050,%,(0-14+50+)/(15-49),M,165.4
2055,%,(0-14+60+)/(15-59),M,96.8
2055,%,(0-19+65+)/(20-64),M,86.8
2055,%,(0-14+50+)/(15-49),M,168.6
2060,%,(0-14+60+)/(15-59),M,101.3
2060,%,(0-19+65+)/(20-64),M,90.3
2060,%,(0-14+50+)/(15-49),M,173.4
2065,%,(0-14+60+)/(15-59),M,103.1
2065,%,(0-19+65+)/(20-64),M,94.2
2065,%,(0-14+50+)/(15-49),M,175.8
2070,%,(0-14+60+)/(15-59),M,105.5
2070,%,(0-19+65+)/(20-64),M,95.5
2070,%,(0-14+50+)/(15-49),M,178.4
2019,%,(0-14+60+)/(15-59),Ž,78.0
2019,%,(0-19+65+)/(20-64),Ž,68.2
2019,%,(0-14+50+)/(15-49),Ž,139.3
2020,%,(0-14+60+)/(15-59),Ž,79.7
2020,%,(0-19+65+)/(20-64),Ž,69.6
2020,%,(0-14+50+)/(15-49),Ž,140.1
2025,%,(0-14+60+)/(15-59),Ž,85.9
2025,%,(0-19+65+)/(20-64),Ž,76.8
2025,%,(0-14+50+)/(15-49),Ž,146.3
2030,%,(0-14+60+)/(15-59),Ž,89.9
2030,%,(0-19+65+)/(20-64),Ž,82.0
2030,%,(0-14+50+)/(15-49),Ž,157.2
2035,%,(0-14+60+)/(15-59),Ž,94.1
2035,%,(0-19+65+)/(20-64),Ž,84.9
2035,%,(0-14+50+)/(15-49),Ž,169.5
2040,%,(0-14+60+)/(15-59),Ž,99.7
2040,%,(0-19+65+)/(20-64),Ž,87.9
2040,%,(0-14+50+)/(15-49),Ž,178.3
2045,%,(0-14+60+)/(15-59),Ž,105.8
2045,%,(0-19+65+)/(20-64),Ž,92.3
2045,%,(0-14+50+)/(15-49),Ž,183.5
2050,%,(0-14+60+)/(15-59),Ž,110.5
2050,%,(0-19+65+)/(20-64),Ž,97.6
2050,%,(0-14+50+)/(15-49),Ž,191.1
2055,%,(0-14+60+)/(15-59),Ž,113.6
2055,%,(0-19+65+)/(20-64),Ž,101.9
2055,%,(0-14+50+)/(15-49),Ž,193.4
2060,%,(0-14+60+)/(15-59),Ž,118.4
2060,%,(0-19+65+)/(20-64),Ž,104.7
2060,%,(0-14+50+)/(15-49),Ž,198.5
2065,%,(0-14+60+)/(15-59),Ž,119.9
2065,%,(0-19+65+)/(20-64),Ž,109.0
2065,%,(0-14+50+)/(15-49),Ž,200.8
2070,%,(0-14+60+)/(15-59),Ž,122.6
2070,%,(0-19+65+)/(20-64),Ž,110.1
2070,%,(0-14+50+)/(15-49),Ž,202.3
