Year,UNIT_MEASURE,Starosna grupa,Pol,Value
2013.0,Broj,Ukupno,Ukupno,1171179.0
2013.0,Broj,0-4,Ukupno,53563.0
2013.0,Broj,5-9,Ukupno,54042.0
2013.0,Broj,10-14,Ukupno,58024.0
2013.0,Broj,15-19,Ukupno,69969.0
2013.0,Broj,20-24,Ukupno,66641.0
2013.0,Broj,25-29,Ukupno,77070.0
2013.0,Broj,30-34,Ukupno,80560.0
2013.0,Broj,35-39,Ukupno,80521.0
2013.0,Broj,40-44,Ukupno,75966.0
2013.0,Broj,45-49,Ukupno,83519.0
2013.0,Broj,50-54,Ukupno,92008.0
2013.0,Broj,55-59,Ukupno,94412.0
2013.0,Broj,60-64,Ukupno,85773.0
2013.0,Broj,65-69,Ukupno,59309.0
2013.0,Broj,70-74,Ukupno,56085.0
2013.0,Broj,75-79,Ukupno,47377.0
2013.0,Broj,80-84,Ukupno,25370.0
2013.0,Broj,85-89,Ukupno,8869.0
2013.0,Broj,90 +,Ukupno,2101.0
2013.0,Broj,Ukupno,M,572298.0
2013.0,Broj,0-4,M,27499.0
2013.0,Broj,5-9,M,27681.0
2013.0,Broj,10-14,M,29826.0
2013.0,Broj,15-19,M,36081.0
2013.0,Broj,20-24,M,34593.0
2013.0,Broj,25-29,M,39298.0
2013.0,Broj,30-34,M,40877.0
2013.0,Broj,35-39,M,41253.0
2013.0,Broj,40-44,M,38815.0
2013.0,Broj,45-49,M,41755.0
2013.0,Broj,50-54,M,45161.0
2013.0,Broj,55-59,M,45750.0
2013.0,Broj,60-64,M,40723.0
2013.0,Broj,65-69,M,26840.0
2013.0,Broj,70-74,M,24039.0
2013.0,Broj,75-79,M,18940.0
2013.0,Broj,80-84,M,9573.0
2013.0,Broj,85-89,M,2977.0
2013.0,Broj,90 +,M,617.0
2013.0,Broj,Ukupno,Ž,598881.0
2013.0,Broj,0-4,Ž,26064.0
2013.0,Broj,5-9,Ž,26361.0
2013.0,Broj,10-14,Ž,28198.0
2013.0,Broj,15-19,Ž,33888.0
2013.0,Broj,20-24,Ž,32048.0
2013.0,Broj,25-29,Ž,37772.0
2013.0,Broj,30-34,Ž,39683.0
2013.0,Broj,35-39,Ž,39268.0
2013.0,Broj,40-44,Ž,37151.0
2013.0,Broj,45-49,Ž,41764.0
2013.0,Broj,50-54,Ž,46847.0
2013.0,Broj,55-59,Ž,48662.0
2013.0,Broj,60-64,Ž,45050.0
2013.0,Broj,65-69,Ž,32469.0
2013.0,Broj,70-74,Ž,32046.0
2013.0,Broj,75-79,Ž,28437.0
2013.0,Broj,80-84,Ž,15797.0
2013.0,Broj,85-89,Ž,5892.0
2013.0,Broj,90 +,Ž,1484.0
2014.0,Broj,Ukupno,Ukupno,1167082.0
2014.0,Broj,0-4,Ukupno,51846.0
2014.0,Broj,5-9,Ukupno,54417.0
2014.0,Broj,10-14,Ukupno,56601.0
2014.0,Broj,15-19,Ukupno,69432.0
2014.0,Broj,20-24,Ukupno,65038.0
2014.0,Broj,25-29,Ukupno,75296.0
2014.0,Broj,30-34,Ukupno,80722.0
2014.0,Broj,35-39,Ukupno,80852.0
2014.0,Broj,40-44,Ukupno,76216.0
2014.0,Broj,45-49,Ukupno,81515.0
2014.0,Broj,50-54,Ukupno,89781.0
2014.0,Broj,55-59,Ukupno,93123.0
2014.0,Broj,60-64,Ukupno,88482.0
2014.0,Broj,65-69,Ukupno,64182.0
2014.0,Broj,70-74,Ukupno,52482.0
2014.0,Broj,75-79,Ukupno,48465.0
2014.0,Broj,80-84,Ukupno,26497.0
2014.0,Broj,85-89,Ukupno,9835.0
2014.0,Broj,90 +,Ukupno,2300.0
2014.0,Broj,Ukupno,M,570176.0
2014.0,Broj,0-4,M,26590.0
2014.0,Broj,5-9,M,27911.0
2014.0,Broj,10-14,M,29125.0
2014.0,Broj,15-19,M,35664.0
2014.0,Broj,20-24,M,33895.0
2014.0,Broj,25-29,M,38395.0
2014.0,Broj,30-34,M,40994.0
2014.0,Broj,35-39,M,41341.0
2014.0,Broj,40-44,M,39018.0
2014.0,Broj,45-49,M,40931.0
2014.0,Broj,50-54,M,44141.0
2014.0,Broj,55-59,M,44986.0
2014.0,Broj,60-64,M,42062.0
2014.0,Broj,65-69,M,29180.0
2014.0,Broj,70-74,M,22426.0
2014.0,Broj,75-79,M,19519.0
2014.0,Broj,80-84,M,9894.0
2014.0,Broj,85-89,M,3430.0
2014.0,Broj,90 +,M,674.0
2014.0,Broj,Ukupno,Ž,596906.0
2014.0,Broj,0-4,Ž,25256.0
2014.0,Broj,5-9,Ž,26506.0
2014.0,Broj,10-14,Ž,27476.0
2014.0,Broj,15-19,Ž,33768.0
2014.0,Broj,20-24,Ž,31143.0
2014.0,Broj,25-29,Ž,36901.0
2014.0,Broj,30-34,Ž,39728.0
2014.0,Broj,35-39,Ž,39511.0
2014.0,Broj,40-44,Ž,37198.0
2014.0,Broj,45-49,Ž,40584.0
2014.0,Broj,50-54,Ž,45640.0
2014.0,Broj,55-59,Ž,48137.0
