Year,UNIT_MEASURE,Grad/opština,Pol,Starost,Value
2013,Broj,Republika Srpska,Ukupno,0-4,53563
2013,Broj,Republika Srpska,M,0-4,27499
2013,Broj,Republika Srpska,Ž,0-4,26064
2013,Broj,Grad Banja Luka,Ukupno,0-4,9539
2013,Broj,Grad Banja Luka,M,0-4,4844
2013,Broj,Grad Banja Luka,Ž,0-4,4695
2013,Broj,Berkovići,Ukupno,0-4,91
2013,Broj,Berkovići,M,0-4,49
2013,Broj,Berkovići,Ž,0-4,42
2013,Broj,Grad Bijeljina,Ukupno,0-4,4963
2013,Broj,Grad Bijeljina,M,0-4,2590
2013,Broj,Grad Bijeljina,Ž,0-4,2373
2013,Broj,Bileća,Ukupno,0-4,489
2013,Broj,Bileća,M,0-4,258
2013,Broj,Bileća,Ž,0-4,231
2013,Broj,Bratunac,Ukupno,0-4,888
2013,Broj,Bratunac,M,0-4,476
2013,Broj,Bratunac,Ž,0-4,412
2013,Broj,Brod,Ukupno,0-4,718
2013,Broj,Brod,M,0-4,377
2013,Broj,Brod,Ž,0-4,341
2013,Broj,Višegrad,Ukupno,0-4,323
2013,Broj,Višegrad,M,0-4,153
2013,Broj,Višegrad,Ž,0-4,170
2013,Broj,Vlasenica,Ukupno,0-4,486
2013,Broj,Vlasenica,M,0-4,260
2013,Broj,Vlasenica,Ž,0-4,226
2013,Broj,Vukosavlje,Ukupno,0-4,195
2013,Broj,Vukosavlje,M,0-4,97
2013,Broj,Vukosavlje,Ž,0-4,98
2013,Broj,Gacko,Ukupno,0-4,430
2013,Broj,Gacko,M,0-4,210
2013,Broj,Gacko,Ž,0-4,220
2013,Broj,Grad Gradiška,Ukupno,0-4,2077
2013,Broj,Grad Gradiška,M,0-4,1047
2013,Broj,Grad Gradiška,Ž,0-4,1030
2013,Broj,Grad Derventa,Ukupno,0-4,1115
2013,Broj,Grad Derventa,M,0-4,551
2013,Broj,Grad Derventa,Ž,0-4,564
2013,Broj,Grad Doboj,Ukupno,0-4,3010
2013,Broj,Grad Doboj,M,0-4,1528
2013,Broj,Grad Doboj,Ž,0-4,1482
2013,Broj,Donji Žabar,Ukupno,0-4,126
2013,Broj,Donji Žabar,M,0-4,60
2013,Broj,Donji Žabar,Ž,0-4,66
2013,Broj,Grad Zvornik,Ukupno,0-4,2851
2013,Broj,Grad Zvornik,M,0-4,1442
2013,Broj,Grad Zvornik,Ž,0-4,1409
2013,Broj,Istočni Drvar,Ukupno,0-4,0
2013,Broj,Istočni Drvar,M,0-4,0
2013,Broj,Istočni Drvar,Ž,0-4,0
2013,Broj,Istočni Mostar,Ukupno,0-4,7
2013,Broj,Istočni Mostar,M,0-4,4
2013,Broj,Istočni Mostar,Ž,0-4,3
2013,Broj,Grad Istočno Sarajevo,Ukupno,0-4,2763
2013,Broj,Grad Istočno Sarajevo,M,0-4,1404
2013,Broj,Grad Istočno Sarajevo,Ž,0-4,1359
2013,Broj,Istočna Ilidža,Ukupno,0-4,650
2013,Broj,Istočna Ilidža,M,0-4,327
2013,Broj,Istočna Ilidža,Ž,0-4,323
2013,Broj,Istočno Novo Sarajevo,Ukupno,0-4,607
2013,Broj,Istočno Novo Sarajevo,M,0-4,296
2013,Broj,Istočno Novo Sarajevo,Ž,0-4,311
2013,Broj,Istočni Stari Grad,Ukupno,0-4,41
2013,Broj,Istočni Stari Grad,M,0-4,26
2013,Broj,Istočni Stari Grad,Ž,0-4,15
2013,Broj,Pale,Ukupno,0-4,895
2013,Broj,Pale,M,0-4,463
2013,Broj,Pale,Ž,0-4,432
2013,Broj,Sokolac,Ukupno,0-4,508
2013,Broj,Sokolac,M,0-4,266
2013,Broj,Sokolac,Ž,0-4,242
2013,Broj,Trnovo,Ukupno,0-4,62
2013,Broj,Trnovo,M,0-4,26
2013,Broj,Trnovo,Ž,0-4,36
2013,Broj,Jezero,Ukupno,0-4,39
2013,Broj,Jezero,M,0-4,20
2013,Broj,Jezero,Ž,0-4,19
2013,Broj,Kalinovik,Ukupno,0-4,50
2013,Broj,Kalinovik,M,0-4,25
2013,Broj,Kalinovik,Ž,0-4,25
2013,Broj,Kneževo,Ukupno,0-4,408
2013,Broj,Kneževo,M,0-4,215
2013,Broj,Kneževo,Ž,0-4,193
2013,Broj,Kostajnica,Ukupno,0-4,213
2013,Broj,Kostajnica,M,0-4,98
2013,Broj,Kostajnica,Ž,0-4,115
2013,Broj,Kotor Varoš,Ukupno,0-4,901
