Year,UNIT_MEASURE,Administrativna oblast,NO_OF_CHILDREN,Value
2013,Broj,Republika Srpska,Ukupno,518243
2013,Broj,Grad Banja Luka,Ukupno,80633
2013,Broj,Berkovići,Ukupno,839
2013,Broj,Grad Bijeljina,Ukupno,45729
2013,Broj,Bileća,Ukupno,4500
2013,Broj,Bratunac,Ukupno,8127
2013,Broj,Brod,Ukupno,6996
2013,Broj,Višegrad,Ukupno,4691
2013,Broj,Vlasenica,Ukupno,4738
2013,Broj,Vukosavlje,Ukupno,1849
2013,Broj,Gacko,Ukupno,3646
2013,Broj,Grad Gradiška,Ukupno,22005
2013,Broj,Grad Derventa,Ukupno,11515
2013,Broj,Grad Doboj,Ukupno,30598
2013,Broj,Donji Žabar,Ukupno,1561
2013,Broj,Grad Zvornik,Ukupno,23313
2013,Broj,Istočna Ilidža,Ukupno,6538
2013,Broj,Istočni Drvar,Ukupno,22
2013,Broj,Istočni Mostar,Ukupno,93
2013,Broj,Istočni Stari Grad,Ukupno,516
2013,Broj,Istočno Novo Sarajevo,Ukupno,4659
2013,Broj,Jezero,Ukupno,437
2013,Broj,Kalinovik,Ukupno,898
2013,Broj,Kneževo,Ukupno,4079
2013,Broj,Kozarska Dubica,Ukupno,9386
2013,Broj,Kostajnica,Ukupno,2538
2013,Broj,Kotor Varoš,Ukupno,7914
2013,Broj,Krupa Na Uni,Ukupno,628
2013,Broj,Kupres,Ukupno,127
2013,Broj,Laktaši,Ukupno,14682
2013,Broj,Lopare,Ukupno,6471
2013,Broj,Ljubinje,Ukupno,1475
2013,Broj,Milići,Ukupno,4489
2013,Broj,Modriča,Ukupno,10856
2013,Broj,Mrkonjić Grad,Ukupno,7153
2013,Broj,Nevesinje,Ukupno,5385
2013,Broj,Novi Grad,Ukupno,11191
2013,Broj,Novo Goražde,Ukupno,1263
2013,Broj,Osmaci,Ukupno,2367
2013,Broj,Oštra Luka,Ukupno,1131
2013,Broj,Pale,Ukupno,9317
2013,Broj,Pelagićevo,Ukupno,1978
2013,Broj,Petrovac,Ukupno,160
2013,Broj,Petrovo,Ukupno,2902
2013,Broj,Grad Prijedor,Ukupno,36570
2013,Broj,Prnjavor,Ukupno,15254
2013,Broj,Ribnik,Ukupno,2560
2013,Broj,Rogatica,Ukupno,4567
2013,Broj,Rudo,Ukupno,3315
2013,Broj,Sokolac,Ukupno,5142
2013,Broj,Srbac,Ukupno,7462
2013,Broj,Srebrenica,Ukupno,5260
2013,Broj,Teslić,Ukupno,16491
2013,Broj,Grad Trebinje,Ukupno,12436
2013,Broj,Trnovo,Ukupno,936
2013,Broj,Ugljevik,Ukupno,6451
2013,Broj,Foča,Ukupno,7700
2013,Broj,Han Pijesak,Ukupno,1631
2013,Broj,Čajniče,Ukupno,2025
2013,Broj,Čelinac,Ukupno,6555
2013,Broj,Šamac,Ukupno,7431
2013,Broj,Šekovići,Ukupno,2815
2013,Broj,Šipovo,Ukupno,4247
2013,Broj,Republika Srpska,Nisu rađale,131752
2013,Broj,Grad Banja Luka,Nisu rađale,22958
2013,Broj,Berkovići,Nisu rađale,198
2013,Broj,Grad Bijeljina,Nisu rađale,11452
2013,Broj,Bileća,Nisu rađale,1303
2013,Broj,Bratunac,Nisu rađale,2067
2013,Broj,Brod,Nisu rađale,1822
2013,Broj,Višegrad,Nisu rađale,1278
2013,Broj,Vlasenica,Nisu rađale,1293
2013,Broj,Vukosavlje,Nisu rađale,419
2013,Broj,Gacko,Nisu rađale,1080
2013,Broj,Grad Gradiška,Nisu rađale,5312
2013,Broj,Grad Derventa,Nisu rađale,2841
2013,Broj,Grad Doboj,Nisu rađale,7244
2013,Broj,Donji Žabar,Nisu rađale,394
2013,Broj,Grad Zvornik,Nisu rađale,5530
2013,Broj,Istočna Ilidža,Nisu rađale,1897
2013,Broj,Istočni Drvar,Nisu rađale,5
2013,Broj,Istočni Mostar,Nisu rađale,25
2013,Broj,Istočni Stari Grad,Nisu rađale,122
2013,Broj,Istočno Novo Sarajevo,Nisu rađale,1372
2013,Broj,Jezero,Nisu rađale,111
2013,Broj,Kalinovik,Nisu rađale,250
2013,Broj,Kneževo,Nisu rađale,868
2013,Broj,Kozarska Dubica,Nisu rađale,2106
2013,Broj,Kostajnica,Nisu rađale,632
2013,Broj,Kotor Varoš,Nisu rađale,2052
2013,Broj,Krupa Na Uni,Nisu rađale,110
2013,Broj,Kupres,Nisu rađale,24
2013,Broj,Laktaši,Nisu rađale,3589
2013,Broj,Lopare,Nisu rađale,1679
2013,Broj,Ljubinje,Nisu rađale,377
2013,Broj,Milići,Nisu rađale,1235
2013,Broj,Modriča,Nisu rađale,2736
2013,Broj,Mrkonjić Grad,Nisu rađale,1571
2013,Broj,Nevesinje,Nisu rađale,1490
2013,Broj,Novi Grad,Nisu rađale,2605
2013,Broj,Novo Goražde,Nisu rađale,405
2013,Broj,Osmaci,Nisu rađale,570
2013,Broj,Oštra Luka,Nisu rađale,235
2013,Broj,Pale,Nisu rađale,2843
2013,Broj,Pelagićevo,Nisu rađale,467
2013,Broj,Petrovac,Nisu rađale,34
2013,Broj,Petrovo,Nisu rađale,581
2013,Broj,Grad Prijedor,Nisu rađale,9358
2013,Broj,Prnjavor,Nisu rađale,3458
2013,Broj,Ribnik,Nisu rađale,493
2013,Broj,Rogatica,Nisu rađale,1126
2013,Broj,Rudo,Nisu rađale,769
2013,Broj,Sokolac,Nisu rađale,1278
2013,Broj,Srbac,Nisu rađale,1710
2013,Broj,Srebrenica,Nisu rađale,1385
2013,Broj,Teslić,Nisu rađale,3716
2013,Broj,Grad Trebinje,Nisu rađale,3394
2013,Broj,Trnovo,Nisu rađale,243
2013,Broj,Ugljevik,Nisu rađale,1598
2013,Broj,Foča,Nisu rađale,2037
2013,Broj,Han Pijesak,Nisu rađale,391
2013,Broj,Čajniče,Nisu rađale,525
2013,Broj,Čelinac,Nisu rađale,1600
2013,Broj,Šamac,Nisu rađale,1848
2013,Broj,Šekovići,Nisu rađale,667
2013,Broj,Šipovo,Nisu rađale,974
2013,Broj,Republika Srpska,1 dijete,69805
2013,Broj,Grad Banja Luka,1 dijete,13545
2013,Broj,Berkovići,1 dijete,72
2013,Broj,Grad Bijeljina,1 dijete,6922
2013,Broj,Bileća,1 dijete,374
2013,Broj,Bratunac,1 dijete,856
2013,Broj,Brod,1 dijete,987
2013,Broj,Višegrad,1 dijete,536
2013,Broj,Vlasenica,1 dijete,547
2013,Broj,Vukosavlje,1 dijete,236
2013,Broj,Gacko,1 dijete,325
2013,Broj,Grad Gradiška,1 dijete,3293
2013,Broj,Grad Derventa,1 dijete,1633
2013,Broj,Grad Doboj,1 dijete,4512
2013,Broj,Donji Žabar,1 dijete,205
2013,Broj,Grad Zvornik,1 dijete,2647
2013,Broj,Istočna Ilidža,1 dijete,1017
2013,Broj,Istočni Drvar,1 dijete,4
2013,Broj,Istočni Mostar,1 dijete,8
2013,Broj,Istočni Stari Grad,1 dijete,53
2013,Broj,Istočno Novo Sarajevo,1 dijete,832
2013,Broj,Jezero,1 dijete,41
2013,Broj,Kalinovik,1 dijete,62
2013,Broj,Kneževo,1 dijete,329
2013,Broj,Kozarska Dubica,1 dijete,1478
2013,Broj,Kostajnica,1 dijete,460
