Year,UNIT_MEASURE,Administrativna oblast,Poljoprivredna djelatnost,Value
2013,Broj,Republika Srpska,Obavljanje poljoprivredne djelatnosti,140960
2013,Broj,Grad Banja Luka,Obavljanje poljoprivredne djelatnosti,8832
2013,Broj,Berkovići,Obavljanje poljoprivredne djelatnosti,450
2013,Broj,Grad Bijeljina,Obavljanje poljoprivredne djelatnosti,10563
2013,Broj,Bileća,Obavljanje poljoprivredne djelatnosti,1659
2013,Broj,Bratunac,Obavljanje poljoprivredne djelatnosti,3166
2013,Broj,Brod,Obavljanje poljoprivredne djelatnosti,1512
2013,Broj,Višegrad,Obavljanje poljoprivredne djelatnosti,963
2013,Broj,Vlasenica,Obavljanje poljoprivredne djelatnosti,1381
2013,Broj,Vukosavlje,Obavljanje poljoprivredne djelatnosti,532
2013,Broj,Gacko,Obavljanje poljoprivredne djelatnosti,986
2013,Broj,Grad Gradiška,Obavljanje poljoprivredne djelatnosti,6402
2013,Broj,Grad Derventa,Obavljanje poljoprivredne djelatnosti,3038
2013,Broj,Grad Doboj,Obavljanje poljoprivredne djelatnosti,9221
2013,Broj,Donji Žabar,Obavljanje poljoprivredne djelatnosti,617
2013,Broj,Grad Zvornik,Obavljanje poljoprivredne djelatnosti,7120
2013,Broj,Istočna Ilidža,Obavljanje poljoprivredne djelatnosti,1045
2013,Broj,Istočni Drvar,Obavljanje poljoprivredne djelatnosti,11
2013,Broj,Istočni Mostar,Obavljanje poljoprivredne djelatnosti,60
2013,Broj,Istočni Stari Grad,Obavljanje poljoprivredne djelatnosti,262
2013,Broj,Istočno Novo Sarajevo,Obavljanje poljoprivredne djelatnosti,505
2013,Broj,Jezero,Obavljanje poljoprivredne djelatnosti,99
2013,Broj,Kalinovik,Obavljanje poljoprivredne djelatnosti,365
2013,Broj,Kneževo,Obavljanje poljoprivredne djelatnosti,1920
2013,Broj,Kozarska Dubica,Obavljanje poljoprivredne djelatnosti,2974
2013,Broj,Kostajnica,Obavljanje poljoprivredne djelatnosti,746
2013,Broj,Kotor Varoš,Obavljanje poljoprivredne djelatnosti,1826
2013,Broj,Krupa Na Uni,Obavljanje poljoprivredne djelatnosti,453
2013,Broj,Kupres,Obavljanje poljoprivredne djelatnosti,85
2013,Broj,Laktaši,Obavljanje poljoprivredne djelatnosti,3882
2013,Broj,Lopare,Obavljanje poljoprivredne djelatnosti,2416
