Year,UNIT_MEASURE,ADMIN_AREA,Spol,Literacy,Value
2013,Broj,republika_srpska,Oba spola,illiterate,34928.0
2013,Broj,republika_srpska,M,illiterate,4987.0
2013,Broj,republika_srpska,Ž,illiterate,29941.0
2013,Broj,grad_banja_luka,Oba spola,illiterate,3503.0
2013,Broj,grad_banja_luka,M,illiterate,509.0
2013,Broj,grad_banja_luka,Ž,illiterate,2994.0
2013,Broj,berkovici,Oba spola,illiterate,47.0
2013,Broj,berkovici,M,illiterate,1.0
2013,Broj,berkovici,Ž,illiterate,46.0
2013,Broj,grad_bijeljina,Oba spola,illiterate,2541.0
2013,Broj,grad_bijeljina,M,illiterate,413.0
2013,Broj,grad_bijeljina,Ž,illiterate,2128.0
2013,Broj,bileca,Oba spola,illiterate,144.0
2013,Broj,bileca,M,illiterate,31.0
2013,Broj,bileca,Ž,illiterate,113.0
2013,Broj,bratunac,Oba spola,illiterate,865.0
2013,Broj,bratunac,M,illiterate,82.0
2013,Broj,bratunac,Ž,illiterate,783.0
2013,Broj,brod,Oba spola,illiterate,330.0
2013,Broj,brod,M,illiterate,53.0
2013,Broj,brod,Ž,illiterate,277.0
2013,Broj,visegrad,Oba spola,illiterate,358.0
2013,Broj,visegrad,M,illiterate,35.0
2013,Broj,visegrad,Ž,illiterate,323.0
2013,Broj,vlasenica,Oba spola,illiterate,350.0
2013,Broj,vlasenica,M,illiterate,49.0
2013,Broj,vlasenica,Ž,illiterate,301.0
2013,Broj,vukosavlje,Oba spola,illiterate,196.0
2013,Broj,vukosavlje,M,illiterate,31.0
2013,Broj,vukosavlje,Ž,illiterate,165.0
2013,Broj,gacko,Oba spola,illiterate,110.0
2013,Broj,gacko,M,illiterate,10.0
2013,Broj,gacko,Ž,illiterate,100.0
2013,Broj,grad_gradiska,Oba spola,illiterate,1526.0
2013,Broj,grad_gradiska,M,illiterate,204.0
2013,Broj,grad_gradiska,Ž,illiterate,1322.0
2013,Broj,grad_derventa,Oba spola,illiterate,812.0
2013,Broj,grad_derventa,M,illiterate,120.0
2013,Broj,grad_derventa,Ž,illiterate,692.0
