Year,UNIT_MEASURE,Vrsta korisnika,Value
2016,Broj,Ukupno,191604
2017,Broj,Ukupno,184830
2018,Broj,Ukupno,179164
2019,Broj,Ukupno,171280
2020,Broj,Ukupno,167786
2016,Broj,Maloljetni korisnici,53648
2017,Broj,Maloljetni korisnici,49035
2018,Broj,Maloljetni korisnici,48462
2019,Broj,Maloljetni korisnici,47135
2020,Broj,Maloljetni korisnici,41066
2016,Broj,Punoljetni korisnici,137956
2017,Broj,Punoljetni korisnici,135795
2018,Broj,Punoljetni korisnici,130702
2019,Broj,Punoljetni korisnici,124145
2020,Broj,Punoljetni korisnici,126720
2021,Broj,Ukupno,147055
2021,Broj,Maloljetni korisnici,35089
2021,Broj,Punoljetni korisnici,111966
2022,Broj,Ukupno,136613
2022,Broj,Maloljetni korisnici,31661
2022,Broj,Punoljetni korisnici,104952
2023,Broj,Ukupno,129326
2023,Broj,Maloljetni korisnici,31632
2023,Broj,Punoljetni korisnici,97694
2024,Broj,Ukupno,122274
2024,Broj,Maloljetni korisnici,28936
2024,Broj,Punoljetni korisnici,93338
