Year,UNIT_MEASURE,Pol,Value
2016,Broj,Ukupno,92683
2016,Broj,M,47466
2016,Broj,Ž,45217
2017,Broj,Ukupno,91370
2017,Broj,M,46939
2017,Broj,Ž,44431
2018,Broj,Ukupno,90003
2018,Broj,M,46086
2018,Broj,Ž,43917
2019,Broj,Ukupno,88331
2019,Broj,M,45304
2019,Broj,Ž,43027
2020,Broj,Ukupno,86774
2020,Broj,M,44415
2020,Broj,Ž,42359
2021,Broj,Ukupno,85533
2021,Broj,M,44245
2021,Broj,Ž,41288
2022,Broj,Ukupno,84643
2022,Broj,M,43637
2022,Broj,Ž,41006
2023,Broj,Ukupno,83708
2023,Broj,M,43143
2023,Broj,Ž,40565
