Year,UNIT_MEASURE,type_of_school,Value
2016,Broj,Gimnazija,9443
2016,Broj,technical_high_schools,24999
2016,Broj,vocational_high_schools,6162
2016,Broj,Umjetničke škole,307
2016,Broj,religious_schools,88
2016,Broj,high_schools_for_students_with_disabilities,137
2017,Broj,Gimnazija,8875
2017,Broj,technical_high_schools,24644
2017,Broj,vocational_high_schools,5832
2017,Broj,Umjetničke škole,275
2017,Broj,religious_schools,80
2017,Broj,high_schools_for_students_with_disabilities,125
2018,Broj,Gimnazija,8360
2018,Broj,technical_high_schools,23574
2018,Broj,vocational_high_schools,6107
2018,Broj,Umjetničke škole,287
2018,Broj,religious_schools,65
2018,Broj,high_schools_for_students_with_disabilities,106
2019,Broj,Gimnazija,7781
2019,Broj,technical_high_schools,22965
2019,Broj,vocational_high_schools,6023
2019,Broj,Umjetničke škole,293
2019,Broj,religious_schools,58
2019,Broj,high_schools_for_students_with_disabilities,86
2020,Broj,Gimnazija,7278
2020,Broj,technical_high_schools,22749
2020,Broj,vocational_high_schools,5935
2020,Broj,Umjetničke škole,311
2020,Broj,religious_schools,54
2020,Broj,high_schools_for_students_with_disabilities,78
