Year,UNIT_MEASURE,Vrsta škole,Value
2016,Broj,Gimnazije,2457
2016,Broj,Srednje tehničke škole,6300
2016,Broj,Srednje stručne škole,1996
2016,Broj,Umjetničke škole,70
2016,Broj,Vjerske škole,12
2016,Broj,Srednje škole za učenike sa smetnjama u razvoju,26
2017,Broj,Gimnazije,2467
2017,Broj,Srednje tehničke škole,6206
2017,Broj,Srednje stručne škole,1846
2017,Broj,Umjetničke škole,78
2017,Broj,Vjerske škole,17
2017,Broj,Srednje škole za učenike sa smetnjama u razvoju,28
2018,Broj,Gimnazije,2286
2018,Broj,Srednje tehničke škole,6125
2018,Broj,Srednje stručne škole,1887
2018,Broj,Umjetničke škole,70
2018,Broj,Vjerske škole,26
2018,Broj,Srednje škole za učenike sa smetnjama u razvoju,46
2019,Broj,Gimnazije,2281
2019,Broj,Srednje tehničke škole,6141
2019,Broj,Srednje stručne škole,1910
2019,Broj,Umjetničke škole,64
2019,Broj,Vjerske škole,13
2019,Broj,Srednje škole za učenike sa smetnjama u razvoju,62
2020,Broj,Gimnazije,2120
2020,Broj,Srednje tehničke škole,5841
2020,Broj,Srednje stručne škole,1828
2020,Broj,Umjetničke škole,60
2020,Broj,Vjerske škole,11
2020,Broj,Srednje škole za učenike sa smetnjama u razvoju,28
2021,Broj,Gimnazije,1966
2021,Broj,Srednje tehničke škole,5675
2021,Broj,Srednje stručne škole,2023
2021,Broj,Umjetničke škole,93
2021,Broj,Vjerske škole,17
2021,Broj,Srednje škole za učenike sa smetnjama u razvoju,28
2022,Broj,Gimnazije,1808
2022,Broj,Srednje tehničke škole,5522
2022,Broj,Srednje stručne škole,1908
2022,Broj,Umjetničke škole,100
2022,Broj,Vjerske škole,12
2022,Broj,Srednje škole za učenike sa smetnjama u razvoju,18
2023,Broj,Gimnazije,1742
2023,Broj,Srednje tehničke škole,5742
2023,Broj,Srednje stručne škole,1835
2023,Broj,Umjetničke škole,80
2023,Broj,Vjerske škole,12
2023,Broj,Srednje škole za učenike sa smetnjama u razvoju,21
