Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2016,Broj,Magistri nauka,Oba spola,72
2016,Broj,Magistri nauka,M,43
2016,Broj,Magistri nauka,Ž,29
2017,Broj,Magistri nauka,Oba spola,42
2017,Broj,Magistri nauka,M,22
2017,Broj,Magistri nauka,Ž,20
2018,Broj,Magistri nauka,Oba spola,41
2018,Broj,Magistri nauka,M,21
2018,Broj,Magistri nauka,Ž,20
2019,Broj,Magistri nauka,Oba spola,39
2019,Broj,Magistri nauka,M,17
2019,Broj,Magistri nauka,Ž,22
2020,Broj,Magistri nauka,Oba spola,36
2020,Broj,Magistri nauka,M,20
2020,Broj,Magistri nauka,Ž,16
2016,Broj,Masteri,Oba spola,420
2016,Broj,Masteri,M,200
2016,Broj,Masteri,Ž,220
2017,Broj,Masteri,Oba spola,383
2017,Broj,Masteri,M,182
2017,Broj,Masteri,Ž,201
2018,Broj,Masteri,Oba spola,378
2018,Broj,Masteri,M,152
2018,Broj,Masteri,Ž,226
2019,Broj,Masteri,Oba spola,332
2019,Broj,Masteri,M,136
2019,Broj,Masteri,Ž,196
2020,Broj,Masteri,Oba spola,261
2020,Broj,Masteri,M,105
2020,Broj,Masteri,Ž,156
2016,Broj,Specijalisti,Oba spola,101
2016,Broj,Specijalisti,M,32
2016,Broj,Specijalisti,Ž,69
2017,Broj,Specijalisti,Oba spola,109
2017,Broj,Specijalisti,M,48
2017,Broj,Specijalisti,Ž,61
2018,Broj,Specijalisti,Oba spola,111
2018,Broj,Specijalisti,M,35
2018,Broj,Specijalisti,Ž,76
2019,Broj,Specijalisti,Oba spola,95
2019,Broj,Specijalisti,M,35
2019,Broj,Specijalisti,Ž,60
2020,Broj,Specijalisti,Oba spola,87
2020,Broj,Specijalisti,M,31
2020,Broj,Specijalisti,Ž,56
