Year,UNIT_MEASURE,Oblast obrazovanja,Pol,Value
2017,Broj,Ukupno,Ukupno,534
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,100
2017,Broj,Umjetnost i humanističke nauke,Ukupno,100
2017,Broj,Informacione i komunikacione tehnologije,Ukupno,17
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,32
2017,Broj,Obrazovanje,Ukupno,51
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,20
2017,Broj,"Poslovanje, administracija i pravo",Ukupno,80
2017,Broj,"Prirodne nauke, matematika i statistika",Ukupno,15
2017,Broj,Usluge,Ukupno,1
2017,Broj,Zdravstvo i socijalna zaštita,Ukupno,118
2017,Broj,Ukupno,M,252
2017,Broj,"Društvene nauke, novinarstvo i informisanje",M,45
2017,Broj,Umjetnost i humanističke nauke,M,49
2017,Broj,Informacione i komunikacione tehnologije,M,14
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,17
2017,Broj,Obrazovanje,M,14
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,10
2017,Broj,"Poslovanje, administracija i pravo",M,48
2017,Broj,"Prirodne nauke, matematika i statistika",M,6
2017,Broj,Usluge,M,1
2017,Broj,Zdravstvo i socijalna zaštita,M,48
2017,Broj,Ukupno,Ž,282
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,55
2017,Broj,Umjetnost i humanističke nauke,Ž,51
2017,Broj,Informacione i komunikacione tehnologije,Ž,3
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,15
2017,Broj,Obrazovanje,Ž,37
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,10
2017,Broj,"Poslovanje, administracija i pravo",Ž,32
2017,Broj,"Prirodne nauke, matematika i statistika",Ž,9
2017,Broj,Usluge,Ž,0
2017,Broj,Zdravstvo i socijalna zaštita,Ž,70
2018,Broj,Ukupno,Ukupno,530
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,101
2018,Broj,Umjetnost i humanističke nauke,Ukupno,76
2018,Broj,Informacione i komunikacione tehnologije,Ukupno,22
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,33
2018,Broj,Obrazovanje,Ukupno,55
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,27
2018,Broj,"Poslovanje, administracija i pravo",Ukupno,67
2018,Broj,"Prirodne nauke, matematika i statistika",Ukupno,23
2018,Broj,Usluge,Ukupno,3
2018,Broj,Zdravstvo i socijalna zaštita,Ukupno,123
2018,Broj,Ukupno,M,322
2018,Broj,"Društvene nauke, novinarstvo i informisanje",M,64
2018,Broj,Umjetnost i humanističke nauke,M,46
2018,Broj,Informacione i komunikacione tehnologije,M,5
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,17
2018,Broj,Obrazovanje,M,35
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,13
