Year,UNIT_MEASURE,Vrsta obrazovanja,Pol,Value
2017,Broj,Ukupno,Oba pola,54
2017,Broj,"Prirodne nauke, matematika i statistika",Oba pola,4
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba pola,6
2017,Broj,Informacione i komunikacione tehnologije,Oba pola,4
2017,Broj,Zdravstvo i socijalna zaštita,Oba pola,1
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba pola,2
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Oba pola,14
2017,Broj,"Poslovanje, administracija i pravo",Oba pola,16
2017,Broj,Obrazovanje,Oba pola,0
2017,Broj,Umjetnost i humanističke nauke,Oba pola,7
2017,Broj,Usluge,Oba pola,0
2017,Broj,Ukupno,M,37
2017,Broj,"Prirodne nauke, matematika i statistika",M,2
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,3
2017,Broj,Informacione i komunikacione tehnologije,M,3
2017,Broj,Zdravstvo i socijalna zaštita,M,1
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,2
2017,Broj,"Društvene nauke, novinarstvo i informisanje",M,10
2017,Broj,"Poslovanje, administracija i pravo",M,13
2017,Broj,Obrazovanje,M,0
2017,Broj,Umjetnost i humanističke nauke,M,3
2017,Broj,Usluge,M,0
2017,Broj,Ukupno,Ž,17
2017,Broj,"Prirodne nauke, matematika i statistika",Ž,2
2017,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,3
2017,Broj,Informacione i komunikacione tehnologije,Ž,1
2017,Broj,Zdravstvo i socijalna zaštita,Ž,0
2017,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,0
2017,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,4
2017,Broj,"Poslovanje, administracija i pravo",Ž,3
2017,Broj,Obrazovanje,Ž,0
2017,Broj,Umjetnost i humanističke nauke,Ž,4
2017,Broj,Usluge,Ž,0
2018,Broj,Ukupno,Oba pola,43
2018,Broj,"Prirodne nauke, matematika i statistika",Oba pola,1
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Oba pola,3
2018,Broj,Informacione i komunikacione tehnologije,Oba pola,3
2018,Broj,Zdravstvo i socijalna zaštita,Oba pola,0
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Oba pola,4
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Oba pola,14
2018,Broj,"Poslovanje, administracija i pravo",Oba pola,12
2018,Broj,Obrazovanje,Oba pola,1
2018,Broj,Umjetnost i humanističke nauke,Oba pola,5
2018,Broj,Usluge,Oba pola,0
2018,Broj,Ukupno,M,28
2018,Broj,"Prirodne nauke, matematika i statistika",M,1
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,1
2018,Broj,Informacione i komunikacione tehnologije,M,3
2018,Broj,Zdravstvo i socijalna zaštita,M,0
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,1
2018,Broj,"Društvene nauke, novinarstvo i informisanje",M,9
2018,Broj,"Poslovanje, administracija i pravo",M,10
2018,Broj,Obrazovanje,M,1
2018,Broj,Umjetnost i humanističke nauke,M,2
2018,Broj,Usluge,M,0
2018,Broj,Ukupno,Ž,15
2018,Broj,"Prirodne nauke, matematika i statistika",Ž,0
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,2
2018,Broj,Informacione i komunikacione tehnologije,Ž,0
2018,Broj,Zdravstvo i socijalna zaštita,Ž,0
