Year,UNIT_MEASURE,Pol,Uzrok smrti (prema šiframa bolesti po MKB-10),Value
2003,Broj,Ukupno,Ukupno,12988
2004,Broj,Ukupno,Ukupno,13082
2005,Broj,Ukupno,Ukupno,13802
2006,Broj,Ukupno,Ukupno,13232
2007,Broj,Ukupno,Ukupno,14146
2008,Broj,Ukupno,Ukupno,13501
2009,Broj,Ukupno,Ukupno,13775
2010,Broj,Ukupno,Ukupno,13517
2011,Broj,Ukupno,Ukupno,13658
2012,Broj,Ukupno,Ukupno,13796
2013,Broj,Ukupno,Ukupno,13978
2014,Broj,Ukupno,Ukupno,14409
2015,Broj,Ukupno,Ukupno,15059
2016,Broj,Ukupno,Ukupno,13970
2017,Broj,Ukupno,Ukupno,14663
2018,Broj,Ukupno,Ukupno,14763
2019,Broj,Ukupno,Ukupno,15081
2020,Broj,Ukupno,Ukupno,16582
2021,Broj,Ukupno,Ukupno,19002
2022,Broj,Ukupno,Ukupno,16263
2023,Broj,Ukupno,Ukupno,13508
2003,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,89
2004,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,124
2005,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,128
2006,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,111
2007,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,103
2008,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,118
2009,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,118
2010,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,109
2011,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,117
2012,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,135
2013,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,120
2014,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,136
2015,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,159
2016,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,187
2017,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,147
2018,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,184
2019,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,200
2020,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,162
2021,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,140
2022,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,211
2023,Broj,Ukupno,(A00-B99) Infektivne i parazitske bolesti,188
2003,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2411
2004,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2330
2005,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2653
2006,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2551
2007,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2733
2008,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2733
2009,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2822
2010,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2700
2011,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2802
2012,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2937
2013,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",3090
2014,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",3154
2015,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",3138
2016,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2948
2017,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",3027
2018,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2938
2019,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2891
2020,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2719
2021,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2623
2022,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2635
2023,Broj,Ukupno,"(C00-C97,D00-D48) Neoplazme",2630
2003,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,8
2004,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,13
2005,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,15
2006,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,6
2007,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,16
2008,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,8
2009,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,13
2010,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,15
2011,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,17
2012,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,15
2013,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,16
2014,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,10
2015,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,19
2016,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,24
2017,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,20
2018,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,36
2019,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,24
2020,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,27
2021,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,22
2022,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,28
2023,Broj,Ukupno,(D50-D89) Bolesti krvi i krvotvornih organa i neki poremećaji imunog sistema,17
2003,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",180
2004,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",160
2005,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",727
2006,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",790
2007,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",791
2008,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",764
2009,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",891
2010,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",691
2011,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",654
2012,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",561
2013,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",800
2014,Broj,Ukupno,"(E00-E90) Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma",912
