Year,Pol,UNIT_MEASURE,Value
2003,M,Starost,39.4
2004,M,Starost,39.4
2005,M,Starost,40.1
2006,M,Starost,41.1
2007,M,Starost,40.6
2008,M,Starost,39.3
2009,M,Starost,39.4
2010,M,Starost,40.4
2011,M,Starost,40.6
2012,M,Starost,41.8
2013,M,Starost,42.2
2014,M,Starost,42.1
2015,M,Starost,42.4
2016,M,Starost,41.7
2017,M,Starost,42.7
2018,M,Starost,42.9
2019,M,Starost,42.9
2020,M,Starost,43.3
2021,M,Starost,42.5
2022,M,Starost,42.5
2023,M,Starost,43.3
2024,M,Starost,44.4
2003,Ž,Starost,36.3
2004,Ž,Starost,36.1
2005,Ž,Starost,37.1
2006,Ž,Starost,37.0
2007,Ž,Starost,37.0
2008,Ž,Starost,35.7
2009,Ž,Starost,35.9
2010,Ž,Starost,36.7
2011,Ž,Starost,36.6
2012,Ž,Starost,37.9
2013,Ž,Starost,38.3
2014,Ž,Starost,38.3
2015,Ž,Starost,39.9
2016,Ž,Starost,38.0
2017,Ž,Starost,39.2
2018,Ž,Starost,39.5
2019,Ž,Starost,38.9
2020,Ž,Starost,39.5
2021,Ž,Starost,39.2
2022,Ž,Starost,39.1
2023,Ž,Starost,39.2
2024,Ž,Starost,40.3
